version,queryname,category,quality
easyVer,2010s  Superhero,"genre, time, combination",0
easyVer,2010s  Superhero,"genre, time, combination",2
easyVer,2010s  Superhero,"genre, time, combination",2
easyVer,2010s  Superhero,"genre, time, combination",1
easyVer,2010s  Superhero,"genre, time, combination",1
easyVer,2010s  Superhero,"genre, time, combination",1
easyVer,2010s  Superhero,"genre, time, combination",2
easyVer,2010s  Superhero,"genre, time, combination",2
easyVer,2010s  Superhero,"genre, time, combination",2
easyVer,2010s  Superhero,"genre, time, combination",2
easyVer,Best  gt2000,"quality, time, combination",2
easyVer,Best  gt2000,"quality, time, combination",1
easyVer,Best  gt2000,"quality, time, combination",2
easyVer,Best  gt2000,"quality, time, combination",0
easyVer,Best  gt2000,"quality, time, combination",2
easyVer,Best  gt2000,"quality, time, combination",1
easyVer,Best  gt2000,"quality, time, combination",1
easyVer,Best  gt2000,"quality, time, combination",2
easyVer,Best  gt2000,"quality, time, combination",2
easyVer,Best  gt2000,"quality, time, combination",2
easyVer,Brad Pitt,Actor,2
easyVer,Brad Pitt,Actor,2
easyVer,Brad Pitt,Actor,2
easyVer,Brad Pitt,Actor,2
easyVer,Brad Pitt,Actor,2
easyVer,Brad Pitt,Actor,2
easyVer,Brad Pitt,Actor,2
easyVer,Brad Pitt,Actor,2
easyVer,Brad Pitt,Actor,2
easyVer,Brad Pitt,Actor,0
easyVer,comedy,genre,2
easyVer,comedy,genre,2
easyVer,comedy,genre,2
easyVer,comedy,genre,2
easyVer,comedy,genre,1
easyVer,comedy,genre,2
easyVer,comedy,genre,2
easyVer,comedy,genre,1
easyVer,comedy,genre,2
easyVer,comedy,genre,2
easyVer,comedy,genre,2
easyVer,comedy,genre,2
easyVer,comedy,genre,2
easyVer,explosion,deep feature,2
easyVer,explosion,deep feature,2
easyVer,explosion,deep feature,2
easyVer,explosion,deep feature,2
easyVer,explosion,deep feature,2
easyVer,explosion,deep feature,1
easyVer,explosion,deep feature,2
easyVer,explosion,deep feature,2
easyVer,explosion,deep feature,2
easyVer,explosion,deep feature,2
easyVer,France,region,2
easyVer,France,region,2
easyVer,France,region,1
easyVer,France,region,2
easyVer,France,region,2
easyVer,France,region,2
easyVer,France,region,2
easyVer,France,region,2
easyVer,France,region,1
easyVer,France,region,2
easyVer,interesting characters,deep feature,2
easyVer,interesting characters,deep feature,2
easyVer,interesting characters,deep feature,2
easyVer,interesting characters,deep feature,2
easyVer,interesting characters,deep feature,2
easyVer,interesting characters,deep feature,1
easyVer,interesting characters,deep feature,2
easyVer,interesting characters,deep feature,2
easyVer,interesting characters,deep feature,2
easyVer,interesting characters,deep feature,2
easyVer,popular,quality,1
easyVer,popular,quality,2
easyVer,popular,quality,2
easyVer,popular,quality,2
easyVer,popular,quality,2
easyVer,popular,quality,2
easyVer,popular,quality,2
easyVer,popular,quality,2
easyVer,popular,quality,2
easyVer,popular,quality,2
easyVer,Titanic,Name,2
easyVer,Titanic,Name,2
easyVer,Titanic,Name,2
easyVer,Titanic,Name,2
easyVer,Titanic,Name,2
easyVer,Titanic,Name,1
easyVer,Titanic,Name,2
