movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
89,Nick of Time,"Crime,Drama,Thriller","Johnny Depp,Courtney Chase,Charles S. Dutton,Christopher Walken,Roma Maffia,Peter Strauss,Gloria Reuben,Marsha Mason,Miguel Nájera,Bill Smitrovich,G.D. Spradlin,Charles Carroll",John Badham,/3kYcyD9yAjdjimYlIiGPfdMVbZb.jpg,"Gene Watson is a public accountant who arrives on a train at Union Station in Los Angeles, accompanied by his 6-year-old daughter Lynn. Because of his ordinary looks, he is approached by a pair of sinister people named Smith and Jones.",1995-11-22,English,90
224,Don Juan DeMarco,"Romance,Drama,Comedy","Johnny Depp,Marlon Brando,Faye Dunaway,Géraldine Pailhas,Bob Dishy,Rachel Ticotin,Talisa Soto,Stephen Singer,Jo Champa,Marita Geraghty,Richard C. Sarafian,Tresa Hughes,Carmen Argenziano,Tom Lister Jr.",Jeremy Leven,/fe0TuYz9jCKUba2Omj48K8bWJ8z.jpg,"John Arnold DeMarco is a man who believes he is Don Juan, the greatest lover in the world. Clad in a cape and mask, DeMarco undergoes psychiatric treatment with Dr. Jack Mickler to cure him of his apparent delusion. But the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, Dr Mickler, who rekindles the romance in his complacent marriage.",1995-04-07,English,97
235,Ed Wood,"Comedy,Drama,History","Johnny Depp,Martin Landau,Sarah Jessica Parker,Patricia Arquette,Jeffrey Jones,G. D. Spradlin,Vincent D'Onofrio,Bill Murray,Mike Starr,Max Casella,Brent Hinkley,William James Myers,Juliet Landau,Clive Rosengren,Norman Alden,Leonard Termo,Ned Bellamy,Danny Dayton,Ross Manarchy,Bill Cusack,Lisa Marie,Stanley DeSantis,Biff Yeager,Joseph R. Gannascoli,Carmen Filpi,Lisa Malkiewicz,Melora Walters,Conrad Brooks,Don Amendolia,Reid Cruickshanks,Lionel Decker,Edmund L. Shaff,Gene LeBell,Bobby Slayton,Gretchen Becker,John Rice,Catherine Butterfield,Mary Portser,King Cotton,Don Hood,Matthew Barry,Ralph Monaco,Anthony Russell,Gregory Walcott,Charles C. Stevenson Jr.,Rance Howard,Vasek Simek,Vinny Argiro,Korla Pandit,Patti Tippo,Ray Baker,Louis Lombardi,Jesse Hernandez,Jim Boyce,Ben Ryan Ganger,Charlie Holliday,Tommy Bertelsen,Adam Drescher,Ric Mancini,George Steele 'The animal',Daniel Riordan,Mickey Cottrell,Lena Banks,Maurice LaMarche,Ada Tai,Arlene Tai,Rayder Woods,Ralph Moratz",Tim Burton,/9qBe2sUDyY2dFH1iHq0SZb1G4QG.jpg,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",1994-09-27,English,127
337,What's Eating Gilbert Grape,"Romance,Drama","Johnny Depp,Leonardo DiCaprio,Juliette Lewis,Mary Steenburgen,Darlene Cates,Laura Harrington,Mary Kate Schellhardt,Kevin Tighe,John C. Reilly,Crispin Glover,Penelope Branning,Tim Green,Susan Loughran,Robert B. Hedges,Mark Jordan,Cameron Finley,Brady Coleman,Tim Simek,Nicholas Stojanovich,Libby Villari,Kay Bower,Joe Stevens,Mona Lee Fultz,George Haynes,Daniel Gullahorn",Lasse Hallström,/jQLoOPwNxyILwDbdhn9DsfQz0Sg.jpg,"Gilbert has to care for his brother Arnie and his obese mother, which gets in the way when love walks into his life.",1993-12-17,English,118
714,Dead Man,"Drama,Fantasy,Western","Johnny Depp,Gary Farmer,Crispin Glover,Lance Henriksen,Michael Wincott,Eugene Byrd,John Hurt,Robert Mitchum,Iggy Pop,Gabriel Byrne,Jared Harris,Mili Avital,Jimmie Ray Weeks,Mark Bringelson,John North,Alfred Molina,Billy Bob Thornton,Michelle Thrush,Steve Buscemi,Gibby Haynes",Jim Jarmusch,/vGobIvxSiFvAmwqH8BlC3SpET0C.jpg,"On the run after murdering a man, accountant William Blake encounters a strange North American man named Nobody who prepares him for his journey into the spiritual world.",1995-12-23,"English,Español",121
1441,Benny & Joon,"Comedy,Drama,Romance","Johnny Depp,Mary Stuart Masterson,Aidan Quinn,Julianne Moore,Oliver Platt,CCH Pounder,Dan Hedaya,Joe Grifasi,William H. Macy,Liane Curtis,Eileen Ryan,Lynette Walden,Waldo Larson,Don Hamilton,Leslie Laursen,John Grant Phillips,Irvin Johnson,Shane Nilsson,Faye Killebrew,Ramsin Amirkhas,Amy Alizabeth Sanford,Brian Keevy,Tony Lincoln,Noon Orsatti,Dan Kamin,Gregory Cook,Aaron Haedt",Jeremiah S. Chechik,/2a7amuuML6xvBn6XWV1sPG1Cmd5.jpg,A mentally ill young woman finds her love in an eccentric man who models himself after Buster Keaton.,1993-04-16,"English,Português",98
1466,Donnie Brasco,"Crime,Drama,Thriller","Johnny Depp,Al Pacino,Michael Madsen,Bruno Kirby,James Russo,Anne Heche,Zeljko Ivanek,Brian Tarantina,Rocco Sisto,Zach Grenier,Gerry Becker,Robert Miano,Paul Giamatti,Gretchen Mol",Mike Newell,/xtKLvpOfARi1XVm8u2FTdhY5Piq.jpg,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,1997-02-27,"日本語,English,Italiano",127
1884,Fear and Loathing in Las Vegas,"Adventure,Drama,Comedy","Johnny Depp,Benicio del Toro,Tobey Maguire,Christina Ricci,Ellen Barkin,Gary Busey,Cameron Diaz,Mark Harmon,Katherine Helmond,Michael Jeter,Penn Jillette,Craig Bierko,Lyle Lovett,Laraine Newman,Harry Dean Stanton,Tim Thomerson,Flea,Christopher Meloni,Troy Evans,Debbie Reynolds,Jenette Goldstein,Verne Troyer,Gregory Itzin,Buck Holland,Richard Riehle,Mary Gillis,Elenn Barkin,Hunter S. Thompson",Terry Gilliam,/u9ffgobMADj6GCafeImbov566j9.jpg,"Raoul Duke and his attorney Dr. Gonzo drive a red convertible across the Mojave desert to Las Vegas with a suitcase full of drugs to cover a motorcycle race. As their consumption of drugs increases at an alarming rate, the stoned duo trash their hotel room and fear legal repercussions. Duke begins to drive back to L.A., but after an odd run-in with a cop, he returns to Sin City and continues his wild drug binge.",1998-05-22,English,118
2291,Edward Scissorhands,"Fantasy,Drama,Romance","Johnny Depp,Winona Ryder,Dianne Wiest,Alan Arkin,Anthony Michael Hall,Vincent Price,Kathy Baker,Robert Oliveri,Conchata Ferrell,Caroline Aaron,Dick Anthony Williams,O-Lan Jones,Susan Blommaert,Linda Perri,John Davidson,Biff Yeager,Donna Pieroni,Alan Fudge,Brett Rice,Marc Macaulay,Stuart Lancaster,Steven Brill,Gina Gallagher,Aaron Lustig,Peter Palmer,Kathy Lockwood,Nick Carter,Tim Rerucha",Tim Burton,/kgLTB53HinftRRwhft7yrUOclDC.jpg,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,1990-12-05,English,105
2827,The Astronaut's Wife,"Drama,Science Fiction,Thriller","Johnny Depp,Charlize Theron,Joe Morton,Clea DuVall,Nick Cassavetes,Donna Murphy,Gary Grubbs,Blair Brown,Tom Noonan,Tom O'Brien,Lucy Lin,Michael Crider,Samantha Eggar,Rondi Reed,Conrad Bachmann,Sarah Dampf,Charles Lanyer,Gary Carlos Cervantes,Seth Barrish,Ellen Lancaster,Julian Barnes,Priscilla Shanks,Jennifer Burry,Susan Cella,Linda Powell,Elston Ridgle,Robert Sella,Samantha Carpel,Stephen Berger,Michael Luceri,Ben Van Bergen,Edward Kerr,Cole Sprouse,Dylan Sprouse,Carl Burrows,Buck Holland",Rand Ravich,/2zm3a3453aWN078Qd6nIQngbEkM.jpg,"When astronaut Spencer Armacost returns to Earth after a mission that nearly cost him his life, he decides to take a desk job in order to see his beautiful wife, Jillian, more often. Gradually, Jillian notices that Spencer's personality seems to have changed, but her concerns fade when she discovers that she's pregnant. As Jillian grows closer to becoming a mother, her suspicions about Spencer return. Why does it seem as if he's a different person?",1999-08-26,English,109
