movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
105,The Bridges of Madison County,"Drama,Romance","Meryl Streep,Clint Eastwood,Annie Corley,Victor Slezak,Jim Haynie,Sarah Kathryn Schmitt,Christopher Kroon,Phyllis Lyons,Debra Monk,Richard Lage,Michelle Benes,Alison Wiegert",Clint Eastwood,/czRuGEx9Yhnh6nApirTLPToxHNu.jpg,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,1995-05-28,English,135
113,Before and After,"Drama,Thriller,Mystery","Meryl Streep,Liam Neeson,Edward Furlong,Alfred Molina,Daniel von Bargen,Julia Weldon,Daniel von Bargen,John Heard,Ann Magnuson,Alison Folland,Bernadette Quigley,Timothy Patrick Cavanaugh,Sharon Ullrick,Paul Giamatti,Jordan Lund",Barbet Schroeder,/yTDzXDKNGlmGYk5HuEeZUAypo1p.jpg,Two parents deal with the effects when their son is accused of murdering his girlfriend.,1996-02-23,"English,Français,Deutsch",108
376,The River Wild,"Action,Adventure,Crime,Thriller","Meryl Streep,David Strathairn,Kevin Bacon,Benjamin Bratt,John C. Reilly,Joseph Mazzello,Stephanie Sawyer,William Lucking,Elizabeth Hoffman,Victor Galloway,Sherry Lynn",Curtis Hanson,/8NFAQxZud5Kisw1sd9WxfBG54.jpg,"While on a family vacation,  rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river.",1994-09-30,English,111
469,The House of the Spirits,"Romance,Drama","Meryl Streep,Glenn Close,Jeremy Irons,Winona Ryder,Antonio Banderas,Armin Mueller-Stahl,Vanessa Redgrave,María Conchita Alonso,Jan Niklas,Vincent Gallo,Grace Gummer,Fran Fullenwider,Pedro Efe,Miguel Guilherme,José Mora Ramos,Anabela Teixeira,Carlos Conceição,Helena Laureano,Heitor Lourenço",Bille August,/zcm1tp34jNFbTltJhlr7bsvIvmh.jpg,"A rancher, his clairvoyant wife and their family face turbulent years in South America.",1993-10-19,"Español,English",140
1096,Sophie's Choice,"Drama,Romance","Meryl Streep,Kevin Kline,Peter MacNicol,Rita Karin,Stephen D. Newman,Greta Turken,Josh Mostel,Marcell Rosenblatt,Moishe Rosenfeld,Robin Bartlett,Eugene Lipinski,John Rothman,Joseph Leon,David Wohl,Nina Polan",Alan J. Pakula,/6zayvLCWvF8ImK5UqwRUbETcpVU.jpg,"Stingo, a young writer, moves to Brooklyn in 1947 to begin work on his first novel. As he becomes friendly with Sophie and her lover Nathan, he learns that she is a Holocaust survivor. Flashbacks reveal her harrowing story, from pre-war prosperity to Auschwitz. In the present, Sophie and Nathan's relationship increasingly unravels as Stingo grows closer to Sophie and Nathan's fragile mental state becomes ever more apparent.",1982-12-08,"Český,English,Français,Deutsch,Polski,Pусский",151
1959,Out of Africa,"History,Romance,Drama","Meryl Streep,Robert Redford,Klaus Maria Brandauer,Michael Kitchen,Malick Bowens,Joseph Thiaka,Stephen Kinyanjui,Michael Gough,Suzanna Hamilton,Rachel Kempson,Graham Crowden,Leslie Phillips,Mike Bugara,Shane Rimmer,Job Seda,Mohammed Umar,Iman",Sydney Pollack,/bLXD2jp0img4RJiczAwnS7m7jF9.jpg,"Out of Africa tells the story of the life of Danish author Karen Blixen, who at the beginning of the 20th century moved to Africa to build a new life for herself. The film is based on the autobiographical novel by Karen Blixen from 1937.",1985-12-20,"English,Kiswahili",161
2272,One True Thing,"Drama,Romance","Meryl Streep,Renée Zellweger,William Hurt,Tom Everett Scott,Lauren Graham,Julianne Nicholson,Jeffrey Scaperrotta,Marcia Jean Kurtz,Nicky Katt",Carl Franklin,/fbZhEa9c2ijocPiEIhgEsT7MaXp.jpg,A career woman reassesses her parents' lives after she is forced to care for her cancer-stricken mother.,1998-09-18,English,127
2341,Dancing at Lughnasa,Drama,"Meryl Streep,Catherine McCormack,Brid Brennan,Kathy Burke,Sophie Thompson,Michael Gambon,Rhys Ifans,Lorcan Cranitch,Darrell Johnston,John Kavanagh,Marie Mullen,Dawn Bradfield,Peter Gowen,Kate O'Toole",Pat O'Connor,/ewQ7AeXw0ErCWqvRBxX5wHAnFPl.jpg,Five unmarried sisters make the most of their simple existence in rural Ireland in the 1930s.,1998-09-04,English,96
2417,Heartburn,"Comedy,Drama,Romance","Meryl Streep,Jack Nicholson,Jeff Daniels,Maureen Stapleton,Stockard Channing,Richard Masur,Catherine O'Hara,Steven Hill,Miloš Forman,Mamie Gummer,Karen Akers,Aida Linares,Kevin Spacey,Caroline Aaron,Tony Shalhoub",Mike Nichols,/2lEISs6Kj1Gs4svXNWAcYcmXlNA.jpg,"Rachel is a food writer at a New York magazine who meets Washington columnist Mark at a wedding and ends up falling in love with him despite her reservations about marriage. They buy a house, have a daughter, and Rachel thinks they are living happily ever after until she discovers that Mark is having an affair while she is waddling around with a second pregnancy.",1986-07-25,English,108
2758,Plenty,"Drama,Romance","Meryl Streep,Tracey Ullman,John Gielgud,Sting,Ian McKellen,Sam Neill,Burt Kwouk,Charles Dance,Christopher Fairbank,Hugh Laurie,John Serret",Fred Schepisi,/gvK5Wv9ntWwu6IzLFuIUd2enHNm.jpg,David Hare's account of a one-time French freedom fighter who gradually realizes that her post-war life is not meeting her expectations.,1985-09-20,English,124
2996,Music of the Heart,Drama,"Meryl Streep,Angela Bassett,Cloris Leachman,Aidan Quinn,Michael Angarano,Henry Dinhofer,Kieran Culkin,Charlie Hofheimer,Josh Pais,Jay O. Sanders,Gloria Estefan,Jane Leeves,Isaac Stern,Joshua Bell,Itzhak Perlman,Myra Lucretia Taylor",Wes Craven,/3r5Uz1ESQJnS8IwDERLphYPnVTo.jpg,Story of a schoolteacher's struggle to teach violin to inner-city Harlem kids.,1999-10-29,"English,Español",124
3211,A Cry in the Dark,Drama,"Meryl Streep,Sam Neill,Dale Reeves,David Hoflin,Jason Reason,Michael Wetter,Kane Barton,Trent Roberts,Jane Coker,Rae-Leigh Henson,Nicolette Minster,Debra Lawrance,John Howard,Pat Thomson",Fred Schepisi,/1ApBw8LkItTf5CIUCdqwtJxFlce.jpg,"Based on the true story of Lindy Chamberlain: During a camping trip to Ayers Rock in outback Australia, she claims she witnessed a dingo taking her baby daughter, Azaria, from the family tent. Azaria's body is never found. After investigations and two public inquests, she is charged with murder. The case attracts a lot of attention, turning it into a media sideshow.",1988-11-11,English,120
3258,Death Becomes Her,"Comedy,Fantasy,Horror","Meryl Streep,Bruce Willis,Goldie Hawn,Isabella Rossellini,Ian Ogilvy,Adam Storke,Nancy Fish,Alaina Reed Hall,Michelle Johnson,Sydney Pollack,Ai Wan,Mary Ellen Trainor,William Frankfather,Clement von Franckenstein,Debra Jo Rupp,Jonathan Silverman,John Enos III,Fabio,Bonnie Cahoon,Susan Kellermann,Sherry Lynn",Robert Zemeckis,/qNIkecw9i44ljTJaMfkdeyLc4vB.jpg,"Madeline is married to Ernest, who was once arch-rival Helen's fiance. After recovering from a mental breakdown, Helen vows to kill Madeline and steal back Ernest. Unfortunately for everyone, the introduction of a magic potion causes things to be a great deal more complicated than a mere murder plot.",1992-07-30,English,104
