movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
43,Restoration,"Drama,Romance","Robert Downey Jr.,Meg Ryan,Sam Neill,David Thewlis,Hugh Grant,Polly Walker,Ian McKellen,Ian McDiarmid,Mary MacLeod,Willie Ross,Benjamin Whitrow,Roger Ashton-Griffiths,Andrew Havill,Tony Gardner,David Ryall",Michael Hoffman,/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",1995-12-29,"English,Español",117
1816,Two Girls and a Guy,"Drama,Romance","Robert Downey Jr.,Natasha Gregson Wagner,Heather Graham,Angel David,Frederique van der Wal",James Toback,/jMJQjX9HHIm588tJWq2Tkgppzbz.jpg,"Two women confront their boyfriend, a two-timing actor who professed eternal love to each.",1997-09-07,English,84
3466,Heart and Souls,"Fantasy,Drama,Comedy,Science Fiction,Romance","Robert Downey Jr.,Charles Grodin,Kyra Sedgwick,Elisabeth Shue,Tom Sizemore,Alfre Woodard,Wren T. Brown",Ron Underwood,/rAdLIzWXcBbul2LRvcB1RARakge.jpg,"A businessman is reunited with the four lost souls who were his guardian angels during childhood, all with a particular purpose to joining the afterlife.",1993-08-13,English,104
3509,Black and White,Drama,"Robert Downey Jr.,Scott Caan,Stacy Edwards,Allan Houston,Gaby Hoffmann,Jared Leto,Claudia Schiffer,Brooke Shields,Joe Pantoliano,Kidada Jones,Marla Maples,Bijou Phillips,Oliver 'Power' Grant,Raekwon,William Lee Scott,Michael B. Jordan,Eddie Kaye Thomas,James Toback,Mike Tyson,Elijah Wood,Kim Matulova,Brett Ratner,Method Man,Inspectah Deck,Ghostface Killah,Sticky Fingaz,George Wayne,Scottie Epstein,Thaddaeus Birkett,Chip Banks,Hassan Johnson,Larry Shaw,Superb,Tyrone S. Walker,Richard Akiva,Justin Ske,Richard Voll,Steven C. Beer,Sabine Lamy,Michelle Dent,Frank Pesce,Richard Rose,Chuck Zito,Sheila Ball,John Bolger,Joseph Bongiorno,Masta Killa,Frank Adonis,Jodi Cohen,John Buffalo Mailer,Tina Nguyen,Garry Pastore,Richard Elms,Keith Grayson,Janine Green,Cara Hamill,Katie Hamill,David Alastair King,Kristin Klosterman,Duane McLaughlin,Lauren Pratt,Shari Raghunati,Katie Sagona,Melvin James Shaad,Tyree Michael Simpson,Patrick Watt,Jade Yorker,Pell James,George F. Miller,Steve Nuke,James M. Sandín,Davy Sardou,Fredro Starr,Sanny van Heteren,Bellamy Young,Shawn Regruto,Robert B. Alexander,Eric Keith McNeil,Ben Stiller",James Toback,/dDDIpoa4rqOYxrgdvaU7tJZvB1Z.jpg,"Rich Bower is an up-and-coming star in the hip-hop world. Everyone wants to be around him, including Raven and her fellow upper-class white high school friends. The growing appeal of black culture among white teens fascinates documentary filmmaker Sam Donager, who sets out to chronicle it with her husband, Terry. But before Bower was a rapper, he was a gangster, and his criminal past comes back to haunt him and all those around him.",1999-09-04,English,98
4463,1969,"Drama,War","Robert Downey Jr.,Kiefer Sutherland,Bruce Dern,Mariette Hartley,Winona Ryder,Joanna Cassidy,Christopher Wynne,Kara Zielke",Ernest Thompson,/baRBC4jqRayL3SxSvkrKIbAtIIb.jpg,"Two rebellious youths, Ralph and Scott, find themselves struggling with adulthood as the Vietnam War rages. Feeling trapped in their small town, Scott battles with his conservative veteran father, Cliff, and Ralph deals with his desperately sexual mother, Ev. When tragic news arrives from overseas, the entire town, inspired by Ralph and Scott's antiwar efforts, reevaluates its attitude toward the war.",1988-08-18,English,95
6892,The Singing Detective,"Comedy,Music,Mystery,Crime","Robert Downey Jr.,Robin Wright,Mel Gibson,Jeremy Northam,Katie Holmes,Adrien Brody,Jon Polito,Carla Gugino,Alfre Woodard,Amy Aquino,David Dorfman,Saul Rubinek,Andy Umberger",Keith Gordon,/yoVP4A6XmLmICrYHhjzyC9AkOX7.jpg,"From his hospital bed, a writer suffering from a skin disease hallucinates musical numbers and paranoid plots.",2003-10-24,English,109
7618,Chaplin,Drama,"Robert Downey Jr.,Geraldine Chaplin,Paul Rhys,John Thaw,Moira Kelly,Anthony Hopkins,Dan Aykroyd,Marisa Tomei,Penelope Ann Miller,Kevin Kline,Matthew Cottle,Maria Pitillo,Milla Jovovich,Kevin Dunn,Deborah Moore,Diane Lane,Nancy Travis,James Woods,David Duchovny,Michael Cade,P.H. Moriarty,Howard Lew Lewis,John Standing",Richard Attenborough,/cuCkhiuhPhb0wo05pgO209l3sk9.jpg,"With the use of flashback, an elderly Charlie Chaplin discusses his autobiography with his editor, who urges him to be more vulnerable and emotionally honest with his memoirs while journeying through his poverty-stricken childhood, closest friendships, many marriages, merciless pursuit by J. Edgar Hoover, and ingenious invention of The Little Tramp. Highlighted works such as The Gold Rush and The Great Dictator illustrate significant turning points in Chaplin's prolific filmography. Also treated is Chaplin's exile from America and his eventual return to receive an honourary Academy Award in 1972.",1992-12-18,English,143
38061,Kiss Kiss Bang Bang,"Comedy,Crime,Mystery","Robert Downey Jr.,Val Kilmer,Michelle Monaghan,Corbin Bernsen,Dash Mihok,Larry Miller,Rockmond Dunbar,Shannyn Sossamon,Angela Lindvall,Indio Falconer Downey,Ariel Winter,Duane Carnahan,Josh Richman,Ali Hillis,Martha Hackett,Nancy Fish,Bill McAdams Jr.,Tanja Reichert,Jake McKinnon,Stephanie Pearson,Judie Aronson,Lela Edgar",Shane Black,/5Lif1qGiyaF8OqG9lR3eqzeEC3S.jpg,A petty thief posing as an actor is brought to Los Angeles for an unlikely audition and finds himself in the middle of a murder investigation along with his high school dream girl and a detective who's been training him for his upcoming role...,2005-09-05,English,103
59315,Iron Man,"Action,Science Fiction,Adventure","Robert Downey Jr.,Terrence Howard,Jeff Bridges,Gwyneth Paltrow,Shaun Toub,Faran Tahir,Leslie Bibb,Clark Gregg,Paul Bettany,Jon Favreau,Will Lyman,Samuel L. Jackson,Stan Lee,Tom Morello,Jim Cramer,Sayed Badreya,Bill Smitrovich,Peter Billingsley,Tim Guinee,Marco Khan,Daston Kalili,Ido Ezra,Kevin Foster,Garret Noël,Eileen Weisinger,Ahmed Ahmed,Fahim Fazli,Gerard Sanders,Tim Rigby,Russell Richardson,Nazanin Boniadi,Thomas Craig Plumer,Robert Berkman,Stacy Stas,Lauren Scyphers,Frank Nyi,Marvin Jordan,Donna Evans,Reid Harper,Summer Kylie Remington,Ava Rose Williams,Vladimir Kubr,Callie Croughwell,Javan Tahir,Sahar Bibiyan,Patrick O'Connell,Adam Harrington,Meera Simhan,Ben Newmark,Ricki Lander,Jeannine Kaspar,Sarah Cahill,Justin Rex,Zorianna Kit,Lana Kinnear,Nicole Lindeblad,Masha Lund,Gabrielle Tuite,Tim Griffin,Joshua Harto,Micah A. Hauptman,James Bethea,Jeffrey Ashkin,Russell Bobbitt,Vianessa Castaños,Mike Cochrane,Crystal Marie Denha,Mellany Gandara,Halla,Rodrick Hersh,Kristin J. Hooper,Chris Jalandoni,Steve Janousek,Laura Liguori,Flavia Manes Rossi,Anthony Martins,Robert McMurrer,James M. Myers,America Olivo,Sylvette Ortiz,Brett Padelford,Ajani Perkins,Chris Reid,Toi Rose,George F. Watson,David Zyler,Nick W. Nicholson",Jon Favreau,/848chlIWVT41VtAAgyh9bWymAYb.jpg,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",2008-04-30,"English,فارسی,اردو,العربية",126
68932,The Soloist,Drama,"Robert Downey Jr.,Jamie Foxx,Catherine Keener,Tom Hollander,Nelsan Ellis,Michael Bunin,Lisa Gay Hamilton,Rachael Harris,Stephen Root,Lorraine Toussaint,Jena Malone,Octavia Spencer,Justin Martin,Kokayi Ampah,Patrick Tatten,Susane Lee,Marcos De Silvas,Ilia Volok,Mike Nowak,David Jean Thomas,Lemon Andersen,Kevin Michael Key,Moya Brady,Orlando Ashley,Artel Great,J.J. Boone,Annie McKnight,Bernadette Speakes,Anna Levin,Steve Foster,Vivian George,Kevin Cohen,Courtney Andre,Teri Hughes,Linda Harris,Albert Olson,Melissa Black,Valarie Hudspeth,Darryl Black St.,Kiana Parker,Hazard Banner,Russell Brown,Kenneth Henry,Jacqueline Sue West,Joyre Manuel,Lorinda Hawkins,Annette Valley,Patrick Kelly,Quiana Farrow,Tony Genaro,Charlie Weirauch,Wayne Lopez,Joe Hernandez-Kolski,Noel Gugliemi,Paul Cruz,Wil Garret,Halbert Hernandez,Alejandro Patino,Karole Selmon,Rob Nagle,Patricia Place,Ralph Cole Jr.,Gladys Khan,Palma Lawrence Reed,Isabel Hubmann,Bonita Jefferson,Eshana O'Neal,Myia Hubbard,Iyanna Newborn,Bronwyn Hardy,Troy Blendell,Nick Nervies,Paul Norwood",Joe Wright,/ehxoDpnELNAJACoS9ENUuR0ffGY.jpg,"A Los Angeles journalist befriends a homeless Juilliard-trained musician, while looking for a new article for the paper.",2009-04-24,English,109
