movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
145,Bad Boys,"Action,Comedy,Crime,Thriller","Will Smith,Martin Lawrence,Téa Leoni,Tchéky Karyo,Joe Pantoliano,Marg Helgenberger,Michael Imperioli,Theresa Randle,Anna Levine,Nestor Serrano,Kevin Corrigan,Julio Oscar Mechoso,Saverio Guerra,Vic Manni,Frank John Hughes,Mike Kirton,Emmanuel Xuereb,Ralph Gonzalez,John Salley,Lisa Boyle,Marc Macaulay,Karen Alexander,Heather Davis,Buddy Bolton,Will Knickerbocker,Tiffany Samuels,Cory Hodges,Scott Cumberbatch,Michael Taliferro,Fawn Reed,Joey Romano,Sam Ayers",Michael Bay,/x1ygBecKHfXX4M2kRhmFKWfWbJc.jpg,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",1995-04-07,English,118
538,Six Degrees of Separation,"Mystery,Drama,Comedy","Will Smith,Donald Sutherland,Stockard Channing,Ian McKellen,Mary Beth Hurt,Anthony Michael Hall,Heather Graham,Anthony Rapp,J.J. Abrams,Kelly Bishop,Eric Thal,Bruce Davison,Richard Masur,John Cunningham,Daniel von Bargen,Kitty Carlisle,Maeve McGuire",Fred Schepisi,/uBbjfRWu5Z9YbzC1LyvA0o1DeyZ.jpg,"The story of a young, gay black con artist who, posing as the son of Sidney Poitier, cunningly maneuvers his way into the lives of a white, upper-class New York family.",1993-12-08,English,112
780,Independence Day,"Action,Adventure,Science Fiction","Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell,Judd Hirsch,Robert Loggia,Randy Quaid,Margaret Colin,Vivica A. Fox,James Rebhorn,Harvey Fierstein,Adam Baldwin,James Duval,Lisa Jakub,Giuseppe Andrews,Harry Connick Jr.,Mae Whitman,Kiersten Warren,John Storey,Frank Novak,Devon Gummersall,Leland Orser,Mirron E. Willis,Ross Lacy,David Pressman,Raphael Sbarge,Bobby Hosea,Dan Lauria,Steve Giannelli,Eric Paskel,Carlos Lacámara,John Bennett Perry,Troy Willis,Tim Kelleher,Wayne Wilderson,Jay Acovone,Jana Marie Hupp,Robert Pine,David Channell,John Capodice,Greg Collins,Derek Webster,Mark Fite,Levan Uchaneishvili,Kristof Konrad,Kevin Sifuentes,Elston Ridgle,Randy Oglesby,Jack Moore,Barry Del Sherman,Lyman Ward,Anthony Crivello,Richard Speight Jr.,Joe Fowler,Sharon Tay,Peter J. Lucas,Yelena Danova,Johnny Kim,Vanessa J. Wells,Sayed Badreya,Adam Tomei,John Bradley,Kimberly Beck,Andrew Keegan,Jim Piddock,Pat Skipper,Erick Avari,Brent Spiner,James Wong,Frank Welker",Roland Emmerich,/bqLlWZJdhrS0knfEJRkquW7L8z2.jpg,"On July 2, a giant alien mothership enters orbit around Earth and deploys several dozen saucer-shaped 'destroyer' spacecraft that quickly lay waste to major cities around the planet. On July 3, the United States conducts a coordinated counterattack that fails. On July 4, a plan is devised to gain access to the interior of the alien mothership in space, in order to plant a nuclear missile.",1996-06-25,English,145
2353,Enemy of the State,"Action,Drama,Thriller","Will Smith,Gene Hackman,Jon Voight,Lisa Bonet,Regina King,Stuart Wilson,Laura Cayouette,Loren Dean,Barry Pepper,Ian Hart,Jake Busey,Scott Caan,Jason Lee,Gabriel Byrne,James Le Gros,Dan Butler,Jack Black,Jamie Kennedy,Bodhi Elfman,Anna Gunn,Jascha Washington,Grant Heslov,Ivana Miličević,Seth Green,Philip Baker Hall,Jason Robards,Tom Sizemore,Brian Markinson,Larry King,Tom Quinn,Brenna McDonough,Bobby Boriello,Carl Mergenthaler,Donna W. Scott,Allison Sie,Lillo Brancato,John Capodice,Arthur J. Nascarella,Frank Medrano,Joseph Patrick Kelly,Lennox Brown,Nancy Yee,Christopher Lawrence,Tom Sizemore",Tony Scott,/2B0vLBo6gJbnzke4Enc77GCxKrz.jpg,"Hotshot Washington lawyer, Robert Dean becomes a victim of high-tech identity theft when a hacker slips an incriminating video into his pocket. Soon, a rogue National Security agent sets out to recover the tape – and destroy Dean.",1998-11-20,English,132
2701,Wild Wild West,"Action,Adventure,Comedy,Science Fiction,Western","Will Smith,Kevin Kline,Kenneth Branagh,Salma Hayek,M. Emmet Walsh,Ted Levine,Frederique van der Wal,Musetta Vander,Sofia Eng,Garcelle Beauvais,Bai Ling,Rodney A. Grant,E.J. Callahan,Debra Christofferson,Buck Taylor,James Lashly,Dean Rader Duval,Jerry Wills,Mike H. McGaughy,Christian Aubert,Orestes Matacena,Ian Abercrombie,Ismael 'East' Carlo,Bob Rumnock,Gary Carlos Cervantes,Jerry Potter,Mik Scriba,Michael Sims,Natalie Fabry",Barry Sonnenfeld,/ouhNr6KsjOBSPxXzqRZFh0fLkjZ.jpg,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,1999-06-29,English,106
5009,Ali,Drama,"Will Smith,Jamie Foxx,Jon Voight,Mario Van Peebles,Ron Silver,Jeffrey Wright,Mykelti Williamson,Jada Pinkett Smith,Nona Gaye,Michael Michele,Joe Morton,Paul Rodríguez,Bruce McGill,Barry Shabaka Henley,Giancarlo Esposito,Laurence Mason,LeVar Burton,Albert Hall,David Cubitt,Ted Levine,Candy Ann Brown,Malick Bowens,Shari Watson,David Elliott,Michael Bentt,Rufus Dorsey,Brad Greenquist,Victoria Dillard,Morgana Van Peebles,Maya Van Peebles,Charles Shufford,Alfred Cole,James Toney,David Haines,Maestro Harrell,Wade Williams,Kim Robillard,Gailard Sartain,William Utay,Guy Van Swearingen,David Purdham,Eddie Bo Smith Jr.,Doug Hale,LaDonna Tittle,Marc Grapey,Daniel Janks,Alexandra Bokyun Chun,John G. Connolly,Chico Benymon,Kim Coleman,Johnny Ortiz,Natalie Carter,Reginald Footman,Christian Stolte,Ron Madoff,Deborah Smith Ford",Michael Mann,/gCGoMZXGdU7DY8xgKYle6dJGksT.jpg,"In 1964, a brash, new pro boxer, fresh from his Olympic gold medal victory, explodes onto the scene: Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self-confidence and his unapologetic belief that he is the greatest boxer of all time. Yet at the top of his game, both Ali's personal and professional lives face the ultimate test.",2001-12-11,English,157
8644,"I, Robot","Action,Science Fiction","Will Smith,Bridget Moynahan,Alan Tudyk,James Cromwell,Bruce Greenwood,Shia LaBeouf,Chi McBride,Jerry Wasserman,Peter Shinkoda,Terry Chen,David Haysom,Scott Heindl,Adrian Ricard,Fiona Hogan,Sharon Wilkins,Craig March,Darren Moore,Emily Tennant,Tiffany Lyndall-Knight,Aaron Douglas,Angela Moore",Alex Proyas,/2mkFzf168xJrV6Leqq0bjqOlJCK.jpg,"In 2035, where robots are common-place and abide by the three laws of robotics, a techno-phobic cop investigates an apparent suicide. Suspecting that a robot may be responsible for the death, his investigation leads him to believe that humanity may be in danger.",2004-07-15,English,115
8907,Shark Tale,"Animation,Action,Comedy,Family","Will Smith,Robert De Niro,Renée Zellweger,Jack Black,Angelina Jolie,Ziggy Marley,Martin Scorsese,David P. Smith,Doug E. Doug,Michael Imperioli,Vincent Pastore,Peter Falk,Katie Couric,Frank Vincent,Missy Elliott,Christina Aguilera,Phil LaMarr,Phil LaMarr","Bibo Bergeron,Vicky Jenson,Rob Letterman",/zSHqX4qklYrHMEcv2GiHG5UwVsz.jpg,"Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship.",2004-09-20,English,90
31685,Hitch,"Comedy,Drama,Romance","Will Smith,Eva Mendes,Kevin James,Amber Valletta,Julie Ann Emery,Adam Arkin,Robinne Lee,Nathan Lee Graham,Michael Rapaport,Jeffrey Donovan,Paula Patton,Philip Bosco,Kevin Sussman,Navia Nguyen,Matt Malloy,Maria Thayer,Ato Essandoh,Marlyne Barrett,Jack Hartnett,David Wike,Frederick B. Owens,Jenna Stern,Austin Lysy,Adam LeFevre,Joe Lo Truglio,Ryan Cross,Beau Sia,Fran Kranz",Andy Tennant,/wY1AsrhhymgxVruhkPtfBoLnUA3.jpg,"Dating coach Alex 'Hitch' Hitchens mentors a bumbling client, Albert, who hopes to win the heart of the glamorous Allegra Cole. While Albert makes progress, Hitch faces his own romantic setbacks when proven techniques fail to work on Sara Melas, a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitch's connection to Albert – now Allegra's boyfriend – it threatens to destroy both relationships.",2005-02-11,English,118
47099,The Pursuit of Happyness,Drama,"Will Smith,Jaden Smith,Thandie Newton,Brian Howe,James Karen,Kurt Fuller,Dan Castellaneta,Joe Nunez,David Fine,Takayo Fischer,Kevin West,George Cheung,Geoff Callan,Scott Klace,Rashida Clendening,Peter Fitzsimmons,Maurice Sherbanee,Zuhair Haddad,Victor Raider-Wexler,Mark Christopher Lawrence,George Maguire,Adam Del Rio,Rueben Grundy,Ming Lo,Stu Klitsner,Esther Scott,Cecil Williams,Amir Talai,Mike Garibaldi,Jason Frazier,David Haines,Bob Greene,Robert Anthony Peters,Cathy Fithian,Keith Stevenson,Karen Kahn,Martin Andris,Yeena Fisher,Phil Austin,Kenny Santiago Marrero,David Pearl,Rick Camp,Brad Carr,Cabran E. Chamberlain,Ben Fritz,Adam Wang,Zachary Culbertson,Brendan Kruse,Austin Scott",Gabriele Muccino,/iMNp6gTeDBXbzjKRNYtorxZ76G2.jpg,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,2006-12-14,"English,广州话 / 廣州話",117
56174,I Am Legend,"Drama,Horror,Action,Thriller,Science Fiction","Will Smith,Alice Braga,Charlie Tahan,Salli Richardson-Whitfield,Willow Smith,Emma Thompson,Darrell Foster,Joanna Numata,Dash Mihok,Samuel Glen,Pedro Mojica,Marin Ireland,Alexander DiPersia,Raul Torres",Francis Lawrence,/6OA0I8hhW9zftWoCYxJAzXW9UIN.jpg,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",2007-12-14,English,101
