movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
77,Nico Icon,Documentary,"Nico,Tina Aumont,Jackson Browne,John Cale,Paul Morrissey,Viva,Ari Boulogne",Susanne Ofteringer,/tuIDKBp92R4tGFOB46MofvakfiY.jpg,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",1995-02-18,"Deutsch,English",70
97765,ReGeneration,"Documentary,Action","Noam Chomsky,Talib Kweli,Howard Zinn,Ryan Gosling",Phillip Montgomery,/q6DqzWDuai2EqWE4stWwIZDRIaK.jpg,"ReGeneration is a 2010 American documentary film written and directed by Phillip Montgomery that looks at the issues facing today's youth and young adults, and the influences that contribute to America's current culture of apathy toward to political and social causes.",2010-05-24,,81
7256,Touching the Void,"Documentary,Action,Adventure","Brendan Mackey,Nicholas Aaron,Richard Hawking,Ollie Ryall,Joe Simpson,Simon Yates",Kevin Macdonald,/ozExRDtiwDqyIcRfZ7Zi14EPbiX.jpg,"A documentary based on the book of the same name by Joe Simpson about Simpson's and Simon Yates' disastrous and near-fatal attempt to climb 6,344m Siula Grande in the Cordillera Huayhuash in the Peruvian Andes in 1985.",2003-09-05,English,106
89930,Superheroes,"Documentary,Action,Comedy,Drama",,Michael Barnett,/bv0o7WEbC9NOEJ0xrTdyu12lABd.jpg,"A journey inside the world of real life caped crusaders. From all over America, these self-proclaimed crime fighters, don masks, homemade costumes and elaborate utility belts in an attempt to bring justice to evildoers everywhere.",2011-08-08,English,81
73472,Shooting War,"Documentary,Action,War,History","Tom Hanks,Stephen Ambrose,Russ Meyer,John Ford",Richard Schickel,/4CwBCwswRShW8IeeFd8etV5h2IC.jpg,"A remarkable film that takes a special look at the first war to be truly reported and recorded by one of the more unsung heroes of World War II: the combat photographer. Through the unflinching eye of their camera's lenses, these courageous soldiers continually risked their lives in their brave attempts to capture history.",2000-12-07,English,88
4455,Thrill Ride: The Science of Fun,"Documentary,Adventure",,Ben Stassen,/8sfgexNjIKhM8AOAjzuyDbOoJ81.jpg,"How to create the imagination of movement for fun parks is the theme of this documentary. Although engineers try and try to create machines that shake, tilt, turn, lift and drop people in a way that fools their senses, the real McCoy cannot be imitated: Roller Coasters just let you experience movement much, much more intense than everything else - even on the screen.",1997-07-11,English,
113282,Where the Trail Ends,"Documentary,Adventure,Drama","Darren Berrecloth,Kurt Sorge,Andreu Lacondeguy,Cam McCaul,Cameron Zink,James Doerfling,Paul Basagoitia,Robbie Bourdon,Kyle Strait,Mike Kinrade",Jeremy Grant,/28siwjNzwvOkRkoEUoF9ok1neQe.jpg,"""Where the Trail Ends..."" is a film following the worlds' top freeride mountain bikers as they search for un-ridden terrain around the globe, ultimately shaping the future of big mountain freeriding.  This unparalleled story documents man's challenge of mother nature and himself showcased through a cast of colorful characters. This is the most progressive and ambitious mountain biking ever attempted resulting in an entertainment adventure unlike anything experienced before.",2012-09-19,English,85
57972,Deep Water,"Documentary,Adventure,Drama,Action","Tilda Swinton,Simon Russell Beale,Jean Badin,Donald Crowhurst,Clare Crowhurst,Simon Crowhurst,Santiago Franchessie,Ted Hynds,Donald Kerr,Robin Knox-Johnston,Francoise Moitessier de Cazalet,Ron Winspear,Rodney Hallworth","Louise Osmond,Jerry Rothwell",/oSOMJMDOef9AuviQCzc3S1iTAji.jpg,"DEEP WATER is the stunning true story of the fateful voyage of Donald Crowhurst, an amateur yachtsman who enters the most daring nautical challenge ever – the very first solo, non-stop, round-the-world boat race.",2006-12-15,"English,Español",92
147772,All The Time In The World,"Documentary,Adventure,Family",,Suzanne Crocker,/1oi8vdmKGilnHoxrfaUucPYqLTT.jpg,All the Time in the World is a though provoking and personal documentary that offers a sociological commentary on what today's life has evolved into for most of us and what happens when a courageous family chooses a seemingly simpler life.,2015-07-17,,89
96504,The Manzanar Fishing Club,"Documentary,Adventure,History","Scott Sutton,Bonnie Perkinson,Philip Friedman,Rachel Garcia",Cory Shiozaki,/xZ0cdruKEOmoBd45hVRqIX61S6O.jpg,,2012-03-30,English,
