movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
126,The NeverEnding Story III,Fantasy,"Jason James Richter,Melody Kay,Kevin McNulty,Tracey Ellis,Jack Black,Carole Finn,Ryan Bollman,Freddie Jones,Julie Cox,Moya Brady,Tony Robinson,Thomas Petruo,Nicole Parker,Adrien Dorval",Peter MacDonald,/driZCEKL79PaCsZNICSU3xd59sk.jpg,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,1994-10-26,English,95
592,Batman,"Fantasy,Action","Michael Keaton,Jack Nicholson,Kim Basinger,Michael Gough,Billy Dee Williams,Robert Wuhl,Pat Hingle,Jack Palance,Jerry Hall,Tracey Walter,William Hootkins,Lee Wallace,Christopher Fairbank,Edwin Craig,Hugo Blick,Vincent Wong,Richard Strange,Richard Durden,Sam Douglas,Steve Plytas",Tim Burton,/kBf3g9crrADGMc2AMAMlLBgSm2h.jpg,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker, who has seized control of Gotham's underworld.",1989-06-23,"English,Français",126
52722,Spider-Man 3,"Fantasy,Action,Adventure","Tobey Maguire,Kirsten Dunst,James Franco,Thomas Haden Church,Topher Grace,Bryce Dallas Howard,Rosemary Harris,James Cromwell,J.K. Simmons,Theresa Russell,Dylan Baker,Bill Nunn,Elizabeth Banks,Ted Raimi,Perla Haney-Jardine,Willem Dafoe,Cliff Robertson,Elya Baskin,Mageina Tovah,Michael Papajohn,Joe Manganiello,Stan Lee,Bruce Campbell,Christopher Young,Grant Curtis,Daniel Gillies,John Paxton,Becky Ann Baker,Steve Valentine,Hal Fishman,Lucy Gordon,Toni Wynne,Andre B. Blake,Tim Maculan,Marc Vann,Joe Bays,Gregg Daniel,Rogelio T. Ramos,Timothy Patrick Quill,Kathryn Bryding,Joe Virzi,Bill E. Rogers,Michael Alexander,April Parker-Jones,Edward Padilla,Robert Curtis Brown,Paul Terrell Clayton,Carolyn Neff,Christina Cindrich,Sonya Maddox,Derrick 'Phoenix' Thomas,Jessi Collins,Michael McLaughlin,Anne Gartlan,Emilio Rivera,Keith Woulard,Reynaldo Gallegos,Jim Coope,Dean Edwards,Margaret Laney,Aimee Miles,Tanya Bond,Mark Kubr,Tony Besson,Ramon Adams,A.J. Adelman,Angelis Alexandris,Dawn Marie Anderson,Frank Anello,Anya Avaeva,David Backus,Tiffany L. Baker,Marc C. Cancassi,Sujeilee Candele,Michael Ciesla,Irina Costa,John Crann,Crystal Marie Denha,Amy V. Dewhurst,Paul Edney,Natalie Fabry,Keith Fausnaught,Amanda Florian,Brianna Leann Florian,Tiffany Ashley Florian,Shaun Patrick Flynn,Logan Fry,Kevin Fung,Tony Galtieri,Chuck Gerena,Brian Hopson,Claude Jay,Julie Jei,Andrew James Jones,Natalie Jones,Christopher Jude,Brittany Krall,Alyssa Lakota,Tia Latrell,Linda Lee,Pierangeli Llinas,Bernadette Lords,Sandrine Marlier,Laura McDavid,Natalie McNeil,Daniel Mignault,Martha Millan,Michele-Nanette Miller,Claudia Katz Minnick,Robert Myers,Joseph O'Brien,Jen Oda,Anjelia Pelay,Nick Poltoranin,Vanessa Reseland,La Rivers,Bria Roberts,Luis Rosa,Vanessa Ross,Brenna Roth,Shade Rupe,Arick Salmea,Eric Shackelford,Daniel Shafer,Abbey Skinner,Kristin Somo,Jennifer Sparks,Christopher Stadulis,Jimmy Star,Arne Starr,Liam Stone,Tajna Tanovic,Aija Terauda,Brigid Turner,Evelyn Vaccaro,Nick Vlassopoulos,Sincerely A. Ward,Silq Webster,Graig F. Weich,Fredrick Weiss,Jennifer Weston,Trenton Willey,Ray Wineteer",Sam Raimi,/btocnvK4l8a4BGS887ed3lsTFog.jpg,"The seemingly invincible Spider-Man goes up against an all-new crop of villains – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",2007-05-01,"English,Français",139
112175,How to Train Your Dragon 2,"Fantasy,Action,Adventure,Animation,Comedy,Family","Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill,Christopher Mintz-Plasse,T.J. Miller,Kristen Wiig,Djimon Hounsou,Kit Harington,Kieron Elliott,Philip McGrade,Andrew Ableson,Gideon Emery,Simon Kassianides,Randy Thom",Dean DeBlois,/lRjOR4uclMQijUav4OjeZprlehu.jpg,"The thrilling second chapter of the epic How To Train Your Dragon trilogy brings back the fantastical world of Hiccup and Toothless five years later. While Astrid, Snotlout and the rest of the gang are challenging each other to dragon races (the island's new favorite contact sport), the now inseparable pair journey through the skies, charting unmapped territories and exploring new worlds. When one of their adventures leads to the discovery of a secret ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",2014-06-12,English,102
69805,The Librarian: The Curse of the Judas Chalice,"Fantasy,Action,Adventure,Comedy","Noah Wyle,Bob Newhart,Stana Katic,Bruce Davison,Jane Curtin,Dikran Tulaine,Jason Douglas,Beth Burvant,Aimee Spring Fortier,Earl Maddox",Jonathan Frakes,/oqz2HSwcMij8aG8T5vzgvAPg1mo.jpg,"While on a dangerous mission to recover the historic Judas Chalice, Flynn is saved by Simone. But when double-crossed by a respected professor and ambushed by a ruthless gang, Flynn realizes Simone's secret, his true mission and a shocking discovery are all lying within a decaying New Orleans crypt.",2008-10-25,English,95
134067,Hercules the Avenger,"Fantasy,Action,Adventure,Drama","Reg Park,Gia Sandri,Giovanni Cianfriglia,Adriana Ambesi,Luigi Barbini,Franco Ressel,Luigi Donato,Marisa Belli,Corrado Sonni,Mimmo Poli,Giulio Maculani,Gianni Solaro",Maurizio Lucidi,/7iZ5vFTVMtbazKlK1tK3p4V123i.jpg,"Reg Park returns to his antics of old as the man of iron in HERCULES THE AVENGER. The Son of Jove undertakes another journey into the nether realms battling zombies and monsters in order to rescue his son, allowing goddess Gia an opportunity to place her own slacker son in Hercules' sandals. There's something for everyone: ghouls, dragons, sweating men and girls in skimpy outfits.",1965-08-13,Italiano,90
49649,Eragon,"Fantasy,Action,Adventure,Family","Ed Speleers,Jeremy Irons,Sienna Guillory,Robert Carlyle,Djimon Hounsou,Garrett Hedlund,Joss Stone,Rachel Weisz,John Malkovich,Alun Armstrong,Christopher Egan,Gary Lewis,Steve Speirs,Caroline Chikezie,Richard Rifkin",Stefen Fangmeier,/5YOPiILsHw2Onsqyev9IYhSZ4Vy.jpg,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realized he's the one person who can defend his home against an evil king.",2006-12-14,English,104
70697,G-Force,"Fantasy,Action,Adventure,Family,Comedy","Sam Rockwell,Penélope Cruz,Tracy Morgan,Jon Favreau,Steve Buscemi,Nicolas Cage,Edwin Louis,Jared Lavette,Micah Lavette,Bill Nighy,Will Arnett,Zach Galifianakis,Kelli Garner,Niecy Nash,Loudon Wainwright III,Tyler Patrick Jones,Piper Mackenzie Harris,Chris Ellis,Gabriel Casseus,Justin Mentell,Troy Robinson",Hoyt Yeatman,/ecTQ40F6Ob4JW2qMRUf8ThxViyd.jpg,"A team of trained secret agent animals, guinea pigs Darwin, Juarez, Blaster, mole Speckles, and fly Mooch takes on a mission for the US government to stop evil Leonard Saber, who plans to destroy the world with household appliances. But the government shuts them down and they are sentenced to a pet shop. Can they escape to defeat the villain and save the world?",2009-07-21,English,88
5182,Hawk the Slayer,"Fantasy,Action,Adventure,Science Fiction","Jack Palance,John Terry,Bernard Bresslaw,Ray Charleson,Peter O'Farrell,William Morgan Sheppard,Patricia Quinn,Cheryl Campbell,Annette Crosbie,Catriona MacColl,Shane Briant,Harry Andrews,Christopher Benjamin,Roy Kinnear,Patrick Magee,Ferdy Mayne,Graham Stark,Warren Clarke,Declan Mulholland,Derrick O'Connor,Peter Benson,Maurice Colbourne,Barry Stokes,Anthony Milner,John J. Carney,Robert Putt,Mark Cooper,Stephen Rayne,Ken Parry,Lindsey Brook,Eddie Stacey,Jo England,Frankie Cosgrave,Melissa Wiltsie,Robert Rietty",Terry Marcel,/aQyC61n6pnZ0kPpKJV2ms9FT44f.jpg,"Hawk the Slayer, after seeing both his father and bride die at the hands of his malevolent brother, Voltan, sets out for revenge and the chance to live up to his title. Tooling himself up with the ""mind-sword"" and recruiting a motley band of warriors: a giant, a dwarf, a one-armed man with a machine-crossbow and an elf with the fastest bow in the land; Hawk leads the battle against Voltan to free the land from the forces of evil and avenge his loved ones.",1980-08-27,English,90
65682,Underworld: Rise of the Lycans,"Fantasy,Action,Adventure,Science Fiction,Thriller","Bill Nighy,Michael Sheen,Rhona Mitra,Shane Brolly,Steven Mackintosh,Kevin Grevioux,David Aston,Geraldine Brophy,Leighton Cardno,Alexander Carroll,Elizabeth Hawthorne,Jason Hood,Mark Mitchinson,Craig Parker,Timothy Raby,Tania Nolan,Kate Beckinsale,Jared Turner,Olivia Taylforth",Patrick Tatopoulos,/hZtK6fkusSKzGc0f7yQ2syo14Ze.jpg,"A prequel to the first two Underworld films, this fantasy explains the origins of the feud between the Vampires and the Lycans. Aided by his secret love, Sonja, courageous Lucian leads the Lycans in battle against brutal Vampire king Viktor. Determined to break the king's enslavement of his people, Lucian faces off against the Death Dealer army in a bid for Lycan independence.",2009-01-22,English,92
