movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
285,Beyond Bedlam,Horror,"Elizabeth Hurley,Craig Fairbrass,Keith Allen,Jesse Birdsall,Craig Kelly,Anita Dobson",Vadim Jean,/h7hwxnIC997ceboreSmEZo82bAw.jpg,An experiment gone awry places a neurologist (Elizabeth Hurley) and a homicide detective (Craig Fairbrass) in a psychopath's (Keith Allen) nightmarish world.,1994-04-22,English,89
2167,Blade,"Horror,Action","Wesley Snipes,Stephen Dorff,Kris Kristofferson,N'Bushe Wright,Donal Logue,Udo Kier,Arly Jover,Traci Lords,Kevin Patrick Walls,Tim Guinee,Sanaa Lathan,Eric Edwards,Donna Wong,Carmen Thomas,Shannon Lee,Kenny Johnson,Clint Curtis,Judson Scott,Sidney S. Liufau,Keith Leon Williams,Andray Johnson,Stephen R. Peluso,Marcus Aurelius,John Enos III,Eboni 'Chrystal' Adams,Lyle Conway,Freeman White,D.V. DeVincentis,Marcus Salgado,Esau McKnight Jr.,Erl Van Douglas,Matt Schulze,Lennox Brown,Yvette Ocampo,Irena Stepic,Jenya Lano,Levan Uchaneishvili,Richard 'Dr.' Baily,Nikki DiSanto,Ryan Glorioso,Jeff Imada,Elliott James,Stephen Norrington,Gerald Okamura,Frankie Ray,Carrie Seeley,Beth Theriac,Ted King",Stephen Norrington,/r0RQ9ZOEZglLOeYDNJTehVTRoR6.jpg,"When Blade's mother was bitten by a vampire during pregnancy, she did not know that she gave her son a special gift while dying: All the good vampire attributes in combination with the best human skills. Blade and his mentor Whistler battle an evil vampire rebel (Deacon Frost) who plans to take over the outdated vampire council, capture Blade and resurrect voracious blood god La Magra.",1998-08-21,"Pусский,English",120
96200,War of the Dead,"Horror,Action,Adventure","Andrew Tiernan,Mikko Leppilampi,Jouko Ahola,Samuel Vauramo,Andrius Paulavičius",Marko Mäkilaakso,/u2xcdwUr7FCgyB23OBALnbIzEaR.jpg,"Captain Martin Stone is leading a finely-trained, elite platoon of Allied soldiers as they attack an enemy bunker. Underestimating their enemy's strength, they are quickly beaten back into the forest. As they try to regroup, they are suddenly attacked by the same soldiers they had just killed a few minutes earlier. Forced to flee deeper into Russian territory, they discover one of war's most terrifying secrets and realize they have woken up a far more deadlier enemy.",2011-10-22,English,86
171325,Santo vs. the Zombies,"Horror,Action,Adventure,Mystery","Santo,Lorena Velázquez,Armando Silvestre,Jaime Fernández,Dagoberto Rodríguez,Irma Serrano,Carlos Agostí,Ramón Bugarini,Fernando Osés,Julián de Meriche,Alejandro Cruz",Benito Alazraki,/cfReMS0ZEgkYNOEyXledp5hfyYR.jpg,,1961-01-02,Español,85
160372,Sucker,"Horror,Action,Adventure,Science Fiction","Michael Manasseri,Kimberley Kates,Jordan Trovillion,Lloyd Kaufman,Ted Myers,Ricky Wayne,Dana Gamarra,Danny Mooney ,Monty Bane",Michael Manasseri,/8nfglHX9ejKnjMSJWmPrrqZAcg8.jpg,"Down on his luck and unlikely hero, Jim Crawley is having the worst day of his miserable life. He decides to end it all and even fails at that. An improbable event changes everything and he becomes a half man/half creature.",2013-12-29,English,77
104449,Blubberella,"Horror,Action,Comedy","Lindsay Hollister,Willam Belli,Uwe Boll,Brendan Fletcher,Michael Paré,Annett Culp,Clint Howard,Steffen Mennekes,Arved Birnbaum,Safiya Kaygin,Nik Goldman,Davorka Tovilo,Dora Lipovčan,Katarina Brozinčević,Luka Peroš,Goran Manic,Boris Balta",Uwe Boll,/oy6avjNot97LOk7HrRk2fSW172u.jpg,"An action comedy centered on Blubberella, an overweight half-vampire woman whose footsteps cause explosions and whose dual swords are used against anyone who makes fun of her. She must face an army of undead Nazi soldiers in her valiant struggle against bloodshed and tyranny.",2011-07-29,English,83
7845,Tremors 2: Aftershocks,"Horror,Action,Comedy,Science Fiction","Fred Ward,Chris Gartin,Helen Shaver,Michael Gross,Marcelo Tubert,Marcos Hernández,José Ramón Rosario,Thomas Rosales, Jr.",S. S. Wilson,/paM021FyQsgsErxRa7ywRz7EQCv.jpg,"Those supersucking desert creatures are back --- and this time they're south of the border. As the creatures worm their way through the oil fields of Mexico, the only people who can wrangle them are veteran Earl Bassett and survivalist Burt Gummer. Add to that team a young punk out for cash and a fearless scientist, and the critters don't stand a chance.",1996-04-09,"English,Español",100
93070,The Bear,"Horror,Action,Comedy,Thriller","Șerban Pavlu,Claudiu Bleonţ,Gabriel Spahiu,Mihai Constantin,Magda Catone,Andreea Gramosteanu,Serban Celea,Toma Cuzin,Radu Gabriel,Axel Moustache,Cosmin Selesi,Nicodim Ungureanu",Dan Chisu,/gMqZSSiXhcSXYL0FMc3L3vImH0T.jpg,"At the Bucharest Circus, the new young manager is trying to solve the major financial issues of the company by selling its only bear (old and about to die soon) to German hunters. But the artists do not want to sacrifice their favorite animal so the manager decides to steal the bear and run to the mountains to meet the Germans. A crazy road movie starts following the bear.",2011-05-06,Română,80
166589,Hobgoblins,"Horror,Action,Comedy,Thriller,Science Fiction","Tom Bartlett,Paige Sullivan,Steven Boggs,Kelley Palmer,Billy Frank,Tamara Clatterbuck,Duane Whitaker,James R. Sweeney,Kari French,Daran Norris,Ken Abraham",Rick Sloane,/3rkwiSZdPCnqDmsDap1cUG5y7Dj.jpg,"A group of hobgoblins, who allow you to live out your fantasies but kill you in the process, escape from a studio vault, and a security guard and his friends must stop them before dawn.",1988-07-14,English,92
114680,Rigor Mortis,"Horror,Action,Drama","Chin Siu Ho,Anthony Chan,Kara Hui,Lo Hoi-Pang,Pau Hei-Ching,Richard Ng,Billy Lau,Chung Fat,Ko Cheun-Man,Morris Ho Kwong-Yui,Oggy Ho Hong-Man,Zip Ho Kin-Man,Bobo Tsang Bo,Giselle Lam,Lau Chak-Sun,Fung Kwok-Shing,Aaron Lo Pui-Him,Cheung Wing-Foo,Yang Yi-Yi",Juno Mak,/sJ1uzZEbXNtZN31r0VUPBj1C4BO.jpg,"Juno Mak’s debut feature Rigor Mortis is an eerie and chilling, contemporary action- and special effects-laden homage to the classic Chinese vampire movies of the 1980s.",2013-09-06,广州话 / 廣州話,105
