movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
1181,The Shooter,Western,"Michael Dudikoff,Randy Travis,Valerie Wildman,Andrew Stevens,William Smith,Libby George",Fred Olen Ray,/3po7OVdCPVwGopM7HgIGFvZsYU8.jpg,"The story is of a small town in the early west and of a 'shooter' of reputation that drifts into it and stands up to the controlling family that runs it. But far from a John Wayne, this hero is caught and brutally beaten and left to die, only to be saved by a prostitute that has also suffered under the hand of this group of desperados. The only one possible to stand up to the shooter is another solitary man who joins with the notorious family although he is deputized as the town's sherif.",1997-10-23,English,91
5063,One-Eyed Jacks,"Western,Action","Marlon Brando,Karl Malden,Katy Jurado,Pina Pellicer,Ben Johnson,Slim Pickens,Larry Duran,Sam Gilman,Timothy Carey,Miriam Colón,Elisha Cook Jr.,Rodolfo Acosta,Ray Teal,Hank Worden,John George",Marlon Brando,/8fwKm8kH9OtOjYjyF6Sy2MrjcWl.jpg,"Running from the law after a bank robbery in Mexico, Dad Longworth finds an opportunity to take the stolen gold and leave his partner Rio to be captured. Years later, Rio escapes from the prison where he has been since, and hunts down Dad for revenge. Dad is now a respectable sheriff in California, and has been living in fear of Rio's return.",1961-03-30,"English,Español",141
124408,Last of the Comanches,"Western,Action,Adventure","Broderick Crawford,Barbara Hale,Johnny Stewart,Lloyd Bridges,Mickey Shaughnessy,George Mathews,Hugh Sanders,Ric Roman,Chubby Johnson,Martin Milner,Milton Parsons,Jack Woody,John War Eagle,George Chesebro,Steve Forrest,Harry Harvey,Jay Silverheels,Carleton Young",André De Toth,/oslcjHTz5TBNUuT3uLhhCmG1uXu.jpg,"It's 1876 and all the Indians are at peace except the Comanches lead by Black Cloud. When Black Cloud wipes out a town, only six soldiers are left and they head for the nearest fort. In the desert they are reinforced by members of a stagecoach and find some water at a deserted mission. Pinned down by Black Cloud they send an Indian boy who was Black Cloud's prisoner on to the fort while they try to bargain with Black Cloud whom they learn is without water.",1953-02-01,English,85
84643,Allegheny Uprising,"Western,Action,Adventure,History","Claire Trevor,John Wayne,George Sanders,Brian Donlevy,Wilfrid Lawson,Robert Barrat,John F. Hamilton,Moroni Olsen,Eddie Quillan,Chill Wills,Ian Wolfe,Wallis Clark,Monte Montague,Olaf Hytten,Eddy Waller,Clay Clement,Earl Askam,Stanley Blystone,Horace B. Carpenter,Jess Cavin,Tom Coleman,Forrest Dillon,Jesse Graves,Lew Harvey,Leyland Hodgson,Noble Johnson,Carl Knowles,Ethan Laidlaw,Tom London,Robert McKenzie,Charles Middleton,Clive Morgan,Jack O'Shea,Bud Osborne,Douglas Spencer",William A. Seiter,/pRoEkLibJvmSqVEKR33tV2aPicI.jpg,"Allegheny Uprising is a 1939 film produced by RKO Pictures, starring Claire Trevor and John Wayne as pioneers of early American expansion in south central Pennsylvania. Clad in buckskin and a coonskin cap (as he would be a decade later in The Fighting Kentuckian), Wayne plays real-life James Smith, an American coping with British rule in colonial America. The film is loosely based on a historical event known as the Black Boys Rebellion during the 1760s.",1939-11-10,English,81
68855,Montana,"Western,Action,Adventure,Romance","Errol Flynn,Alexis Smith,S.Z. Sakall,Douglas Kennedy,James Brown,Ian MacDonald,Charles Irwin,Paul E. Burns,Tudor Owen,Lester Matthews","Ray Enright,Raoul Walsh",/7X0nX6tMHyobz4A6R5D82htaTkZ.jpg,"An Australian sheep man comes to Montana looking for grazing space, is opposed by local ranchers and a wealthy cattle-woman.",1950-01-28,English,76
438,The Cowboy Way,"Western,Action,Comedy","Woody Harrelson,Kiefer Sutherland,Dylan McDermott,Ernie Hudson,Marg Helgenberger,Luis Guzmán,Angel Caban,Joaquin Martinez,Tomás Milián,Cara Buono,Allison Janney",Gregg Champion,/dNyAx7mCOz69QtNObLKC2gw9f1p.jpg,"Two championship rodeo partners travel to New York to find their missing friend, Nacho Salazar who went missing there.",1994-06-03,English,102
4696,"Zorro, The Gay Blade","Western,Action,Comedy,Adventure,Romance","George Hamilton,Lauren Hutton,Brenda Vaccaro,Ron Leibman,Donovan Scott,James Booth,Helen Burns",Peter Medak,/7qO9lyAVkFRSvKm5ESVwiGTJtm7.jpg,"George Hamilton stars in a dueling dual role as twin sons of the legendary Zorro. Soon after the dashing Don Diego Vega inherits his father's famous sword and costume, a broken ankle prevents the masked avenger from fulfilling his heroic duties. When his flamboyantly fashion-conscious brother assumes the secret identity to continue an ongoing fight for justice, the results are nothing short of hilarious!",1981-07-17,English,93
147528,Dead Man's Revenge,"Western,Action,Crime","Bruce Dern,Michael Ironside,Vondie Curtis-Hall,Keith Coulouris,Daphne Ashbrook,Tobin Bell,John M. Jackson,Melora Walters,Jack Rader,Doug McClure,Randy Travis",Alan J. Levi,/ntegi5O44QUzPse5qg6EiE1nJcL.jpg,"Bitter and vengeful fugitive Luck Hatcher, dignified former slave turned bounty hunter Jessup Bush, and wily deputy U.S. Marshal Bodine all converge in a small town so they can hatch an intricate con in order to bring greedy and ruthless railroad speculator Payton McCay to justice.",1994-04-15,English,100
110399,Boots and Saddles,"Western,Action,Drama","Gene Autry,Smiley Burnette,Judith Allen,Ronald Sinclair,Guy Usher,Bill Elliott,Frankie Marvin,Chris-Pin Martin,Stanley Blystone,Bud Osborne,John Ward",Joseph Kane,/axl4gtgvWgqnPfBkv7PgKDyc8yy.jpg,"Young Englishman inherits ranch which he wants to sell, but Gene's gonna turn him into a real westerner instead. When new owner Spud arrives from England, Autry convinces him not to sell the ranch but to raise horses for the Army. When both Autry's and Neale's bids are the same, the Colonel calls for a race to decide the winner. But that night Neale has Autry's stable burned.",1937-10-04,English,58
116553,The Desperate Trail,"Western,Action,Drama,Crime","Sam Elliott,Craig Sheffer,Linda Fiorentino,Frank Whaley,John Furlong,John Furlong,Bradley Whitford",P.J. Pesce,/1wH2QZv3aTBOmM7DMhpu1qK0pNp.jpg,"Amiable con man Jack Cooper is on a westbound stagecoach, headed for the next batch of suckers who will mistake him for an easy mark. Fiery Sarah O'Rourke rides the same coach, handcuffed to lawman Bill Speakes and headed for the hangman. In a few hours, all should reach their destinations. But the trail they travel takes an unexpected turn: Cooper and O'Rourke are soon off the stage and running for their lives. The law ends and the chase begins in a very alive tale of wanted-dead-or-alive fugitives (Linda Fiorentino and Craig Sheffer) pursued by a marshal (Sam Elliott) who's a law unto himself.",1995-07-09,"English,Español",96
2235,One Man's Hero,"Western,Action,Drama,History","Tom Berenger,Joaquim de Almeida,Daniela Romo,Mark Moses,Stuart Graham,Gregg Fitzgerald,Don Wycherley,Wolf Muser,Luke Hayden,Ilia Volok,Patrick Bergin,James Gammon,Carlos Carrasco,Stephen Tobolowsky,Dermot Martin",Lance Hool,/vgvVNmCybkmOtaSXpSG7aONQrJ2.jpg,"One Man's Hero tells the little-known story of the ""St. Patrick's Battalion"" or ""San Patricios,"" a group of mostly Irish and other immigrants of the Catholic faith who deserted to Mexico after encountering religious and ethnic prejudice in the U.S. Army during the Mexican-American War. The plot centers around the personal story of John Riley, an Irishman who had been a sergeant in the American Army who is commissioned as a captain in the Mexican army and commands the battalion, as he leads his men in battle and struggles with authorities on both sides of the border",1999-08-02,English,121
115235,Young Ones,"Western,Action,Drama,Science Fiction","Michael Shannon,Nicholas Hoult,Elle Fanning,Kodi Smit-McPhee,Aimee Mullins,Christy Pankhurst,Alex McGregor,Robert Hobbs,David Butler,David Clatworthy,Liah O'Prey,Carel Nel,Gideon van Schoor,Andy McPhee,Benny Horowitz,Rachel Wood,Charles Tertiens,Vlam Beukes,Barry Armitage,Karen Snyman",Jake Paltrow,/kCTYduARud4wGjv6sracsqsbDtq.jpg,"In a future where water is scarce, a farmer defends his land and hopes to rejuvenate his parched soil. However, his daughter's boyfriend schemes to steal the land for himself.",2014-06-28,English,100
168190,Journey to Shiloh,"Western,Action,Drama,War","James Caan,Michael Sarrazin,Brenda Scott,Don Stroud,Paul Petersen,Michael Burns,Jan-Michael Vincent,John Doucette,Noah Beery, Jr.,Tisha Sterling,James Gammon,Brian Avery,Harrison Ford",William Hale,/ntEWIKsdOoxktJq8f8Dk55eRvIv.jpg,"At the beginning of the Civil War, seven friends embark on a cross-country journey in order to join the Confederate army.",1968-04-25,English,101
115921,Dead in Tombstone,"Western,Action,Fantasy,Horror","Danny Trejo,Mickey Rourke,Anthony Michael Hall,Dina Meyer,Richard Dillane,Ronan Summers,James Carroll Jordan,Catalina Grama,Edward Akrout,Dan Badarau,Colin Mace,Emil Hostina,Ovidiu Niculescu,Radu Andrei Micu,Daniel Lapaine,George Remes,Ioan Cortea,Tomi Cristin,Corneliu Ulici,Claudiu Trandafir,Radu Iacoban,Daniel Pisica,Miriam Rizea,Constantin Barbulescu,Mike Elliott,Ioan Ionescu,Răzvan Oprea,Marius Capota,Ornella Boulé,Sandy Romero",Roel Reiné,/esk9F3hBlNYsUk9koPrOyfYlLaB.jpg,"An outlaw named Guerrero Hernandez is shot in the back and killed whilst attempting to free his half-brother from a small-town prison. Making a deal with the devil, Hernandez returns from the dead to take his revenge.",2013-10-01,English,100
123095,Left for Dead,"Western,Action,Horror","Victoria Maurette,Mariana Seligmann,Andres Bagg,María Alché,Javier De la Vega,Janet Bar,Soledad Arocena,Adnen Helali,Oliver Kolker,Brad Krupsaw",Albert Pyun,/6ZrphdxlM6AGIxfYg3WrnO2AIBl.jpg,"Set in Mexico, Left For Dead is a bloody and sick dream ... A spaghetti western in terror. A desperate criminal will be caught in the ghost town of Amnesty alongside a vengeful demon ...",2007-03-04,English,84
91031,Wichita,"Western,Action,Romance","Joel McCrea,Vera Miles,Lloyd Bridges,Wallace Ford,Jack Elam,Edgar Buchanan,Peter Graves,Keith Larsen,Carl Benton Reid,John Smith,Walter Coy,Robert J. Wilke,Mae Clarke,Walter Sande",Jacques Tourneur,/wUPhJkTgTnYlU83JHIKTrUIvQkF.jpg,Former buffalo hunter and entrepreneur Wyatt Earp arrives in the lawless cattle town of Wichita Kansas. His skill as a gun-fighter make him a perfect candidate for Marshal but he refuses the job until he feels morally obligated to bring law and order to this wild town.,1955-07-03,English,81
162788,"Aliens in the Wild, Wild West","Western,Action,Science Fiction","Taylor Locke,Carly Pope,Barna Moricz,Markus Parilo",George Erschbamer,/ybq7IoQ28UybkmzKyL7M18ChaNI.jpg,"When a UFO crash lands nearby, it's up to a couple of kids to save the aliens from the local townspeople.",1999-08-17,English,90
143259,4Got10,"Western,Action,Thriller","Dolph Lundgren,Danny Trejo,Johnny Messner,Vivica A. Fox,Michael Paré,Stefania Spampinato,Erin O'Brien,Natassia Malthe,John Laughlin,Angell Conwell",Timothy Woodward Jr.,/b2lhUuG95CZbZ36CX6il0jCCobA.jpg,"Brian Barnes (Johnny Messner) wakes up in the desert wounded and with no memory and no idea why he's surrounded by eight bodies, a van with four million in cash and a van full of cocaine. Brian is pursued by not only notorious drug lord Danny Perez (Danny Trejo) who desperately want his money back, and DEA Agent Rooker (Dolph Lundgren), but also a by the corrupt Sheriff Olson (Michael Pare) who will stop at nothing to get his hand on the new found fortune. On the run, Brian discovers the more he remembers the less he wants to know about who he really is.",2015-09-11,English,84
