movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
42,Dead Presidents,Action,"Larenz Tate,Keith David,Chris Tucker,Freddy Rodríguez,Rose Jackson,N'Bushe Wright,Clifton Powell,Terrence Howard,Bokeem Woodbine,Sticky Fingaz,Clifton Collins Jr,Elizabeth Rodriguez,Michael Imperioli","Albert Hughes,Allen Hughes",/2dLyvXVvJXUR9otoqERkYpao1bB.jpg,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",1995-10-06,English,119
15,Cutthroat Island,"Action,Adventure","Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,Patrick Malahide,Stan Shaw,Rex Linn,Paul Dillon,Christopher Masterson,Jimmie F. Skaggs,Harris Yulin,Carl Chase,Peter Geeves,Angus Wright,Ken Bones,Mary Peach,Thomas Lockyer,Roger Booth,George Murcell,Simon Atherton,Dickey Beer,Christopher Halliday,Chris Johnston,Richard Leaf,Tam White,Rupert Vansittart,Nick Bartlett,David Bailie,Kwame Kwei-Armah,Ramon Tikaram,Christopher Adamson",Renny Harlin,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",1995-12-22,"English,Latin",119
77709,The Sky Crawlers,"Action,Adventure,Animation","Bryce Hitchcock,Chiaki Kuriyama,Rinko Kikuchi,Ryo Kase,Shosuke Tanihara,Megumi Yamaguchi,Daisuke Hirakawa,Takuma Takewaka,Mugihito,Houchu Ohtsuka,Mabuki Andô,Fumie Mizusawa,Naoto Takenaka,Mako Hyoudou",Mamoru Oshii,/bCObr03CsKOOwKysoUL5teG8wmU.jpg,"Youngsters called Kildren, who are destined to live eternally in their adolescence. The Kildren are conscious that every day could be the last, because they fight a war as entertainment, organized and operated by adults. But as they embrace the reality they are faced with, they live their day-to-day lives to the full.",2008-08-02,日本語,121
104099,Lupin the Third: The Secret of Mamo,"Action,Adventure,Animation,Comedy,Crime","Yasuo Yamada,Kiyoshi Kobayashi,Eiko Masuyama,Gorō Naya,Makio Inoue","Yasuo Ôtsuka,Soji Yoshikawa",/eWXbqrYfXa4njSnDRpMlSvxLD9l.jpg,"In Transylvania, Lupin III, the notorious international thief, is hung and no one is more suprised to learn of that than Lupin III himself, who was alive and well and nowhere near that area at that time. The answer to that mystery, begins to surface when Lupin gets a seemingly ordinary pebble from an Egyptian pyramid for his would-be girlfriend, Fujiko, the mercenary thief, who is in the employ of a mysterious figure known only as Mamo. Intrigued by this bizarre request, Lupin decides to get involved and finds himself in an international chase that has a greater scope and danger than he has ever faced.",1978-12-16,日本語,102
3754,The Adventures of Rocky & Bullwinkle,"Action,Adventure,Animation,Comedy,Family","Rene Russo,Jason Alexander,Piper Perabo,Randy Quaid,Robert De Niro,Jonathan Winters,June Foray,Keith Scott,Janeane Garofalo,Carl Reiner,John Goodman,Kenan Thompson,Kel Mitchell,David Alan Grier,Drena De Niro,Lily Nicksay,Jane Edith Wilson,Mark Holton,Doug Jones,Taraji P. Henson,Whoopi Goldberg",Des McAnuff,/pjzt6S76Uumm0aZtxNAVhDCLQ0P.jpg,"Rocky and Bullwinkle have been living off the finances made from the reruns of their cartoon show. Boris and Natasha somehow manage to crossover into reality and team up with Fearless Leader, an evil criminal turned media mogul with some evil plans up his sleeve. Rocky and Bullwinkle must stop the three of them before they wreak havoc.",2000-06-30,Pусский,88
101142,The Croods,"Action,Adventure,Animation,Comedy,Family,Fantasy","Nicolas Cage,Emma Stone,Ryan Reynolds,Catherine Keener,Cloris Leachman,Clark Duke,Chris Sanders,Randy Thom","Kirk De Micco,Chris Sanders",/eHi3Nbgh6Cs2KiIyEMF4Ig4CdjX.jpg,"The Croods is a prehistoric comedy adventure that follows the world's first family as they embark on a journey of a lifetime when the cave that has always shielded them from danger is destroyed. Traveling across a spectacular landscape, the Croods discover an incredible new world filled with fantastic creatures -- and their outlook is changed forever.",2013-03-20,English,98
5629,Jonah: A VeggieTales Movie,"Action,Adventure,Animation,Comedy,Family,Fantasy,Romance","Phil Vischer,Mike Nawrocki,Tim Hodge,Lisa Vischer,Daniel Anderson,Kristin Blegen,Shelby Vischer,Jim Poole,Ron Smith,Sarah Catherine Brooks,Paige Craig,Adam Frick,Chris Geiger,Michael Harrison,Amy Howard","Mike Nawrocki,Phil Vischer",/iWahPsY3hsKOizZHgzQcAxv4O3B.jpg,"Get ready as Bob the Tomato, Larry the Cucumber and the rest of the Veggies set sail on a whale of an adventure in Big Idea's first full-length, 3-D animated feature film. This is the story of Jonah and the Whale as you've never seen it before - a story where we learn that one of the best gifts you can give - or get - is a second chance.",2002-10-04,"Český,English",82
4990,Jimmy Neutron: Boy Genius,"Action,Adventure,Animation,Comedy,Family,Fantasy,Science Fiction","Debi Derryberry,Megan Cavanagh,Mark DeCarlo,Jeffrey Garcia,Patrick Stewart,Martin Short,Frank Welker,Rob Paulsen,Carolyn Lawrence,Crystal Scales,Candi Milo,David L. Lander,Carlos Alazraqui,Jim Cummings,Keith Alcorn,Kimberly Brooks,Andrea Martin,Billy West,Bob Goen,Mary Hart,Bob Goen,Dee Bradley Baker,Greg Eagles,Jack Angel,Laraine Newman,Gregg Berger,Mickie McGowan,Phil Proctor",John A. Davis,/l8p1fcUaqGJJMvPFtnXC2Uz079f.jpg,"Jimmy Neutron is a boy genius and way ahead of his friends, but when it comes to being cool, he's a little behind. All until one day when his parents, and parents all over Earth are kidnapped by aliens, it's up to him to lead all the children of the world to rescue their parents.",2001-12-21,English,83
62008,Dead Fury,"Action,Adventure,Animation,Comedy,Family,Horror",,Frank Sudol,/11hHrykFaKw904LMruDa1E5sMhz.jpg,"Animated parody of such horror classics as ""Evil Dead"" and ""The Hills Have Eyes"".",2008-08-05,,82
98358,Journey to Saturn,"Action,Adventure,Animation,Comedy,Science Fiction","Casper Christensen,Frank Hvam,Ali Kazim,Iben Hjejle,Peter Belli,Lars Hjortshøj","Kresten Vestbjerg Andersen,Thorbjørn Christoffersen",/7H6F1y4KKe2GUwSlzwQZBpx2gsC.jpg,"A Danish crew of misfits travel to Saturn in search for natural resources. However, the planet is colonized by a ruthless army of Aliens that turn their eye on Earth and invade Denmark. Thus, the crew change their mission to liberate Denmark.",2008-09-26,Dansk,90
