movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
3054,Pokémon: The First Movie: Mewtwo Strikes Back,Animation,"Rica Matsumoto,Mayumi Iizuka,Yūji Ueda,Ikue Otani,Megumi Hayashibara,Shin'ichirou Miki,Inuko Inuyama,Masachika Ichimura,Satomi Kōrogi,Kouichi Yamadera,Tōru Furuya,Raymond Johnson,Ayako Shiraishi,Chinami Nishimura,Sachiko Kobayashi,Yōsuke Akimoto,Hirotaka Suzuoki,Unsho Ishizuka,Aiko Sato,Wataru Takagi","Michael Haigney,Kunihiko Yuyama",/aalTziefHGUVLg44iyWS8B7ee5u.jpg,"The adventure explodes into action with the debut of Mewtwo, a bio-engineered Pokemon created from the DNA of Mew, the rarest of all Pokemon. Determined to prove its superiority, Mewtwo lures Ash, Pikachu and others into a Pokemon match like none before. Mewtwo vs. Mew. Super-clones vs. Pokemon. It's the ultimate showdown ... with the very future of the world at stake!",1998-07-18,日本語,75
26913,Street Fighter II: The Animated Movie,"Animation,Action","Kôjiro Shimizu,Kenji Haga,Miki Fujitani,Masane Tsukayama,Takeshi Kusaka,Kaneto Shiozawa,Shigezou Sasaoka,Jouji Nakata,Masakatsu Funaki,Yukimasa Kishino,Yoko Sasaki,Shozo Iizuka,Ginzo Matsuo,Tetsuo Kaneo,Hiromi Tsuru,Unsho Ishizuka,Daisuke Gouri",Gisaburō Sugii,/fVqAjou65kbi4jZ06m9mzeiLTNy.jpg,"Bison, the ruthless leader of the international terrorist organization Shadowlaw, has been desperately searching for the greatest fighter on the planet for years. He finds it in Ryu, a young wanderer who never stays in one place long enough for Bison to find him. He does, however, get a fix on Ken Masters, an American martial arts champion who studied with Ryu as a child under the same master. Meanwhile, Major Guile of the United States Army is forced to team up with Chun Li from China in hopes of apprehending Bison and putting a stop his international ring of crime.",1994-08-06,"English,日本語",102
60979,Batman: Gotham Knight,"Animation,Action,Adventure","Kevin Conroy,Gary Dourdan,Jason Marsden,Jim Meskimen,David McCallum,Andrea Romano,Corey Burton,Scott Menville,George Newbern,Corey Padnos,Crystal Scales,Alanna Ubach,Hynden Walch,Pat Musick,Will Friedle,Kevin Michael Richardson,Brian George,Ana Ortiz,Rob Paulsen,Parminder Nagra","Yasuhiro Aoki,Futoshi Higashide,Toshiyuki Kubooka,Hiroshi Morioka,Jong-Sik Nam,Shoujirou Nishimi",/eIAhXROHG8t3QQ7qU0HfZgL5XFf.jpg,Explore Bruce Wayne's transition from his beginning as a tormented vigilantee to The Dark Knight of a crumbling metropolis with six distinct chapters but intended to be viewed as a whole.,2008-07-03,"English,日本語",75
170127,Samurai X: Trust & Betrayal,"Animation,Action,Adventure,Drama,Romance","Mayo Suzukaze,Junko Iwao,Nozomu Sasaki,Masami Suzuki,Shuuichi Ikeda,Tomokazu Seki,Wataru Takagi,Ryusei Nakao,Hirotaka Suzuoki,Minoru Uchida,Satoshi Tsuruoka,Mitsuaki Hoshino,Hiromi Setsu,Tetsuya Iwanaga,Yôko Ogai",Kazuhiro Furuhashi,/7oG5dGAscGQTEUkWPs5q0xYkFbr.jpg,"A young boy is saved from death at the hands of bandits by a passing swordsman. The swordsman offers to take the boy in as his apprentice and renames him ""Kenshin"". After years of training, Kenshin abandons his master to join the growing revolution against the Tokugawa shogunate.",1999-01-01,日本語,120
74271,Space Pirate Captain Harlock: Arcadia of My Youth,"Animation,Action,Adventure,Drama,Science Fiction","Makio Inoue,Kei Tomiyama,Yûjirô Ishihara,Shuuichi Ikeda,Eiko Masuyama,Shûichirô Moriyama,Reiko Tajima,Hiromi Tsuru,Yuriko Yamamoto,Takeshi Aono,Hidekatsu Shibata,Reiko Mutoh,Taro Ishida,Kōji Yada",Tomoharu Katsumata,/zkVwG09IB1HRUmltxKKULEPYPh6.jpg,"After a drawn-out, viciously-fought war, the earth has been conquered by the alien Illumidus Empire. Harlock, a captain in earth's fleet, crashes his ship to prevent the Illumidus from using it, and flat-out refuses to join them. With the help of his allies, Tochiro and the space pirate Emereldas, and his lover Miya, he wages a private and bitter war against the Illumidus.",1982-01-01,日本語,130
121115,Tarzan,"Animation,Action,Adventure,Family","Kellan Lutz,Spencer Locke,Les Bubb,Joe Cappelletti,Brian Huskey,Mark Deklin,Jaime Ray Newman,Robert Capron,Jonathan Morgan Heit,Anton Zetterholm,Jason Hildebrandt,Jonathan Tweedie,Rebecca Reaney,Trevor St. John,Brian Bloom,Edd Osmond,Maximilian Allgeier,Lynn Robertson Bruce,Peter Elliott,Cecily Fay,Lilly Forgách,Craig Garner",Reinhard Klooss,/p0Ut3h7Sx6GlsVltt2ZAp8XDFmi.jpg,"One of the most classic and revered stories of all time, Edgar Rice Burroughs' Tarzan returns to the big screen for a new generation. Tarzan and Jane face a mercenary army dispatched by the evil CEO of Greystoke Energies, a man who took over the company from Tarzan's parents, after they died in a plane crash in the African jungle.",2013-10-17,English,94
168878,Project London,"Animation,Action,Adventure,Science Fiction",,Ian Hubert,/kkH7t390LN5Lvb53GZeScdQSI5s.jpg,"Nebraska Higgins leads a normal, easy life in Seattle and works as a mechanic at Joint Command’s Control Tower. Joint Command is Earth’s global police and military force established as a union between old Earth governments and Nalardian refugees and powered by their technology. Nebraska plunges into a world of struggle and intrigue after Joint Command kills his father, a hero known by his large robotic exo-suit, Arizona.",2013-06-12,,
69372,Big Man Japan,"Animation,Action,Comedy","Hitoshi Matsumoto,UA,Itsuji Itao,Ryunosuke Kamiki,Daisuke Miyagawa,Hiroyuki Miyasako,Riki Takeuchi,Haruka Unabara,Takayuki Haranishi,Shion Machida,Ryushin Tei,Yumiko Ise,Taichi Yazaki,Tomoji Hasegawa,Takuya Hashimoto,Atsuko Nakamura,Daisuke Nagakura",Hitoshi Matsumoto,/vpzbXD7SX7WgbZyansVbpFyEo7S.jpg,"In this hilarious mockumentary, middle-aged Daisato (Hitoshi Matsumoto) -- a second-rate, third-generation superhero -- annoys his neighbors with the noise and destruction he causes on the job. But a heroic public image is the least of his concerns. Besides defending Japan from bizarre monsters, he must deal with an agent seeking to brand him with ads, a superhero grandfather with Alzheimer's and a family embarrassed by his incompetence.",2007-05-19,日本語,113
62336,FLCL,"Animation,Action,Comedy,Drama,Science Fiction","Jun Mizuki,Mayumi Shintani,Izumi Kasagi,Chiemi Chiba,Hideaki Anno,Hiroshi Ito,Jun Mizuki,Kenta Miyake,Suzuki Matsuo,Yukari Fukui",Kazuya Tsurumaki,/wLtVykjjN63t2qnagH3lTft14LT.jpg,"In this 6-part mini-series, a 12-year old boy named Naota one day meets a strange woman, riding a Vespa and wielding a big guitar. As soon as she appears, mysterious things start happening.",2000-04-26,"English,日本語",151
8907,Shark Tale,"Animation,Action,Comedy,Family","Will Smith,Robert De Niro,Renée Zellweger,Jack Black,Angelina Jolie,Ziggy Marley,Martin Scorsese,David P. Smith,Doug E. Doug,Michael Imperioli,Vincent Pastore,Peter Falk,Katie Couric,Frank Vincent,Missy Elliott,Christina Aguilera,Phil LaMarr,Phil LaMarr","Bibo Bergeron,Vicky Jenson,Rob Letterman",/zSHqX4qklYrHMEcv2GiHG5UwVsz.jpg,"Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship.",2004-09-20,English,90
