movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
5,Father of the Bride Part II,Comedy,"Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,George Newbern,Kieran Culkin,BD Wong,Peter Michael Goetz,Kate McGregor-Stewart,Jane Adams,Eugene Levy,Lori Alan",Charles Shyer,/e64sOI48hQXyru7naBFyssKFxVd.jpg,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",1995-02-10,English,106
2582,Twin Dragons,"Comedy,Action","Jackie Chan,Maggie Cheung,Nina Li Chi,Teddy Robin Kwan,James Wong Jim,Sylvia Chang,Kirk Wong,David Chiang,Mabel Cheung,Alfred Cheung Kin-Ting,Johnny Wang Lung-Wei,Anthony Chan,Philip Chan Yan-Kin,Liu Chia-Liang,Wong Jing,Chor Yuen,Jamie Luk Kim-Ming,Guy Lai Ying-Chau,Dennis Chan,David Wu","Ringo Lam,Tsui Hark",/vl7aI8rWk9MoRp9j6VagrRZFxRM.jpg,"Twins, separated at birth, end up as a Hong Kong gangster and a New York concert pianist. When the pianist travels to Hong Kong for a concert, the two inevitably get mistaken for each other.",1992-01-15,"广州话 / 廣州話,普通话,Pусский",89
2041,Condorman,"Comedy,Action,Adventure","Michael Crawford,Oliver Reed,Barbara Carrera,James Hampton,Jean-Pierre Kalfon,Dana Elcar,Vernon Dobtcheff,Robert Arden",Charles Jarrott,/abgxJPCU2AAxP4kSdvdWCU6qr6r.jpg,"Comic artist and writer Woody performs a simple courier operation for his friend Harry who works for the CIA. But when he successfully fends off hostile agents, he earns the respect of the beautiful Natalia, who requests his assistance for her defection. Woody uses this request as leverage to use the CIA's resources to bring his comic book creation, Condorman, to life to battle the evil Krokov.",1981-07-02,English,90
130518,The Amazing Screw-On Head,"Comedy,Action,Adventure,Animation,Science Fiction","Paul Giamatti,David Hyde Pierce,Patton Oswalt,Corey Burton,Mindy Sterling,Molly Shannon",Chris Prynoski,/gTANNf43FKKxN5bEGNGIhBF9Wg2.jpg,"Based on the award-winning comic book by Mike Mignola (creator of Hellboy), The Amazing Screw-On Head chronicles the adventures of a Civil War-era secret agent with an extraordinary special power who serves under president Abraham Lincoln.",2006-08-20,English,22
7345,Agent Cody Banks 2: Destination London,"Comedy,Action,Adventure,Family","Frankie Muniz,Anthony Anderson,Hannah Spearritt,Alfie Allen,Cynthia Stevenson,Daniel Roebuck,Anna Chancellor,Keith Allen,James Faulkner,David Kelly,Santiago Segura,Connor Widdows,Keith David,Rod Silvers,Jack Stanley,Joshua Brody,Sarah McNicholas,Philip Pedersen,Paul Kaye,Julian Firth,Martyn Ellis,Harry Burton,Damien Hirst,Mark Williams,James Dreyfus,Patti Love,Henry Miller,Masato Kamo,Sam Douglas,Leilah Isaac",Kevin Allen,/otXNLH6J3QCV8lEmuuuEDKHXf6E.jpg,"With all-new gadgets, high-flying action, exciting chases and a wisecracking new handler, Derek (Anthony Anderson), Cody has to retrieve the device before the world's leaders fall under the evil control of a diabolical villain.",2004-03-12,English,100
2642,Superman III,"Comedy,Action,Adventure,Fantasy,Science Fiction","Christopher Reeve,Richard Pryor,Jackie Cooper,Marc McClure,Annette O'Toole,Annie Ross,Pamela Stephenson,Robert Vaughn,Margot Kidder,Gavin O'Herlihy",Richard Lester,/pDjfBk3YkdvRK2VERvoHaXJdNxF.jpg,"Aiming to defeat the Man of Steel, wealthy executive Ross Webster hires bumbling but brilliant Gus Gorman to develop synthetic kryptonite, which yields some unexpected psychological effects in the third installment of the 1980s Superman franchise. Between rekindling romance with his high school sweetheart and saving himself, Superman must contend with a powerful supercomputer.",1983-06-17,"English,Italiano,Español",125
130320,Dyke Hard,"Comedy,Action,Adventure,Fantasy,Science Fiction,Horror,Music","Lina Kurttila,Peggy Sands,Maria Wågensjö,Alle Eriksson",Bitte Andersson,/sqtbicADqm2YQixg7j86452ZOM6.jpg,"Bitte Andersson’s debut feature »Dyke Hard« is a wild John Waters-inspired queer comedy following a lesbian rock band’s violent adventures back in 1986. Dyke Hard is a failed rock group travelling to a battle of the bands competition in the big city. The journey is further filled with bizarre, fierce and passionate encounters with cyborgs, ghosts, a thai boxer, roller derby gals, ninjas, motorcycle gangs and a mysterious billionaire all of whom will do everything to stop the band from making it in time to the battle.",2015-02-08,"English,svenska",94
73678,Year of the Comet,"Comedy,Action,Adventure,Romance","Penelope Ann Miller,Tim Daly,Louis Jourdan,Art Malik,Ian Richardson,Ian McNeice,Tim Bentinck",Peter Yates,/fP86PEeni60G92YsP5lFe17bMmu.jpg,"Year of the Comet is a 1992 romantic comedy adventure film about the pursuit of the most valuable bottle of wine in history. The title refers to the year it was bottled, 1811, which was known for the Great Comet of 1811, and also as one of the best years in history for European wine.",1992-04-24,English,91
140453,Black Scorpion II: Aftershock,"Comedy,Action,Adventure,Science Fiction","Joan Severance,Whip Hubley,Sherrie Rose,Stoney Jackson,Matt Roe,Stephen Lee,Garrett Morris,Terri J. Vaughn,Laura Harring,Scott Valentine,Linda Hoffman,Rick Rossovich,Jeannie Millar,Kimberly Rowe,Jonathan Winfrey,Kenneth Londoner",Jonathan Winfrey,/aAQXXibixDS4oFYpFcYq4pKL1Uz.jpg,"Darcy is back on the force, but still fights on as the Black Scorpion because ""it's in her nature."" This time, she fights Gangster Prankster; and a new villian emerges when the Mayor tries to protect his federal earthquake relief money: Aftershock. When the two villians team up and kidnap Argyle's girlfriend, Black Scorpion is faced with the theft of the Scorpionmobile and the imminent destruction of Angel City.",1997-05-13,English,85
6582,Remo Williams: The Adventure Begins,"Comedy,Action,Adventure,Thriller","Fred Ward,Joel Grey,Wilford Brimley,J. A. Preston,George Coe,Kate Mulgrew,Charles Cioffi,Patrick Kilpatrick,Michael Pataki,Davenia McFadden,Cosie Costa,J.P. Romano,Joel Kramer,Frank Ferrara,Marv Albert,Reginald VelJohnson,Jon Polito,Jeff Allin,Tom McBride",Guy Hamilton,/xTSrGyfmr3xbnnlT9d1SVYC4gtt.jpg,"An officially ""dead"" cop is trained to become an extraordinary unique assassin in service of the US President.",1985-10-11,English,121
