movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
26,Othello,Drama,"Laurence Fishburne,Irène Jacob,Kenneth Branagh,Nathaniel Parker,Michael Maloney,Anna Patrick,Nicholas Farrell,Indra Ové,Michael Sheen",Oliver Parker,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,1995-12-15,English,123
757,Ashes of Time,"Drama,Action","Leslie Cheung,Tony Leung Ka-Fai,Brigitte Lin,Jacky Cheung,Tony Leung Chiu-Wai,Carina Lau,Charlie Yeung,Maggie Cheung,Li Bai,Collin Chou,Siu Tak-Foo",Wong Kar-wai,/ir2277KpcFcJYZ0VApCXAi5hXm3.jpg,"The film is set in five parts, five seasons that are part of the Chinese almanac. The story takes place in the jianghu, the world of the martial arts. Ouyang Feng has lived in the western desert for some years. He left his home in White Camel Mountain when the woman he loved chose to marry his elder brother rather than him. Instead of seeking glory, he ends up as an agent. When people come to him with a wish to eliminate someone who has wronged them, he puts them in touch with a swordsman who can do the job.",1994-09-16,"广州话 / 廣州話,普通话",100
5240,Running Scared,"Drama,Action,Adventure","Ken Wahl,Judge Reinhold,Annie McEnroe,Bradford Dillman,John Saxon,Pat Hingle,Lonny Chapman,Tom McFadden,Tim Brantly,Mary Lawson,Lisa Felcoski,Francine Joyce,Malcolm Jones,Tom Tully,Roger Pretto,Jorge Gil,Ken Rahgers,John Leeward,Dan Chandler",Paul Glickler,/3zaMDpuaW2VG2MdnbW8tshreyIg.jpg,It's 1961. Two servicemen smuggle a box of military gear to USA. Leroy tries out a military camera and accidentally takes a picture of some military facilities. Army finds one of the pictures and thinks they're communist spies.,1980-11-01,English,96
155052,The Ten Gladiators,"Drama,Action,Adventure,Comedy","Roger Browne,José Greci,Dan Vadis,Franca Parisi,Gianni Rizzo,Mimmo Palmara,Mirko Ellis,Ugo Sasso,Vassili Karis",Gianfranco Parolini,/wSU5Ew4FqECNlv16DicLxf5p2Gg.jpg,"Roccia and a band of fellow gladiators join forces with a patrician named Glaucus Valerius to replace Nero, (and his evil henchman, Tigelinus), with a new emperor: Servius Galba. During the course of this bloody struggle, the gladiators lose their mentor and trainer - Resius - and then must rescue Lidia, Resius' beautiful niece, from death on the cross.",1963-12-14,Italiano,104
106491,47 Ronin,"Drama,Action,Adventure,Fantasy","Keanu Reeves,Hiroyuki Sanada,Kou Shibasaki,Tadanobu Asano,Min Tanaka,Rinko Kikuchi,Jin Akanishi,Masayoshi Haneda,Hiroshi Sogabe,Takato Yonemoto,Shû Nakajima,Hiroshi Yamada,Cary-Hiroyuki Tagawa,Tanroh Ishida,Yorick van Wageningen,Ron Bottitta,Natsuki Kunimoto,Togo Igawa,Akira Koieyama,Haruka Abe,Clyde Kusatsu,Junichi Kajioka,Masashi Fujimoto,Neil Fingleton,Masayuki Deai",Carl Rinsch,/pUH46wa0n4zXZytpriSaoNUXai4.jpg,"Based on the original 1941 movie from Japan, and from ancient Japan’s most enduring tale, the epic 3D fantasy-adventure 47 Ronin is born.  Keanu Reeves leads the cast as Kai, an outcast who joins Oishi (Hiroyuki Sanada), the leader of the 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honor to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",2013-12-06,"English,日本語",119
33162,Kingdom of Heaven,"Drama,Action,Adventure,History,War","Orlando Bloom,Eva Green,Jeremy Irons,Marton Csokas,Brendan Gleeson,Liam Neeson,Edward Norton,Michael Sheen,Ghassan Massoud,Velibor Topic,Alexander Siddig,Khaled Nabawy,Kevin McKidd,David Thewlis,Martin Hancock,Nathalie Cox,Giannina Facio,Michael Shaeffer,Ulrich Thomsen,Angus Wright,Philip Glenister,Bronson Webb,Iain Glen,Bill Paterson,Robert Pugh,Peter Copley",Ridley Scott,/aB4urkgTxBURJMUkd0kceDD7FUM.jpg,"After his wife dies, a blacksmith named Balian is thrust into royalty, political intrigue and bloody holy wars during the Crusades.",2005-05-03,"العربية,English,Italiano,Latin",144
46901,The Purple Plain,"Drama,Action,Adventure,War","Gregory Peck,Win Min Than,Brenda De Banzie,Bernard Lee,Maurice Denham,Lyndon Brook,Anthony Bushell,Josephine Griffin,Ram Gopal",Robert Parrish,/imCxH01bBIVM41KPULLfalbAi7X.jpg,"After losing his bride in a Luftwaffe air raid, bomber pilot Forrester becomes a solitary killing machine, who doesn't care whether he dies. The reckless Canadian pilot is both admired and feared by the rest of his squadron in World War II Burma. The squadron physician is assigned to determine the embittered Bill Forrester's fitness for duty. To break through the nightmare-haunted man's wall of silence, the physician drives Forrester to visit an outpost of English-speaking refugees, which includes an alluring young Burmese woman.",1954-11-25,English,100
189955,Da Hu Fa,"Drama,Action,Animation","Jing Xu,Tute Hameng,Chin Shih-Chieh,Zhang Youwu,Jiayi Li,Lanling Li",Yang Zhigang,/t9TDGh6Lix4OiuJXcCNtv7PGjnz.jpg,"A warrior named Da Hufa goes to save his prince from a dystopian village. He finds the dystopian village ruled by a fake God and his guards. In order to save the prince, Da hufa has to defeat the God and his men and discloses the whole conspiracy.",2017-07-13,普通话,95
2893,Plunkett & MacLeane,"Drama,Action,Comedy","Jonny Lee Miller,Robert Carlyle,Liv Tyler,Ken Stott,Michael Gambon,Alan Cumming,Alexander Armstrong,Ben Miller,Tommy Flanagan,Iain Robertson,David Walliams,Matt Lucas,Noel Fielding,Claire Rushbrook,Terence Rigby,Nicholas Farrell,Tom Ward,Stephen Walters,Neve McIntosh",Jake Scott,/g2EyZJFozd5jfEvAt7U8Wo3OxpB.jpg,"Will Plunkett and Captain James Macleane, two men from different ends of the social spectrum in 18th-century England, enter a gentlemen's agreement: They decide to rid the aristocrats of their belongings. With Plunkett's criminal know-how and Macleane's social connections, they team up to be soon known as ""The Gentlemen Highwaymen"". But when one day these gentlemen hold up Lord Chief Justice Gibson's coach, Macleane instantly falls in love with his beautiful and cunning niece, Lady Rebecca Gibson. Unfortunately, Thief Taker General Chance, who also is quite fond of Rebecca, is getting closer and closer to getting both.",1999-01-22,English,93
1313,Mad Dog Time,"Drama,Action,Comedy,Crime","Richard Dreyfuss,Ellen Barkin,Jeff Goldblum,Gabriel Byrne,Diane Lane,Burt Reynolds,Larry Bishop,Joey Bishop,Kyle MacLachlan,Angie Everhart,Henry Silva,Michael J. Pollard,Gregory Hines,Billy Idol,Billy Drago,Christopher Jones",Larry Bishop,/rF7JPTZRkf3ysaAx99JqtDb0abu.jpg,"With his boss in the madhouse, a mobster is temporary boss of the criminal empire just as vicious rivals threaten the control of the empire.",1996-11-08,English,93
