movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
147,The Basketball Diaries,"Drama,Crime","Leonardo DiCaprio,Lorraine Bracco,James Madio,Mark Wahlberg,Bruno Kirby,Patrick McGaw,Juliette Lewis,Michael Imperioli,Ernie Hudson,Manny Alfaro,Cynthia Daniel,Brittany Daniel",Scott Kalvert,/8BkedYL5LdpkyHc7JtuohMr8a9N.jpg,Film adaptation of street tough Jim Carroll's epistle about his kaleidoscopic free fall into the harrowing world of drug addiction.,1995-04-21,English,102
202,Total Eclipse,"Drama,Romance","Leonardo DiCaprio,David Thewlis,Romane Bohringer,Dominique Blanc,Nita Klein,Felicie Pasotti Cabarbaye,James Thiérrée,Emmanuelle Oppo,Christopher Hampton,Denise Chalem,Andrzej Seweryn,Christopher Thompson,Bruce Van Barthold,Christopher Chaplin,Mathias Jung,Kettly Noel,Cheb Han",Agnieszka Holland,/9ihmgsX9aDXZmwjvgrzJgH8FxNa.jpg,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.",1995-11-03,English,111
1059,Romeo + Juliet,"Drama,Romance","Leonardo DiCaprio,Claire Danes,John Leguizamo,Harold Perrineau,Pete Postlethwaite,Paul Sorvino,Brian Dennehy,Vondie Curtis-Hall,Miriam Margolyes,Diane Venora,Jamie Kennedy,Dash Mihok,Vincent Laresca,Edwina Moore,Paul Rudd",Baz Luhrmann,/6VsRWzhx9i3FNcggVrNwYLMUdxa.jpg,"In director Baz Luhrmann's contemporary take on William Shakespeare's classic tragedy, the Montagues and Capulets have moved their ongoing feud to the sweltering suburb of Verona Beach, where Romeo and Juliet fall in love and secretly wed. Though the film is visually modern, the bard's dialogue remains.",1996-11-01,English,120
1801,The Man in the Iron Mask,"Action,Adventure,Drama,History","Leonardo DiCaprio,Jeremy Irons,Gérard Depardieu,Gabriel Byrne,John Malkovich,Anne Parillaud,Judith Godrèche,Edward Atterton,Peter Sarsgaard,Hugh Laurie,David Lowe,Brigitte Boucher,Matthew Jocelyn,Karine Belly,Emmanuel Guttierez,Christian Erickson,François Montagut,Andrew Wallace,Cécile Auclert,Sonia Backers,Vincent Nemeth,Joe Sheridan,Olivier Hémon,Michael Morris,Emmanuel Patron,Leonor Varela,Michael Hofland,Laura Fraser,Brigitte Auber,Jean-Pol Brissart,François Guillaume",Randall Wallace,/mNbLk9qdBMnzBFWBrjy3Nuw9Ovi.jpg,"Years have passed since the Three Musketeers, Aramis, Athos and Porthos, have fought together with their friend, D'Artagnan. But with the tyrannical King Louis using his power to wreak havoc in the kingdom while his twin brother, Philippe, remains imprisoned, the Musketeers reunite to abduct Louis and replace him with Philippe.",1998-03-12,English,132
3285,The Beach,"Drama,Adventure,Romance,Thriller","Leonardo DiCaprio,Guillaume Canet,Tilda Swinton,Virginie Ledoyen,Staffan Kihlbom,Paterson Joseph,Peter Youngblood Hills,Robert Carlyle,Jerry Swindall,Lars Arentz-Hansen,Jukka Hiltunen,Magnus Lindgren,Daniel York,Daniel Caltagirone,Zelda Tinska,Sian Martin",Danny Boyle,/4VgPflOJMxlqOYpAqXCm5J6BkYm.jpg,"Twenty-something Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss - excited and intrigued, he sets out to find it.",2000-02-11,"English,Français,Hrvatski,svenska,ภาษาไทย",119
5956,Gangs of New York,"Drama,History,Crime","Leonardo DiCaprio,Daniel Day-Lewis,Cameron Diaz,Liam Neeson,Brendan Gleeson,John C. Reilly,Jim Broadbent,Roger Ashton-Griffiths,Lawrence Gilliard Jr.,David Hemmings,Barbara Bouchet,Alec McCowen,Michael Byrne,Gary Lewis,Henry Thomas,Brendan Dempsey,Nick Bartlett,Flaminia Fegarotti,Stephen Graham,Eddie Marsan,Cara Seymour,Rab Affleck,Tim Pigott-Smith,Sean Gilder,David Bamber,Lucy Davenport,John Sessions,Angela Pleasence,Giovanni Lombardo Radice,Peter-Hugo Daly,Peter Berling,Richard Graham,Richard Strange,Iain McColl,James Ramsey,Alex Howden,Richard Syms,Tim Faraday,David Nicholls,Sean McGinley,Terry O'Neill,John McGlynn,Ian Pirie,Ottaviano Dell'Acqua,Trevor Cooper,Martin Scorsese,Massimo Vanni,Salvatore Billa,Alexia Murray",Martin Scorsese,/ytKo2tLvKUd9Kbs0poXSQh6ft7d.jpg,"It's 1863. America was born in the streets. Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area.",2002-12-14,"English,Gaeilge,Latin,普通话",167
5989,Catch Me If You Can,"Drama,Crime","Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen,Nathalie Baye,Amy Adams,James Brolin,Brian Howe,Frank John Hughes,Steve Eastin,Chris Ellis,John Finn,Jennifer Garner,Nancy Lenehan,Ellen Pompeo,Elizabeth Banks,Guy Thauvette,Candice Azzara,Matthew Kimbrough,Joshua Boyd,Kaitlin Doubleday,Kelly McNair,Jonathan Dankner,Maggie Mellin,Thomas Kopache,Margaret Travolta,Jimmie F. Skaggs,Alex Hyde-White,Lilyan Chauvin,Eugene Fleming,Robert Ruth,Jennifer Manley,James Morrison,Robert Symonds,Jennifer Kan,Robert Curtis Brown,Kelly Hutchinson,Steve Witting,Wendy Worthington,Jane Bodle,J. Patrick McCormack,Brian Goodman,Ray Proscia,Sarah Lancaster,Jill Matson,Mike Baldridge,Joel Ewing,Ritchie Montgomery,Jim Antonio,Angela Sorensen,Jonathan Brent,Benita Krista Nall,Shane Edelman,Andrew Meeks,Morgan Rusler,Jane Edith Wilson,Dave Hager,Kyle Davis,Patrick Thomas O'Brien,Jaime Ray Newman,Deborah Kellner,Mercedes Cornett,Amy Acker,Robert Peters,James DuMont,Thomas Crawford,Sarah Rush,Malachi Throne,Alfred Dennis,Max Kerstein,Donna Kimball,Jan Munroe,Stephen Dunham,Brandon Keener,Jasmine Jessica Anthony,Anthony Powers,Lauren Cohn,Jeremy Howard,Jack Knight,Jamie Anderson,Kam Heskin,Ana Maria Quintana,Gerald R. Molen,Celine du Tertre,Stan Bly,Jamie Moss,Jessica Collins,Frank Abagnale Jr.,Roger Léger,Jean-François Blanchard,Mathieu Gaudreault,Guy-Daniel Tremblay,Alexander Bisping,Patrice Dussault ,Paul Todd,Jake Wagner,Ashley Cohen,Kelly Cohen,Ellis Hall,Steven Meizler,Fred Datig,Joe Garagiola, Sr.,Kitty Carlisle,Dominic Bond,Jean-François Brousseau,Francis Campeau,Raphaël Cardin,Marc-Antoine Côté,Antoine Drolet-Dumoulin,Léon Dussault-Gagné,Simon Houle-Gauthier,Vincent Généreux,Sébastien Jean,Pascal Larouche,William Lauzon,Florent Legault,Jason McNally,Julien Normandeau,David Parent-Laliberté,Alexandre Pepin,Nicolas Radeschi,Jonathan René,Samuel St-Amour,Jesse Heiman",Steven Spielberg,/MywWCQGJNUr5kivAQ7eseCG7rm.jpg,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",2002-12-25,"English,Français",141
30812,The Aviator,Drama,"Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,John C. Reilly,Alec Baldwin,Alan Alda,Ian Holm,Jude Law,Kelli Garner,Danny Huston,Brent Spiner,Willem Dafoe,Gwen Stefani,Adam Scott,Matt Ross,Frances Conroy,Stanley DeSantis,Keith Campbell,Amy Sloan,Kevin O'Rourke,Nellie Sciutto,Edward Herrmann,Kenneth Welsh,J.C. MacKenzie,Jacob Davich,Sam Hennings,Vince Giordano,Jason Cavalier,Rufus Wainwright,Loudon Wainwright III,Martha Wainwright,Al Dubois,John Koensgen,Harry Standjofski,Josie Maran,Joe Chrest,Justin Shilton,Arthur Holden,Joseph P. Reidy,Stéphane Demers,Yves Jacques,Chris Ufland,Sebastian Tillinger,James Bradford,Francesca Scorsese,Alan Toy,Joe Cobden,Linda E. Smith,David Purdham,Alan Fawcett,Lisa Bronwyn Moore,Emma Campbell,Vincent Laresca,Matt Holland,Dennis St John,Al Vandecruys,James Rae,Kathleen McAuliffe,Terry Haig,Danielle Franke,Meghan Elizabeth,Elizabeth DeCicco,Elisa Dyann,Isabelle Champeau,Al Coronel",Martin Scorsese,/8UXmFjBN5HiUflGzG6PHVYAvCEE.jpg,"A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.",2004-12-17,English,170
48516,The Departed,"Drama,Thriller,Crime","Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,Martin Sheen,Ray Winstone,Vera Farmiga,Anthony Anderson,Alec Baldwin,Kevin Corrigan,James Badge Dale,David O'Hara,Robert Wahlberg,Kristen Dalton,Thomas B. Duffy,Richard Hughes,Chance Kelly,Larry Mitchell,Mark Rolston,J.C. MacKenzie,Mary Klug,Robert 'Toshi' Kar Yuen Chan,Gurdeep Singh,Armen Garo,John Cenatiempo,Billy Smith,Brian Smyj,William Severs,Douglas Crosby,Dorothy Lyman,Audrie Neenan,Conor Donovan,Patrick Coppola,Mick O'Rourke,Nellie Sciutto,Henry Yuk,John Rue,Joseph P. Reidy,John Farrer,Brian Haley,Terry Serpico,Jay Giannone,David Conley,Jill Brown,Tom Kemp,Joseph Riccobene,Johnny Cicco,Shay Duffin,David Fischer,Emma Tillinger Koskoff,Craig Castaldo,James P. Anderson,Takumi Bando,Eric Bruno Borgman,David Boston,Brendan Burke,Chris Chinn,Jeffrey Corazzini,Jim Ford,Trudi Goodman,Steve Lord,Jack McCullough,Osmani Rodriguez,Lawrence Cameron Steele,Stream,Conor Timmis,Joseph Oliveira,Mark Falvo,Adam Masnyk,Shawn Fogarty,John Franchi,Paul McGillicuddy",Martin Scorsese,/tGLO9zw5ZtCeyyEWgbYGgsFxC6i.jpg,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",2006-10-05,"English,广州话 / 廣州話",151
49530,Blood Diamond,"Drama,Thriller,Action","Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Kagiso Kuypers,Arnold Vosloo,Antony Coleman,Benu Mabhena,Anointing Lukola,David Harewood,Basil Wallace,Jimi Mistry,Michael Sheen,Marius Weyers,Stephen Collins,Ntare Guma Mbaho Mwine ,Ato Essandoh,David S. Lee,Percy Matsemela,Klemens Becker,Grant Swanby,Adetokumboh M'Cormack,Tyrone Keogh",Edward Zwick,/wRamTzV6udKaMXrspxqOuo02zk0.jpg,"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.",2006-12-07,"Afrikaans,English",143
