movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
454,The Firm,"Drama,Mystery,Thriller","Tom Cruise,Jeanne Tripplehorn,Gene Hackman,Holly Hunter,Ed Harris,Hal Holbrook,Jerry Hardin,David Strathairn,Terry Kinney,Wilford Brimley,Sullivan Walker,Gary Busey,Steven Hill,Margo Martindale,Paul Sorvino,Joe Viterelli,Jerry Weintraub,Tobin Bell,Dean Norris,Barbara Garrick,Jonathan Kaplan,John Beal",Sydney Pollack,/ykoBRyHWvP3akdo98UcIxWAHXeu.jpg,"Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan...",1993-06-30,English,154
648,Mission: Impossible,"Adventure,Action,Thriller","Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny,Jean Reno,Ving Rhames,Kristin Scott Thomas,Vanessa Redgrave,Dale Dye,Marcel Iureș,Ion Caramitru,Ingeborga Dapkūnaitė,Valentina Yakunina,Marek Vašut,Nathan Osgood,Emilio Estevez,Michael Rogers,Keith Campbell,John McLaughlin,Karel Dobrý,Andreas Wisniewski,Ricco Ross,Mark Houghton,Annabel Mullion,Garrick Hagon,Olegar Fedoro,David Schneider,Helen Lindsay,John Knoll,Rolf Saxon",Brian De Palma,/vmj2PzTLC6xJvshpq8SlaYE3gbd.jpg,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",1996-05-22,"English,Français,Český",110
1100,Days of Thunder,"Adventure,Action,Romance,Drama","Tom Cruise,Robert Duvall,Nicole Kidman,Randy Quaid,Cary Elwes,Fred Dalton Thompson,John C. Reilly,J.C. Quinn,Don Simpson,Michael Rooker,Caroline Williams,Margo Martindale",Tony Scott,/uNM8X7hAYXcktqePg6rfeDo6q2R.jpg,"Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear.",1990-06-27,English,107
1101,Top Gun,"Action,Romance,War","Tom Cruise,Kelly McGillis,Val Kilmer,Anthony Edwards,Tom Skerritt,Michael Ironside,John Stockwell,Barry Tubb,Rick Rossovich,Tim Robbins,Meg Ryan,Whip Hubley,Adrian Pasdar,James Tolkan,Clarence Gilyard Jr.",Tony Scott,/orGXnBKfT41LxZhitLkXhqUfJJW.jpg,"For Lieutenant Pete 'Maverick' Mitchell and his friend and Co-Pilot Nick 'Goose' Bradshaw being accepted into an elite training school for fighter pilots is a dream come true.  A tragedy, as well as personal demons, threaten Pete's dreams of becoming an Ace pilot.",1986-05-16,English,110
1393,Jerry Maguire,"Comedy,Drama,Romance","Tom Cruise,Cuba Gooding Jr.,Renée Zellweger,Kelly Preston,Alison Armitage,Jonathan Lipnicki,Jerry O'Connell,Jay Mohr,Bonnie Hunt,Regina King,Todd Louiso,Mark Pellington,Jeremy Suarez,Jared Jussim,Benjamin Kimball Smith,Ingrid Beer,Donal Logue,Drake Bell,Eric Stoltz,Beau Bridges,Ivana Miličević,Lamont Johnson,Rick Johnson,Katarina Witt",Cameron Crowe,/99YTEdKOKDRClsscOpJfdkbaTrQ.jpg,"Jerry Maguire used to be a typical sports agent: willing to do just about anything he could to get the biggest possible contracts for his clients, plus a nice commission for himself. Then, one day, he suddenly has second thoughts about what he's really doing. When he voices these doubts, he ends up losing his job and all of his clients, save Rod Tidwell, an egomaniacal football player.",1996-12-13,"English,Polski",139
2143,Legend,"Adventure,Fantasy","Tom Cruise,Mia Sara,Tim Curry,David Bennent,Alice Playten,Billy Barty,Cork Hubbert,Peter O'Farrell,Kiran Shah,Annabelle Lanyon,Robert Picardo,Tina Martin,Ian Longmur,Mike Crane,Liz Gilbert,Eddie Powell,Mike Edmonds,Michael Crane",Ridley Scott,/xNWs9LM46vJWwf1q0VGPOccTKg4.jpg,"Set in a timeless mythical forest inhabited by fairies, goblins, unicorns and mortals, this fantastic story follows a mystical forest dweller, chosen by fate, to undertake a heroic quest. He must save the beautiful Princess Lily and defeat the demonic Lord of Darkness, or the world will be plunged into a never-ending ice age.",1985-07-19,"English,Italiano",94
2268,A Few Good Men,Drama,"Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon,Kevin Pollak,James Marshall,J.T. Walsh,Kiefer Sutherland,Christopher Guest,J.A. Preston,Matt Craven,Wolfgang Bodison,Xander Berkeley,John M. Jackson,Noah Wyle,Cuba Gooding Jr.",Rob Reiner,/WgWLwk55YaXFZdlMnPJTKlxGcz.jpg,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.",1992-12-11,English,138
2712,Eyes Wide Shut,"Mystery,Drama,Thriller","Tom Cruise,Nicole Kidman,Madison Eginton,Jackie Sawiris,Sydney Pollack,Leslie Lowe,Peter Benson,Todd Field,Michael Doven,Sky du Mont,Julienne Davis,Marie Richardson,Vinessa Shaw,Leelee Sobieski,Alan Cumming,Rade Serbedzija,Leon Vitali",Stanley Kubrick,/zTuqPq1PBsIoG2DV9NgKPgdaoSX.jpg,"After Dr. Bill Hartford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.",1999-07-14,English,159
2915,Risky Business,"Comedy,Romance,Drama","Tom Cruise,Rebecca De Mornay,Sean Penn,Joe Pantoliano,Richard Masur,Curtis Armstrong,Bronson Pinchot,Shera Danese",Paul Brickman,/60ioiHP0H6PHYcXz7oJvqildpNZ.jpg,"Meet Joel Goodson, an industrious, college-bound 17-year-old and a responsible, trustworthy son. However, when his parents go away and leave him home alone in the wealthy Chicago suburbs with the Porsche at his disposal he quickly decides he has been good for too long and it is time to enjoy himself. After an unfortunate incident with the Porsche Joel must raise some cash, in a risky way.",1983-08-05,"Deutsch,English",98
3259,Far and Away,"Adventure,Drama,Romance,Western","Tom Cruise,Nicole Kidman,Thomas Gibson,Robert Prosky,Barbara Babcock,Cyril Cusack,Eileen Pollock,Colm Meaney,Douglas Gillison,Michelle Johnson,Wayne Grace,Niall Toibin,Barry McGovern,Gary Lee Davis,Jared Harris,Steven O'Donnell",Ron Howard,/yNdfm55jkgFk1IeAqxSEPFDPR5x.jpg,"A young man (Cruise) leaves Ireland with his landlord's daughter (Kidman) after some trouble with her father, and they dream of owning land at the big giveaway in Oklahoma ca. 1893. When they get to the new land, they find jobs and begin saving money. The man becomes a local barehands boxer, and rides in glory until he is beaten, then his employers steal all the couple's money and they must fight off starvation in the winter, and try to keep their dream of owning land alive. Meanwhile, the woman's parents find out where she has gone and have come to America to find her and take her back.",1992-05-22,English,140
