movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
1242,Glory,War,"Matthew Broderick,Denzel Washington,Cary Elwes,Morgan Freeman,Jihmi Kennedy,Andre Braugher,John Finn,Donovan Leitch,JD Cullum,Bob Gunton,Cliff De Young,Christian Baskous,RonReaco Lee,Jay O. Sanders,Alan North,Richard Riehle,Peter Michael Goetz",Edward Zwick,/6pDBbYmR9iqg3IF8lgyY9pWFiqT.jpg,"Robert Gould Shaw leads the US Civil War's first all-black volunteer company, fighting prejudices of both his own Union army and the Confederates.",1989-12-15,English,122
3367,The Devil's Brigade,"War,Action","William Holden,Cliff Robertson,Vince Edwards,Andrew Prine,Jeremy Slate,Claude Akins,Jack Watson,Richard Jaeckel,Bill Fletcher,Richard Dawson,Tom Troupe,Luke Askew,Jean-Paul Vignon,Tom Stern,Harry Carey, Jr.,Michael Rennie,Carroll O'Connor,Dana Andrews",Andrew V. McLaglen,/c94QnCsfAcugbZxaCZbVZHd76E1.jpg,"1968 American war film about the formation and first mission of the joint Canadian-American WWII special forces winter and mountain unit formally called 1st Special Service Force, but commonly known as “The Devil’s Brigade”.  The film dramatises the Brigade's first mission in the Italian Campaign, the task of capturing the German mountain stronghold Monte la Difensa, in December 1943.  The film is based on the 1966 book of the same name, co-written by American novelist and historian Robert H. Adleman and Col. George Walton, a member of the brigade.",1968-05-15,English,130
167906,Firehawk,"War,Action,Adventure","Martin Kove,Matt Salinger,Terrence 'T.C.' Carson,Ronald Asinas,Raffy Curtis,Henry Strzalkowski,James Gregory Paolleli,Vic Trevino,Jeff Yonis,Raffael Soquez",Cirio H. Santiago,/ruCb7MNtwsUnaEyokRruBSbnV64.jpg,"During a daring mission in Vietnam, a helicoptor squadron is downed. While the soldiers try to escape capture by the Viet Cong, clues that the copter was sabotaged lead to brutal infighting, as they search for the traitor among them.",1993-01-06,English,92
3406,Captain Horatio Hornblower R.N.,"War,Action,Adventure,Drama","Gregory Peck,Virginia Mayo,Robert Beatty,James Robertson Justice,Terence Morgan,James Kenney,Denis O'Dea,Stanley Baker,Alan Tilvern,Alec Mango,Christopher Lee,John Witty,Michael Goodliffe,Moultrie Kelsall,Richard Hearne,Michael Dolan",Raoul Walsh,/irPhwl2cPnVsMBiO2YXOZzytYND.jpg,"A naval adventure, based on the novels by C.S. Forester, about the heroic, 19th-century British seafarer. The story sails with his ship, the Lydia, through battles with Spain and then France won with wit rather than might.",1951-04-10,English,117
34666,Attila,"War,Action,Adventure,Drama,History,Romance","Gerard Butler,Powers Boothe,Simmone Jade Mackinnon,Reg Rogers,Alice Krige,Pauline Lynch,Steven Berkoff,Tommy Flanagan,Andrew Pleavin,Kirsty Mitchell,Jonathan Hyde,Tim Curry,Janet Henfrey,Liam Cunningham,Rollo Weeks,Kate Steavenson-Payne,Richard Lumsden,Isla Fisher,Daz Crawford,Finbar Lynch,Mark Letheren,Jolyon Baker,David Bailie,Gabija Ryskuviene,Siân Phillips,Alun Raglan,Nickie Rainsford,David S. Cass Sr.,Aurimas Meliešius,Jurgis Domasevicius,Max Ryan,Ignas Miškinis,William Mickleburgh,Neringa Varnelytė,Nigel Whitmey,Tauras Cizas,Dainius Kazlauskas,Elvyra Žebertavičiūtė,Ramunas Abukevicius,Andrius Žebrauskas,Dallas Campbell,Graham Crowden,Paul Easom,Leon Fleury",Dick Lowry,/gbmtmnAQrC5B3ARmTWN54UCkpiK.jpg,"A romanced story of Attila the Hun, since his childhood, when he lost his parents until his death. Attila is disclosed as a great leader, strategist and lover and the movie shows his respect to the great Roman strategist Flavius Aetius, his loves and passions, the gossips, intrigues and betrayals in Rome, all of these feelings evolved by magic and mysticism.",2001-01-01,English,177
7215,To Have and Have Not,"War,Action,Adventure,Drama,Romance,Thriller","Humphrey Bogart,Walter Brennan,Lauren Bacall,Dolores Moran,Hoagy Carmichael,Sheldon Leonard,Marcel Dalio,Walter Sande,Dan Seymour,Eugene Borden,Lance Fuller,Maurice Marsac,Ron Randell,Walter Szurovy,Aldo Nadi,Jack Chefe,Adrienne D'Ambricourt,Jean De Briac,Marcel De La Brosse,Elzie Emanuel,Harold Garrison,Fred Farrell,Suzette Harbin,Sir Lancelot,Paul Marion,Louis Mercier,George Suzanne,Crane Whitley,Chef Milani,Pedro Regas,Patricia Shay,Emmett Smith,George Sorel,Marguerita Sylva,Pat West",Howard Hawks,/bMqAk4y6Kl9ciCwrGMFqezkLS3.jpg,A Martinique charter boat skipper gets mixed up with the underground French resistance operatives during WWII.,1944-10-11,"English,Français",100
74795,Green Zone,"War,Action,Adventure,Drama,Thriller","Matt Damon,Greg Kinnear,Brendan Gleeson,Amy Ryan,Jason Isaacs,Khalid Abdalla,Igal Naor,Antoni Corone,Said Faraj,Michael O'Neill,Jerry Della Salla,Faycal Attougui,Aymen Hamdouchi,Nicoye Banks,Sean Huze,Michael J. Dwyer,Edouard H.R. Gluck,Brian Siefkes,Adam Wendling,Abdul Henderson,Paul Karsko,Robert Miller,Eugene Cherry,Alexander Drum,Brian VanRiper,Matthew Knott,Nathan Lewis,John Roberson,Troy Brown,Raad Rawi,Bijan Daneshmand,Bryan Reents,Michael Judge,Patrick St. Esprit,Allen Vaught,Paul Rieckhoff,Martin McDougall,Antoni Corone,Timothy Ahern,Ben Sliney,Whitley Bruner,Intishal Al Timimi,Driss Roukhe,Muayad Ali,Jamal Selmaoui,Mohamed Kafi,Kadhum Sabur,Hillal Boubker,Soumaya Akaaboune,Thamou El Metouani,Salah Eddine Elamari,Naji El Jouhary,Aroun Benchkaroun,Hajar Machroune,Scott Berendes,Abdelkrim Assad,Michael Diaz,Tyler Christen,Adam Mackey,Ben Holland,Jeffrey John Carisalez,Jonathan Stone,James Hodges,Larry Lewis,William Oakes,Ziad Adwan,Ian Bendel,Venie Joshua,Miguel Berroa,Peter Shayhorn,Miguel Palaugalarza,Christopher Lilly,Sabir Ed-Dayab,Omar Berdouni,Alex Moore,Alistair Bailey,Eric Loren,Paul Cloutier,Wallace Bagwell,William Meredith,Tommy Campbell,James Wills,Jered Bezemek,Johnny Nilsson,Salman Hassan,Ammar Khdir,Youssif Falah-Jassem,Latif Al Anzi",Paul Greengrass,/7O3IkeHvp1sq5yMN0O8FsTee1C0.jpg,"During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors were dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission.",2010-03-11,"English,العربية",115
157751,Mobile Suit Gundam: The 08th MS Team - Miller's Report,"War,Action,Animation,Science Fiction",,"Umanosuke Iida,Takeyuki Kanda",/hQtJ4Eck6G8lcT8ZFSeddt7Bjcq.jpg,"In a future war, a young battle robot pilot suspected of being a spy must face court martial. Meanwhile, the home village of a friend of his is threatened by enemy forces.",1998-08-01,日本語,51
135001,Operation Snafu,"War,Action,Comedy,Drama","Nino Manfredi,Jason Robards,Peter Falk,Martin Landau,Scott Hylands,Anthony Dawson,Slim Pickens,Milena Vukotić,Božidarka Frajt,Orso Maria Guerrini,Adalberto Rossetti,Corrado Sonni,Empedocle Buzzanca,Mario Maranzana,Franco Balducci,Renzo Marignano,Bruno Pischiutta,Bill Vanders",Nanni Loy,/kZe618kZr11cCwFa2rJ2nYvyUbd.jpg,"In WWII, a commando was sent in a secret mission in Sicily. They had a reluctant Italian prisoner of war to help them.",1970-03-03,Italiano,95
89971,On the Double,"War,Action,Comedy,Science Fiction","Danny Kaye,Dana Wynter,Wilfrid Hyde-White,Margaret Rutherford,Diana Dors",Melville Shavelson,/76l1yrnS6GKDZ8RWBJjfTrhTLGG.jpg,"American GI Ernie Williams, admittedly weak-kneed, has an uncanny resemblance to British Colonel MacKenzie. Williams, also a master of imitation and disguise, is asked to impersonate the Colonel, ostensibly to allow the Colonel to make a secret trip East. What Williams is not told is that the Colonel has recently been a target of assassins. After the Colonel's plane goes down, the plan changes and Williams maintains the disguise to confuse the Nazis about D-Day.",1961-05-19,English,92
