movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
172871,All Inclusive ili Vsyo Vklyucheno,"Comedy,Romance","Marina Aleksandrova,Anna Ardova,Mikhail Bespalov,Anfisa Chekhova,Viktoriya Dayneko,Mariya Denyakina,Fyodor Dobronravov,Valeriy Islyaykin,Miroslava Karpovich,Andrey Kaykov,Natalya Khodus,Mariya Kiseleva,Nonna Grishaeva",Eduard Radzyukevich,/fiB1CU397uah514zLJdLJwTYiay.jpg,"Andrey is a handsome veterinarian with a successful Moscow pet clinic. Popular with ladies among his upscale clientele, he is forced to leave town when the jealous husband of one of them hires a hitman.",2011-06-09,Pусский,93
142030,Zid,"Thriller,Romance","Mannara Chopra,Karanvir Sharma,Shraddha Das,Seerat Kapoor,Mohan Kapoor",Vivek Agnihotri,/lniHe5LkcfMlkDZiDJLbydiTXSj.jpg,"A girl falls in a love with a journalist, who is still involved with his ex girlfriend. The pair get trapped in a hit and run case. Will they be able to prove their innocence?",2014-11-28,"हिन्दी,English",128
121255,White Elephant,Drama,"Ricardo Darín,Jérémie Renier,Martina Gusman,Federico Benjamín Barga,Walter Jakob,Mauricio Minetti,Raul Ramos,Pablo Gatti,Tatiana Giménez,Susana Varela,Julio Zarza,Stella Maris Delacroix,Esteban Díaz,Miguel Arancibia,José ""Negro"" Gomez,Miguel Zárate,Norma Lacava,Oscar Berruezo,Patricio Agustín Stella",Pablo Trapero,/jR23RdlMY8sYP3oWSmCz5DaZ2ok.jpg,"Gerónimo is a 45 year old man devastated by a tragic event. His friend Julian tries out afloat by encouraging him to participate in the project of a marginal town near Buenos Aires. Both are Catholic priests who decided to dedicate their life to the poorest: Geronimo in the Third World and Julian in Argentina. While working in Villa Virgen, Geronimo begins to wonder if the Church is the right institution to protect the weak. Julian, meanwhile, decides that the best way to change the lives of the needy people is politics. The counterpoint is Luciana, an atheist lawyer who has a different perspective on social reforms.",2012-05-16,Español,105
118796,Prey,"Adventure,Drama,Horror,Mystery,Thriller","Bérénice Bejo,Grégoire Colin,Isabelle Renauld,François Levantal,Joseph Malerba,Fred Ulysse",Antoine Blossier,/7qqOPWoXcEH3Eh80lY2MaW3WNBz.jpg,"One night, several deer hurl themselves unexpectedly against the electric fence of a farm. Seeing deep signs of biting on the animals’ bodies, the farm owners realise that a predator is roaming about the neighbouring woods. Having determined to hunt it down, the farmer and his family penetrate deep into the surrounding forest. They look with bewilderment at the dying environment ravaged by a mysterious evil force. As the sun slowly sinks away, howling resounds through the forest. The hunters have become prey...",2011-07-13,Français,142
183325,Ghost House,"Thriller,Horror","Scout Taylor-Compton,James Landry Hébert,Mark Boone Junior,Michael S. New,Elana Krausz,Katrina Grey,Russell Geoffrey Banks,Rich Lee Gray,Kevin Ragsdale,Wen-Chu Yang",Rich Ragsdale,/7EPOZv9bQjNVjFvk8lPGkcTubgO.jpg,A young couple go on an adventurous vacation to Thailand only to find themselves haunted by a malevolent spirit after naively disrespecting a Ghost House.,2017-07-21,"English,ภาษาไทย",92
121011,Imagine I'm Beautiful,Drama,"Natalie Knepp,Alexandra Turshen,Lucas Salvagno,Yury Yakor,Naomi McDougall Jones,Jan Kutrzeba",Meredith Edwards,/cG8tdYMyDtzLJOvVowDGmIr3Hmf.jpg,"Hoping to leave behind the trauma of her mother's death, a young woman moves to New York City, where she becomes close to her similarly haunted roommate -- until a disturbing revelation changes everything.",2014-01-01,English,91
109846,Mr. Peabody & Sherman,"Animation,Adventure,Family","Ty Burrell,Max Charles,Ariel Winter,Allison Janney,Ellie Kemper,Stephen Colbert,Stephen Tobolowsky,Karan Brar,Joshua Rush,Adam Alexi-Malle,Stanley Tucci,Lauri Fraser,Leslie Mann,Lake Bell,Guillaume Aretos,Pat Musick,Dennis Haysbert,Zach Callison,Steve Valentine,Leila Birch,Patrick Warburton,Tom McGrath,Mel Brooks,Cullen McCarthy,Jasper Johannes Andrews,Walt Dohrn,Kim Bubbs,Nicholas Guest,Thomas Lennon,Rob Minkoff,Al Rodrigo,Jess Harnell,Ava Acres,Newell Alexander,Rosemary Alexander,Steve Alterman,Stephen Apostolina,Eva Bella,Blake Bertrand,Mitch Carter,David Cowgill,Jeff Fischer,Donald Fullilove,Jackie Gonneau,Rif Hutton,Molly Jackson,Luisa Leschin,Hope Levy,Scott Menville,Raymond Ochoa,Ben Garant,Robert Cait,Edie Mirman,Jacqueline Pinol,Ella Rouhier,Michelle Ruff,Jadon Sand,Alan Shearman,Claudette Wells,Lynnanne Zager,David Zyler",Rob Minkoff,/wGRWVfhMdGIThSDld2965oUkJ5E.jpg,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-travel machine is stolen and moments in history begin to be changed.",2014-02-07,English,92
102826,The Parade,"Comedy,Drama","Nikola Kojo,Hristina Popović,Miloš Samolov,Goran Jevtić,Goran Navojec,Dejan Aćimović,Toni Mihajlovski,Nataša Marković,Mladen Andrejević,Relja Popović,Radoslav Milenković,Mira Stupica,Marko Nikolić,Branimir Popović,Uroš Đurić,Milan Jovanovic,Milan Marić,Bojan Navojec,Saša Petrović,Anita Mančić,Mladen Nelević,Mirjana Đurđević",Srđan Dragojević,/zaLkckrFq3VkL7B9xXkmN1LHvLq.jpg,"The Parade, in a tragicomic way, tells the story about ongoing battle between two worlds in contemporary post-war Serbian society - the traditional, oppressive, homophobic majority and a liberal, modern and open-minded minority... The film, which deals with gay rights issues in Serbia, features footage of the 2010 Belgrade gay pride parade. The film introduces a group of gay activists, trying to organize a pride parade in Belgrade",2011-10-31,"Deutsch,Srpski",115
167186,Pass Thru,Science Fiction,"Neil Breen,Viad,Kathy Corpus,Chaize Macklin,Jason Albert Perez Morciglio,Elicia Stokes Navarro,Donna Thomas Rogers,Siobhan Olsen,Mirella Bostick,Leti Vallejo,Dennis DeVilbiss,Carl Windom Carlito,Tina Sanchez,Elizabeth White,Joe Ann Davis,Adriane McLean,Nicole Spitale,Steve Brito,Audra Wilson,Brad Thomte,Judy Thomas,Abraham Rodriguez,Sydney Taylor,Taylor Johnson",Neil Breen,/kxyboVB9mQI6wiqU5eIzQCthmoo.jpg,"Artificial Intelligence from far into the future arrives to immediately CLEANSE the human species of millions of humans who are harmful to other humans. A VISIONARY, REVOLUTIONARY FILM which pushes the human species to the limits of controversial, thought-provoking actions.",2016-10-20,English,90
58162,"Run, Fatboy, Run","Comedy,Romance","Simon Pegg,Thandie Newton,Hank Azaria,Dylan Moran,Harish Patel,India de Beaufort,Matthew Fenton,Simon Day,Ruth Sheen,Nevan Finegan,Tyrone Huggins,Iddo Goldberg,Ameet Chana,Chris Hollins,Denis Lewis,Lorna Gayle,Gabriel Fleary,Pandora Colin,Stephen Merchant,David Walliams,Hazel Douglas,Anna Tolputt,Simon Lenagan,David Cann,T.R. Bowen,Margaret John,Floella Benjamin,David Milner,Henrietta Clemett,Peter Serafinowicz",David Schwimmer,/s6ehbUfScpU0408ahsxCzlUwAzG.jpg,"Five years after jilting his pregnant fiancée on their wedding day, out-of-shape Dennis decides to run a marathon to win her back.",2007-09-06,English,100
