movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
185927,Wild Wild Country,Documentary,,"Maclain Way,Chapman Way",/aYzPJdKTF68RmuYvvH3PLEmYQl0.jpg,"When the world's most controversial guru builds a utopian city in the Oregon desert, a massive conflict with local ranchers ensues; producing the first bioterror attack in US history, the largest case of illegal wiretapping ever recorded, and the world's biggest collection of Rolls-Royce automobiles. Over six episodes, Directors Chapman Way and Maclain Way (The Battered Bastards of Baseball) and executive producers Mark and Jay Duplass (Duplass Brothers Productions) take viewers back to this pivotal, yet largely forgotten moment in American cultural history, one in which our national tolerance for the separation of church and state was sorely tested. Wild Wild Country is historical filmmaking brought to life on an epic scale. It’s a tale so wild that seeing means barely believing.",2018-03-16,English,400
189043,Boundaries,"Comedy,Drama","Vera Farmiga,Christopher Plummer,Lewis MacDougall,Bobby Cannavale,Kristen Schaal,Dolly Wells,Yahya Abdul-Mateen II,Christopher Lloyd,Peter Fonda,Ryan Robbins",Shana Feste,/8Cxv1MlFgTTbXMyMbSQlVHbNupD.jpg,"Single mom Laura, along with her awkward 14 year-old son Henry is forced to drive Jack, her estranged, care-free pot dealing father across country after he's kicked out of yet another nursing home.",2018-06-22,English,105
189625,Dirty Computer,"Music,Drama,Romance,Science Fiction","Janelle Monáe,Tessa Thompson,Jayson Aaron,Michelle Hart,Dyson Posey,Jonah Lee,Oliver Morton,Alex Wexo","Andrew Donoho,Chuck Lightning,Giovanni Cotto-Ortiz",/s0DmUmSXuQmlHq83OsX0g13blaK.jpg,"The story of a young woman named Jane 57821, who is living in a totalitarian near-future society where citizens are referred to as 'computers.' 'Dirty Computer' explores humanity and what truly happens to life, liberty and the pursuit of happiness when mind and machines merge, and when the government chooses fear over freedom.",2018-04-23,English,49
184643,Relentless,Thriller,"Sydney Sweeney,Elpidia Carrillo,Courtenay Taylor,Lauren Shaw,Peter Holden,Dondre Whitfield,Jake La Botz,Mariana Novak,Mariana Novak,Peter Pasco",Lance Tracy,/6uHwUC7bOlD5kvfCGJX8hEBCEyP.jpg,An American mother searches for her daughter who was kidnapped by human traffickers in Central America.,2018-02-06,"English,Español",95
190305,A Prayer Before Dawn,"Drama,Action,Crime","Joe Cole,Vithaya Pansringarm,Nicolas Shake,Billy Moore,Panya Yimmumphai,Panya Yimmumphai,Somlock Kamsing,Pornchanok Mabklang,Sura Sirmalai,Sakda Niamhom,Komsan Polsan,Chaloemporn Sawatsuk",Jean-Stéphane Sauvaire,/73KrcLh1DpnBP3HwGpqoUUwKWF4.jpg,Based on the true life experience of Billy Moore who survived his Thai prison ordeal by becoming a Muay Thai boxing champion.,2018-06-20,English,116
191913,"Blood, Sweat and Lies",Thriller,"Hannah Barefoot,Briana Lane,Drew Roy,Adam Huber",Lane Shefter Bishop,/x4uQ3lKw9HurNKjvJ4qBWyRR7eO.jpg,A recent gym junkie's new personal trainer starts to take their relationship to dangerous levels.,2018-01-05,English,90
187815,RBG,Documentary,"Ruth Bader Ginsburg,Gloria Steinem","Betsy West,Julie Cohen",/vcF5gDPdBVmtPsFP3MMIlHm4moG.jpg,"Justice Ruth Bader Ginsburg now 84, and still inspired by the lawyers who defended free speech during the Red Scare, Ginsburg refuses to relinquish her passionate duty, steadily fighting for equal rights for all citizens under the law. Through intimate interviews and unprecedented access to Ginsburg’s life outside the court, RBG tells the electric story of Ginsburg’s consuming love affairs with both the Constitution and her beloved husband Marty—and of a life’s work that led her to become an icon of justice in the highest court in the land.",2018-05-04,English,96
186363,The China Hustle,Documentary,"Carson Block,Dan David,Matthew Wiechert",Jed Rothstein,/c1TsjdrKm2HxvqoALGnHh0BYOlA.jpg,"An unsettling and eye-opening Wall Street horror story about Chinese companies, the American stock market, and the opportunistic greed behind the biggest heist you've never heard of.",2018-03-30,English,82
192701,The Little Mermaid,"Adventure,Fantasy,Romance","Poppy Drayton,Shirley MacLaine,Loreto Peralta,William Moseley,Gina Gershon,William Forsythe,Diahann Carroll,Shanna Collins,Tom Nowicki,Lexy Kolker,Jo Marie Payton,Armando Gutiérrez,Chris Yong,Alexis Balliro,Hunter Gomez","Chris Bouchard,Blake Harris",/1scpzHhPWDuRc21ci6Tfv5zfKnH.jpg,A young reporter and his niece discover a beautiful and enchanting creature they believe to be the real little mermaid.,2018-08-17,English,98
191857,The Bleeding Edge,Documentary,,"Amy Ziering,Kirby Dick",/x1lCtpJCbLVM7fp4bo6qk61fMTR.jpg,"Each year in the United States, unparalleled innovations in medical diagnostics, treatment, and technology hit the market. But when the same devices designed to save patients end up harming them, who is accountable?",2018-04-19,English,99
