movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
47,Se7en,"Crime,Mystery,Thriller","Brad Pitt,Morgan Freeman,Gwyneth Paltrow,John C. McGinley,Kevin Spacey,R. Lee Ermey,Richard Roundtree,Richard Schiff,Julie Araskog,Mark Boone Junior,John Cassini,Reg E. Cathey,Peter Crombie,Hawthorne James,Michael Massee,Leland Orser,Richard Portnow,Daniel Zacapa,Alfonso Freeman,Harris Savides,Andrew Kevin Walker,Richmond Arquette,Pamala Tyson,Emily Wagner,Shannon Wilcox,George Christy,Endre Hules,William Davidson,Bob Collins,Dominique Jennings,Allan Kolman,Gene Borkan,Mario Di Donato,Harrison White,Bob Stephenson,Michael Reid MacKay,Lennie Loftin,Martin Serene,David Correia,Lexie Bigham,Evan Mirand,Paul Eckstein,Rachel Flanagan,Heidi Schanz,Brian Evers,James Deeth,Charles A. Tamburro,Charles S. Dutton,Arthur Max",David Fincher,/zgB9CCTDlXRv50Z70ZI4elJtNEk.jpg,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995-09-22,English,127
253,Interview with the Vampire,"Horror,Romance","Brad Pitt,Tom Cruise,Kirsten Dunst,Antonio Banderas,Christian Slater,Stephen Rea,Thandie Newton,Domiziana Giordano,Sara Stockbridge,Indra Ové,Laure Marsac,Andrew Tiernan,Bellina Logan,George Kelly,Helen McCrory",Neil Jordan,/hldXwwViSfHJS0kIJr07KBGmHJI.jpg,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",1994-11-11,"English,Français",123
266,Legends of the Fall,"Adventure,Drama,Romance,War","Brad Pitt,Anthony Hopkins,Aidan Quinn,Julia Ormond,Henry Thomas,Karina Lombard,Gordon Tootoosis,John Novak,Robert Wisden,David Kaye,Tantoo Cardinal,Paul Desmond,Christina Pickles,Kenneth Welsh,Bill Dow,Sam Sarkar,Nigel Bennett,Keegan MacIntosh,Eric Johnson,Randall Slavin,Doug Hughes,Sekwan Auger,Christine Harder,Charles Andre,Weston McMillan",Edward Zwick,/uh0sJcx3SLtclJSuKAXl6Tt6AV0.jpg,"An epic tale of three brothers and their father living in the remote wilderness of 1900s USA and how their lives are affected by nature, history, war, and love.",1994-12-16,",English",133
481,Kalifornia,"Thriller,Crime","Brad Pitt,David Duchovny,Juliette Lewis,Michelle Forbes,Sierra Pecheur,John Dullaghan,Kathy Larson,David Milford,Judson Vaughn,John Zarchen,David Rose",Dominic Sena,/5KGQYEsJvQdWZQH6o1zIyzkZZRC.jpg,"A journalist duo go on a tour of serial killer murder sites with two companions, unaware that one of them is a serial killer himself.",1993-09-01,English,117
1488,The Devil's Own,"Crime,Thriller,Drama","Brad Pitt,Harrison Ford,Rubén Blades,Treat Williams,Natascha McElhone,Margaret Colin,Kelly Singer,Ashley Carin,Julia Stiles,Simon Jones,George Hearn,Mitchell Ryan,Paul Ronan,David O'Hara,David Wilmot,Rob McElhenney,Chance Kelly,Wilson Cleveland",Alan J. Pakula,/87ObtgniFhhPgESlIl85MfawduY.jpg,"Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.",1997-03-12,English,107
1619,Seven Years in Tibet,"Adventure,Drama,History","Brad Pitt,Jamyang Jamtsho Wangchuk,David Thewlis,BD Wong,Mako,Ingeborga Dapkūnaitė,Lhakpa Tsamchoe,Duncan Fraser,Danny Denzongpa,Victor Wong",Jean-Jacques Annaud,/cflSeFUVDCf73Tzh5sB204JbQ6j.jpg,"Austrian mountaineer, Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life.",1997-09-12,English,136
2340,Meet Joe Black,"Fantasy,Drama,Mystery","Brad Pitt,Anthony Hopkins,Claire Forlani,Jeffrey Tambor,Marcia Gay Harden,Jake Weber,David S. Howard,Lois Kelly-Miller,Jahnni St. John,Richard Clarke,June Squibb",Martin Brest,/s5maEXmEsVZYUx6dWc11GhL0zww.jpg,"When the grim reaper comes to collect the soul of megamogul Bill Parrish, he arrives with a proposition: Host him for a ""vacation"" among the living in trade for a few more days of existence. Parrish agrees, and using the pseudonym Joe Black, Death begins taking part in Parrish's daily agenda and falls in love with the man's daughter. Yet when Black's holiday is over, so is Parrish's life.",1998-11-12,English,178
3100,A River Runs Through It,Drama,"Brad Pitt,Craig Sheffer,Tom Skerritt,Brenda Blethyn,Edie McClurg,Stephen Shellen,Vann Gravage,Susan Traylor,Nicole Burdette,Emily Lloyd,William Hootkins,Joseph Gordon-Levitt",Robert Redford,/xX4H1hZG9IgSRkC0LANbPQ0StJi.jpg,"A River Runs Through is a cinematographically stunning true story of Norman Maclean. The story follows Norman and his brother Paul through the experiences of life and growing up, and how their love of fly fishing keeps them together despite varying life circumstances in the untamed west of Montana in the 1920's.",1992-10-09,English,123
4161,The Mexican,"Action,Comedy,Crime,Romance","Brad Pitt,Julia Roberts,James Gandolfini,J.K. Simmons,Gene Hackman,Bob Balaban,Michael Cerveris,Richard Coca,David Krumholtz,Castulo Guerra,Salvador Sánchez,Jeremy Roberts,José Carlos Rodríguez,Daniel Escobar",Gore Verbinski,/a7PuqWv0ENFg8dt9k51AID6P1kh.jpg,"Jerry Welbach, a reluctant bagman, has been given two ultimatums: The first is from his mob boss to travel to Mexico and retrieve a priceless antique pistol, known as ""the Mexican""... or suffer the consequences. The second is from his girlfriend Samantha to end his association with the mob. Jerry figures alive and in trouble with Samantha is better than the more permanent alternative, so he heads south of the border.",2001-03-01,"English,Español",123
6536,Sinbad: Legend of the Seven Seas,"Family,Animation,Adventure,Comedy","Brad Pitt,Catherine Zeta-Jones,Michelle Pfeiffer,Joseph Fiennes,Dennis Haysbert,Timothy West,Adriano Giannini,Raman Hui,Chung Chan,Jim Cummings,Conrad Vernon,Andrew Birch,Chris Miller,Frank Welker","Tim Johnson,Patrick Gilmore",/6LELf4ZzVBJwR9mNq86Mf5QVERS.jpg,"The sailor of legend is framed by the goddess Eris for the theft of the Book of Peace, and must travel to her realm at the end of the world to retrieve it and save the life of his childhood friend Prince Proteus.",2003-07-02,"广州话 / 廣州話,English,Italiano,Norsk",86
7458,Troy,"Adventure,Drama,War","Brad Pitt,Orlando Bloom,Eric Bana,Brian Cox,Sean Bean,Brendan Gleeson,Diane Kruger,Peter O'Toole,Rose Byrne,Saffron Burrows,Garrett Hedlund,Vincent Regan,Julie Christie,Nathan Jones,John Shrapnel,James Cosmo,Nigel Terry,Julian Glover,Trevor Eve,Frankie Fitzgerald",Wolfgang Petersen,/edMlij7nw2NMla32xskDnzMCFBM.jpg,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans.",2004-05-03,English,163
26714,Across the Tracks,Drama,"Brad Pitt,Ricky Schroder,Carrie Snodgress,David Anthony Marshall,Thomas Mikal Ford,John Linton,Cyril O'Reilly,Jack McGee,Annie Dylan",Sandy Tung,/wYD5x1jahZja2gCrRWKOp9U2kUc.jpg,"When Billy returns from reform school he has to attend a different high school at the other side of town. He tries to start with a clean slate but his old rival doesn't make it easy on him and his buddy Louie tries to make him go astray again. His brother Joe, quite the opposite of Billy, is a good runner and determined to win a track scholarship. He suggests Billy to join his school's track team, which pits the two brothers against each other.",1991-02-14,English,100
26775,Johnny Suede,"Comedy,Romance","Brad Pitt,Calvin Levels,Catherine Keener,Nick Cave,Alison Moir,Samuel L. Jackson",Tom DiCillo,/snuBjisjRjmP1TZC2Q0wCtaxZ6o.jpg,A struggling young musician and devoted fan of Ricky Nelson wants to be just like his idol and become a rock star.,1991-08-18,English,97
46723,Babel,Drama,"Brad Pitt,Cate Blanchett,Gael García Bernal,Peter Wight,Harriet Walter,Michael Maloney,Dermot Crowley,Rinko Kikuchi,Elle Fanning,Trevor Martin,Adriana Barraza,Alex Jennings,Mohamed Akhzam,Matyelok Gibbs,Claudine Acs,Michael Peña,Jamie McBride,Clifton Collins Jr,Aaron D. Spears,Koji Yakusho,Mónica del Carmen,Nathan Gamble,André Oumansky,Wendy Nottingham,Linda Broughton,Lynsey Beauchamp,Aline Mowat,Michel Dubois,Shirley Dixon,Robert Fyfe,Boubker Ait El Caid,Said Tarchani,Mustapha Rachidi,Driss Roukhe,Wahiba Sahmi,Fadmael Ouali,Abdelaziz Merzoug,El Hassan Ait Bablal,Sfia Ait Benboullah,Lhacen Znin,Emilio Echevarría,Ivor Shier,R. D. Call,Yuko Murata,Qyoko Kudo,Robert 'Bernie' Esquivel,Barbarella Pardo,Cynthia Montaño,Tose Fukuda,Shigemitsu Ogi",Alejandro González Iñárritu,/fxneN0EQZwTfAfhTGUvUuIn6PLi.jpg,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.",2006-09-08,"العربية,English,Español,Français,日本語,Pусский",143
55363,The Assassination of Jesse James by the Coward Robert Ford,"Action,Drama,Western","Brad Pitt,Casey Affleck,Sam Shepard,Mary-Louise Parker,Paul Schneider,Jeremy Renner,Zooey Deschanel,Sam Rockwell,Garret Dillahunt,Brooklynn Proulx,Dustin Bollinger,Joel McNichol,James Defelice,J.C. Roberts,Alison Elliott,Kailin See,Michael Parks,Ted Levine,James Carville,Nick Cave,Sarah Lind",Andrew Dominik,/lSFYLoaL4eW7Q5VQ7SZQP4EHRCt.jpg,"Outlaw Jesse James is rumored to be the 'fastest gun in the West'. An eager recruit into James' notorious gang, Robert Ford eventually grows jealous of the famed outlaw and, when Robert and his brother sense an opportunity to kill James, their murderous action elevates their target to near mythical status.",2007-09-02,English,160
68157,Inglourious Basterds,"Drama,Action,Thriller,War","Brad Pitt,Mélanie Laurent,Christoph Waltz,Eli Roth,Michael Fassbender,Diane Kruger,Daniel Brühl,Til Schweiger,Gedeon Burkhard,Jacky Ido,B. J. Novak,Omar Doom,August Diehl,Denis Ménochet,Sylvester Groth,Martin Wuttke,Mike Myers,Julie Dreyfus,Léa Seydoux,Richard Sammel,Alexander Fehling,Rod Taylor,Samm Levine,Paul Rust,Michael Bacall,Arndt Schwering-Sohnrey,Petra Hartung,Volker Michalowski,Ken Duken,Christian Berkel,Anne-Sophie Franck,Tina Rodriguez,Lena Friedrich,Ludger Pistor,Jana Pallaske,Wolfgang Lindner,Michael Kranz,Rainer Bock,André Penvern,Sebastian Hülk,Buddy Joe Hooker,Sönke Möhring,Carlos Fidel,Hilmar Eichhorn,Patrick Elias,Eva Löbau,Salvadore Brandt,Jasper Linnewedel,Wilfried Hochholdinger,Olivier Girard,Michael Scheel,Leo Plank,Andreas Tietz,Bo Svenson,Enzo G. Castellari,Christian Brückner,Samuel L. Jackson,Bela B.,Noemi Besedes,Hélène Cardona,Jake Garber,Sabrina Rattey,Alex Boden,Guido Föhrweißer,Harvey Keitel,Andrew Napier,Gregory Nicotero,Quentin Tarantino,Vitus Wieser,Bea-Marie Rück,Daniela Schwerdt",Quentin Tarantino,/6zYuTKyvcwmtNvXXvJZNT0IgBL0.jpg,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",2009-08-18,"Deutsch,English,Français,Italiano",153
