movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
70,From Dusk Till Dawn,"Horror,Action,Thriller,Crime","George Clooney,Quentin Tarantino,Harvey Keitel,Juliette Lewis,Ernest Liu,Salma Hayek,Cheech Marin,Danny Trejo,Tom Savini,Fred Williamson,Michael Parks,Brenda Hillhouse,John Saxon,Marc Lawrence,Kelly Preston,John Hawkes,Tito Larriva,Peter Atanasoff,Johnny Vatos Hernandez,Aimee Graham,Heidi McNeal,Ernest M. Garcia,Gregory Nicotero,Cristos,Mike Moroff,Tia Texada,Janine Jordae,Ungela Brockman,Michelle Berube,Michael McKay,Jake McKinnon,Walter Phelan,Wayne Toth",Robert Rodriguez,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",1996-01-19,"English,Español",108
1562,Batman & Robin,"Science Fiction,Action,Fantasy,Comedy","George Clooney,Chris O'Donnell,Arnold Schwarzenegger,Uma Thurman,Alicia Silverstone,Michael Gough,Pat Hingle,John Glover,Elle Macpherson,Vivica A. Fox,Vendela Kirsebom,Elizabeth Sanders,Robert Swenson,Michael Reid MacKay,Eric Lloyd,Patrick Leahy,Jesse Ventura,Ralf Moeller,Coolio",Joel Schumacher,/79AYCcxw3kSKbhGpx1LiqaCAbwo.jpg,"Along with crime-fighting partner Robin and new recruit Batgirl, Batman battles the dual threat of frosty genius Mr. Freeze and homicidal horticulturalist Poison Ivy. Freeze plans to put Gotham City on ice, while Ivy tries to drive a wedge between the dynamic duo.",1997-06-20,English,125
1616,The Peacemaker,"Action,Thriller","George Clooney,Nicole Kidman,Marcel Iureș,Goran Visnjic,Armin Mueller-Stahl,Tamara Tunie,Aleksandr Baluev,Rene Medvešek,Gary Werntz,Randall Batinkoff,Jim Haynie,Alexander Strobele,Holt McCallany,Michael Boatman,Joan Copeland,Carlos Gómez,Slavko Juraga,Aleksandr Peskov,Dejan Aćimović,Harsh Nayyar,Matt Adler,Aleksandr Yatsko,Jared Chandler",Mimi Leder,/hc3p6pvIrfO4AmrVLb6qTviOwW2.jpg,"When a train carrying atomic warheads mysteriously crashes in the former Soviet Union, a nuclear specialist discovers the accident is really part of a plot to cover up the theft of the weapons. Assigned to help her recover the missing bombs is a crack Special Forces Colonel.",1997-09-26,"English,Pусский,Srpski,Bosanski,Hrvatski",124
1912,Out of Sight,"Romance,Comedy,Crime","George Clooney,Jennifer Lopez,Ving Rhames,Don Cheadle,Catherine Keener,Dennis Farina,Steve Zahn,Albert Brooks,Luis Guzmán,Isaiah Washington,Brad Martin,James Black,Keith Loneker,Paul Calderon,Viola Davis,Wayne Pére,Joe Chrest,Nancy Allen,Samuel L. Jackson,Michael Keaton",Steven Soderbergh,/hSL2Ta4ErgAxPEOlkkxZmrTSAET.jpg,"Meet Jack Foley, a smooth criminal who bends the law and is determined to make one last heist. Karen Sisco is a federal marshal who chooses all the right moves … and all the wrong guys. Now they're willing to risk it all to find out if there's more between them than just the law. Variety hails Out of Sight as ""a sly, sexy, vastly entertaining film.""",1998-06-26,English,123
2061,Full Tilt Boogie,Documentary,"George Clooney,Harvey Keitel,Michael Parks,Fred Williamson,Quentin Tarantino,Juliette Lewis,Robert Rodriguez",Sarah Kelly,/b9FJ7sYpyU8RWrZesfmAJZRoKIm.jpg,A documentary about the production of From Dusk Till Dawn (1996) and the people who made it.,1997-09-09,English,97
2890,Three Kings,"Action,Adventure,Comedy","George Clooney,Mark Wahlberg,Ice Cube,Spike Jonze,Cliff Curtis,Nora Dunn,Jamie Kennedy,Saïd Taghmaoui,Mykelti Williamson,Holt McCallany,Judy Greer,Jon Sklaroff,Liz Stauber,Alia Shawkat,Sayed Badreya,Ali Afshar,Dylan Brown,Doug Jones",David O. Russell,/7CPVhTgTU5s1a2chC4yne9FuYV7.jpg,"A group of American soldiers stationed in Iraq at the end of the Gulf War find a map they believe will take them to a huge cache of stolen Kuwaiti gold hidden near their base, and they embark on a secret mission that's destined to change everything.",1999-09-27,"English,العربية",114
3755,The Perfect Storm,Drama,"George Clooney,Mark Wahlberg,Diane Lane,John C. Reilly,William Fichtner,Bob Gunton,Karen Allen,Allen Payne,Mary Elizabeth Mastrantonio,John Hawkes,Cherry Jones,Christopher McDonald,Michael Ironside,Rusty Schwimmer,Janet Wright,Dash Mihok,Josh Hopkins,Todd Kimsey,Chris Palermo,Wiley M. Pickett,Hayden Tank,Merle Kennedy,Jennifer Sommerfeld,Joseph D. Reitman,Sandy Ward,Melissa Samuels,Steven Barr,Billy Mayo",Wolfgang Petersen,/uARMPDyjiENKyUz7JRmQmLCH8L5.jpg,"In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail. Magnificent foreshadowing and anticipation fill this true-life drama while minute details of the fishing boats, their gear and the weather are juxtaposed with the sea adventure.",2000-03-15,English,130
4027,"O Brother, Where Art Thou?","Action,Adventure,Comedy","George Clooney,John Turturro,Tim Blake Nelson,John Goodman,Holly Hunter,Chris Thomas King,Charles Durning,Del Pentecost,Michael Badalucco,J.R. Horne,Brian Reddy,Wayne Duvall,Ed Gale,Ray McKinnon,Daniel von Bargen,Mia Tate,Musetta Vander,Christy Taylor,Millford Fortenberry,Frank Collison,Quinn Gasaway,Lee Weaver,Stephen Root",Joel Coen,/eIqSzq6j3yuxNmifiUOh6iTpG9N.jpg,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.",2000-08-30,English,106
4963,Ocean's Eleven,"Thriller,Crime","George Clooney,Brad Pitt,Matt Damon,Andy García,Julia Roberts,Don Cheadle,Bernie Mac,Scott Caan,Casey Affleck,Carl Reiner,Elliott Gould,Eddie Jemison,Shaobo Qin,Scott L. Schwartz,Scott Beringer,Henry Silva,Holly Marie Combs,Steven Soderbergh,Kerry Rossall,Tim Perez,Rusty Meyers,Shane West,Joe La Due,Topher Grace,Joshua Jackson,Barry Watson",Steven Soderbergh,/o0h76DVXvk5OKjmNez5YY0GODC2.jpg,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",2001-12-07,"Italiano,English",116
5881,Solaris,"Drama,Science Fiction,Mystery,Romance","George Clooney,Natascha McElhone,Viola Davis,Jeremy Davies,Ulrich Tukur,Michael Ensign,John Cho,Morgan Rusler,Shane Skelton,Donna Kimball,Elpidia Carrillo,Kent Faulcon,Lauren Cohn",Steven Soderbergh,/8TTniVKEjUWs3DnAMEWMXP6V1ct.jpg,A troubled psychologist is sent to investigate the crew of an isolated research station orbiting a bizarre planet.,2002-11-27,English,99
