movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
109,Headless Body in Topless Bar,Crime,"Raymond J. Barry,Rustam Branaman,Jennifer MacDonald,Taylor Nichols,David Selby,Paul Williams,April Grace,Biff Yeager,Tom Bresnahan",James Bruce,/tQ6HEWNxvbeF2WklTVEp3su446F.jpg,An ex-con holds a group of people hostage in a topless bar.,1995-05-20,,110
8733,The Nest,"Crime,Action","Nadia Farès,Richard Sammel,Samy Naceri,Benoît Magimel,Sami Bouajila,Pascal Greggory",Florent-Emilio Siri,/kIsEf07J8EY2IAtg9Qa6M3527Om.jpg,"Laborie is a high-flying officer in the French special forces. Her mission is to escort Abedin Nexhep, a godfather of the Albanian mafia. Charged with heading a wide-reaching prostitution network, this formidable criminal is due to stand trial before a European court. During the transfer, killers hired by Nexhep set up an ambush to free their boss but Laborie and her men manage to escape...",2002-01-01,"English,Français,Deutsch,Italiano",107
3879,The Art of War,"Crime,Action,Adventure","Wesley Snipes,Donald Sutherland,Maury Chaykin,Anne Archer,Michael Biehn,Cary-Hiroyuki Tagawa,Marie Matiko,James Hong",Christian Duguay,/oKj3DNThu3525pox53lxT9RG0F5.jpg,"When ruthless terrorists threaten to bring down the United Nations, they frame the one man they believe can stop them: an international security expert named Shaw. Now he must run from his own allies and become a solitary force for good, as he tries to stop what could become World War III.",2000-08-23,English,117
49422,"OSS 117: Cairo, Nest of Spies","Crime,Action,Adventure,Comedy","Jean Dujardin,Bérénice Bejo,Aure Atika,Philippe Lefebvre,Constantin Alexandrov,Saïd Amadis,Laurent Bateau,Claude Brosset,François Damiens,Youssef Hamid,Khalid Maadour,Arsène Mosca,Abdellah Moundy,Eric Prat,Richard Sammel",Michel Hazanavicius,/9s12p1lRWbOyXpLh2NJSxNlhUrn.jpg,"Secret agent OSS 117 foils Nazis, beds local beauties, and brings peace to the Middle East.",2006-04-19,"Deutsch,Français,العربية",99
1378,Young Guns,"Crime,Action,Adventure,Drama,Western","Emilio Estevez,Kiefer Sutherland,Lou Diamond Phillips,Charlie Sheen,Dermot Mulroney,Casey Siemaszko,Terence Stamp,Jack Palance,Terry O'Quinn,Sharon Thomas Cain,Geoffrey Blake,Alice Carter,Brian Keith,Patrick Wayne,Thomas Callaway,Lisa Banes,Victor Izay,Danny Kamin,Tom Cruise,Sam Gauny,Cody Palance,Gadeek,Craig Erickson,Jeremy Lepard,Richela Renkun,Pat Finn-Lee,Gary Kanin,Forrest Broadley",Christopher Cain,/wkGbwWHIM23BkmMBm7GQHaCZan8.jpg,"A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.",1988-08-12,English,107
95945,A Dangerous Man,"Crime,Action,Adventure,Thriller","Steven Seagal,Mike Dopud,Hugo Steele,Byron Mann,Jesse Hutch",Keoni Waxman,/ggrvh1rfmAyArhRfzp0iDDkwqhi.jpg,"After serving 6 years for a crime he didn't commit, Shane Daniels is released from jail with an apology from the State of Arizona. Within hours of his freedom, he unluckily bears witness to a cop killing by Chinese mafia who have a kidnapped girl and a bag of drug money",2009-12-28,English,94
49389,The Great Train Robbery,"Crime,Action,Adventure,Western","A.C. Abadie,Gilbert M. Anderson,George Barnes,Justus D. Barnes,Walter Cameron,Frank Hanaway,Adam Charles Hayman,Mary Snow,Donald Gallaher,John Manus Dougherty Sr.,Shadrack E. Graham,Tom London,Robert Milasch,Marie Murray,Morgan Jones",Edwin S. Porter,/yqbSyDmrcqKuF6xK98LtFwZA3qS.jpg,"The clerk at the train station is assaulted and left tied by four men, then they rob the train threatening the operator. (They) take all the money and shoot a passenger when trying to run away. A little girl discovers the clerk tied and gives notice to the sheriff, who at once goes along with his men hunting the bandits.",1903-12-01,No Language,12
1858,Mr. Nice Guy,"Crime,Action,Comedy","Jackie Chan,Richard Norton,Miki Lee,Gabrielle Fitzpatrick,Karen McLymont,Vince Poletto,Barry Otto,Peter Houghton,Peter Lindsay,David William No,Rachel Blakely,Sammo Kam-Bo Hung,Emil Chow,Joyce Godenzi,Richard Huggett",Sammo Kam-Bo Hung,/4dAph6WJfO5XmkXYj0LZrI31uyo.jpg,A Chinese chef accidentally gets involved with a news reporter who filmed a drug bust that went awry and is now being chased by gangs who are trying to get the video tape.,1997-01-31,"普通话,广州话 / 廣州話,English",113
69027,OSS 117: Lost in Rio,"Crime,Action,Comedy,Adventure","Jean Dujardin,Louise Monot,Pierre Bellemare,Reem Kherici,Rüdiger Vogler,Serge Hazanavicius,Alex Lutz,Ken Samuels,Laurent Capelluto,Moon Dailly Monira,Jean-Marie Paris,Jean-Louis Barcelona,Jan Oliver Schroeder,Guillaume Schiffman",Michel Hazanavicius,/5E0abFYCo7ePxebWxKdLGOEx06f.jpg,"French top secret agent, Hubert Bonisseur de la Bath, is sent to Rio to buy microfilms from a running nazi. To do so, he has to team up with Mossad secret services.",2009-04-14,"Português,Français,English,עִבְרִית",100
34450,Miracles - Mr. Canton and Lady Rose,"Crime,Action,Comedy,Drama","Jackie Chan,Anita Mui,Kuei Ya-Lei,Richard Ng,Sunny Fang Kang,Bill Tung,Tien Feng,Ngai Jan,Gloria Yip,Wu Ma,Yuen Biao,Billy Lau,Lo Lieh,Lee Hoi-Sang,Michael Chow Man-Kin,Paul Che Biu-Law,Ray Lui,Lui Fong,Mars,Alvina Kong Yan-Yin,Tin Ching,Chang Gan-Wing,Yip Ha-Lei,Ko Chun-Hsiung",Jackie Chan,/f21MH2O9EK2NxrHSDo0vDwNFFP5.jpg,A country boy becomes the head of a gang through the purchase of some lucky roses from an old lady. He and a singer at the gang's nightclub try to do a good deed for the old lady when her daughter comes to visit.,1989-06-15,广州话 / 廣州話,127
112,Rumble in the Bronx,"Crime,Action,Comedy,Thriller","Jackie Chan,Anita Mui,Françoise Yip,Bill Tung,Marc Akerstream,Garvin Cross,Morgan Lam,Kris Lord,Carrie Cain-Sparks",Stanley Tong,/y7AxKPPCtZyrGQKvxzn5zTQ8wFm.jpg,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head.",1995-01-30,"广州话 / 廣州話,English",91
1804,The Newton Boys,"Crime,Action,Drama","Matthew McConaughey,Skeet Ulrich,Ethan Hawke,Vincent D'Onofrio,Gail Cronauer,Jena Karam,Julianna Margulies,Casey McAuliffe,Dwight Yoakam,Charles Gunning,Regina Mae Matthews,Becket Gremmels,Lew Temple,Glynn Williams,Charles 'Chip' Bray,Ken Farmer",Richard Linklater,/yoDlDqwp83p8mc0sylVPlbKnVDy.jpg,"Four Newton brothers are a poor farmer family in the 1920s. The oldest of them, Willis, one day realizes that there's no future in the fields and offers his brothers to become a bank robbers. Soon the family agrees. They become very famous robbers, and five years later execute the greatest train robbery in American history.",1998-03-26,English,113
26035,Machine-Gun Kelly,"Crime,Action,History","Charles Bronson,Susan Cabot,Morey Amsterdam,Richard Devon,Jack Lambert,Frank De Kova,Connie Gilchrist,Wally Campo,Barboura Morris",Roger Corman,/nWlhySRaToW8GEyTj1t359Lo57j.jpg,"Machine-Gun Kelly, the famous bank robber, seldom without his Thompson machine gun.",1958-05-01,English,80
155601,Sugar Hill,"Crime,Action,Horror","Marki Bey,Robert Quarry,Don Pedro Colley,Betty Anne Rees,Richard Lawson,Zara Cully,Charles Robinson,Larry Don Johnson,Rick Hagood,Ed Geldart,Albert J. Baker,Raymond E. Simpson,Truman C. Carroll,Charles Krohn",Paul Maslansky,/75IPUufoHBmhekKn7yV4pmBsndm.jpg,"When her boyfriend is brutally murdered, after refusing to be shaken down by the local gangsters running their protection racket, Sugar Hill, decides not to get mad, but BAD! Calling upon the help of aged voodoo queen Mama Maitresse, Sugar entreats her to call upon Baron Zamedi, the Lord of the Dead, for help in gaining a gruesome revenge. In exchange for her soul, the Dark Master raises up a zombie army to do her bidding. The bad guys who thought they were getting away clean are about to find out that they're DEAD wrong.",1974-02-01,English,91
27008,From Dusk Till Dawn 2: Texas Blood Money,"Crime,Action,Horror,Thriller","Robert Patrick,Duane Whitaker,Bo Hopkins,Muse Watson,Brett Harrelson,Raymond Cruz,Danny Trejo,James Parks,Maria Checa,Tiffani Thiessen,Bruce Campbell,Stacie Randall",Scott Spiegel,/d7bo08grzk9ZYV5W6hatIEszbfZ.jpg,"A gang of bank-robbing misfits heads to Mexico with the blueprints for the perfect million-dollar heist, but when one of the crooks wanders into the wrong bar... and crosses the wrong vampire... the thieving cohorts develop a thirst for blood!",1999-03-16,English,88
