movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
183,Mute Witness,Thriller,"Marina Zudina,Fay Ripley,Evan Richards,Igor Volkov,Sergei Karlenkov,Alec Guinness,Aleksandr Pyatkov,Nikolai Pastukhov,Aleksandr Bureyev,Yuriy Sherstnyov,Denis Karasyov,Olga Tolstetskaya,Oleg Yankovskiy",Anthony Waller,/1AJujK1IjuyxvIG8pjmef9qJsnQ.jpg,"Billy is mute, but it hasn't kept her from becoming a successful makeup artist. While in Russia, working on a film directed by her sister's boyfriend, Andy, Billy finds herself trapped in the studio one night and is horrified to see a snuff film being made. Billy escapes and, with the help of her sister, Kate, alerts authorities about what she saw. Unfortunately, in doing so, she makes an enemy of the Russian mafia, who funded the snuff film.",1995-09-28,"Pусский,English",95
34004,Desert Saints,"Thriller,Action","Kiefer Sutherland,Melora Walters,Shawn Woods,Christopher Bersh,Rachel Ticotin,Beth Grant,Jamey Sheridan,Leslie Stefanson",Richard Greenberg,/10UpxVpIuM4KKsVp1JsrYuH6gOv.jpg,"Kiefer Sutherland is a hard-edged hit man. Known as the world's best professional killer, Sutherland is living a life of detached solitude when he is given an assignment that pairs him up with a sultry hitchhiker (Melora Walters). Before long, he finds there is more to her than meets the eye, as he becomes entangled deeper and deeper into a web of fatal lies and double-crosses.",2002-03-10,"English,Latin",88
4842,The Dogs of War,"Thriller,Action,Adventure","Christopher Walken,Tom Berenger,Winston Ntshona,JoBeth Williams,Alan Beckwith,Colin Blakely,Jean-François Stévenin,Pedro Armendáriz Jr.,Ed O'Neill,Jean-Pierre Kalfon",John Irvin,/mC39RlWfat7wVxnGOVv0Lir5gFC.jpg,"Mercenary James Shannon, on a reconnaissance job to the African nation of Zangaro, is tortured and deported. He returns to lead a coup.",1980-12-17,English,118
78469,The A-Team,"Thriller,Action,Adventure,Comedy,Crime","Liam Neeson,Bradley Cooper,Jessica Biel,Sharlto Copley,Patrick Wilson,Quinton Jackson,Gerald McRaney,Brian Bloom,Omari Hardwick,Maury Sterling,Terry Chen,C. Ernst Harth,Neil Schell,Yul Vazquez,Alex Madison,Henry Czerny,Jacob Blair,Rad Daly,Kyle Riefsnyder,Jon Hamm,Natalie James,Christian Tessier,William 'Big Sleeps' Stewart,Marc-Anthony Massiah,Gardiner Millar,Anita Brown,Raf Rogers,Stefan Arngrim,David Hugghins,Andrew Coghlan,James O'Sullivan,Kwesi Ameyaw,Rob Conway,Ben Hernandez Bray,Jimmy Ortega,Joe Carnahan,Leah Carnahan,Michael St. John Smith,Shaw Madson,Katie Boskovich,Tony Ali,Sam Radjinia,Billy Wickman,Brendan Penny,Jeanne-Melanie Haasbroek,Tom Butler,Woody Carnahan,Dirk Benedict,Dwight Schultz,Don Knodel,Vince Murdocco,Fraser Aitcheson,Jason Schombing,Jennifer Cheon,Stephane Fromont,Karl Maier,Anne Maier,Hitesh Jogia,Marwan Al-Shami,Ali Bordbar",Joe Carnahan,/eMwotYpkcE42lGlaoCpPFaolvst.jpg,"A group of Iraq War veterans goes on the run from U.S. military forces while they try to clear their names after being framed for a crime they didn't commit. Along the way, Col. Hannibal Smith, Capt. H.M. ‘Howling Mad’ Murdock , Sgt. Bosco ‘B.A.’ Baracus, and Lt. Templeton ‘Faceman’ Peck help out various people they encounter.",2010-06-10,"Deutsch,English,Español,Français,Kiswahili",117
3433,Death Wish 4: The Crackdown,"Thriller,Action,Adventure,Crime","Charles Bronson,Kay Lenz,John P. Ryan,Perry Lopez,George Dickerson,Soon-Tek Oh,Dana Barron,Jesse Dabson,Peter Sherayko,James Purcell,Michael Russo,Danny Trejo,Dan Ferro,Mike Moroff,Michelle Michaels",J. Lee Thompson,/8yVdLJa5ywqwNAKU1nmUtDJlx8b.jpg,"After the death of his girlfriend's daughter from a drug overdose, Paul Kersey (Charles Bronson) takes on the local drug cartel.",1987-06-11,English,99
69542,K2,"Thriller,Action,Adventure,Drama","Michael Biehn,Matt Craven,Annie Grindlay,Blu Mankuma",Franc Roddam,/t2hKGzsSeP6BpnuKvpvKLExdMZB.jpg,"They call it the savage mountain. 27 people have perished trying to reach the summit on K2, the world's second highest peak. A U.S. climbing team, funded by millionaire Clairborne is determined to conquer K2.",1991-10-09,English,102
4064,Coffy,"Thriller,Action,Adventure,Drama,Crime","Pam Grier,Robert DoQui,Sid Haig,Booker Bradshaw,William Elliott,Allan Arbus,Linda Haynes,Barry Cahill,Lee de Broux,Ruben Moreno,Lisa Farringer,Carol Locatell,John Perak,Mwako Cumbuka,Morris Buchanan,Peaches Jones,Jan-Minika Hughes,Leslie McRay,Ray Young,Bob Minor,Jeff Burton,Jeff Burton,Wally Strauss,Dick O'Shea,Kim Williams,Ellen Blake,Lee Terry,Gail Davis,Lyman Ward,Don Newsome,Karen Williams,Bobby Johnson,Ron Gans,Nat Jones,Dea St. Lamont,Bebe Louie,Jason Laskay,Walter Beakel,Jophery C. Brown,Eugene Jackson,Marilyn Joi",Jack Hill ,/eUrzEmQrc8sNs4Mzd8AqXBBoLza.jpg,"After her younger sister gets involved in drugs and is severely injured by contaminated heroin, a nurse sets out on a mission of vengeance and vigilante justice, killing drug dealers, pimps, and mobsters who cross her path.",1973-06-13,English,91
176261,Demon Hunter,"Thriller,Action,Adventure,Fantasy,Horror","Niamh Hogan,Alan Talbot,Sarah Tapes Jenkinson,Kevin O'Malley,Nic Furlong,Michael Parle,Aisli Moran,Saorla Wright,Lauren Emma Bartlett,Stephanie Alken,Meaghan Gallagher,Margarita Grillis,Dave Duffy",Zoe Kavanagh,/yV2BqH0DEpq5gxLbKsDK5jI9JEu.jpg,"A young girl tormented by the tragedies of her past is brought in for questioning by the police over the death of a man, who she claims to be a demon. Detective Beckett realizes this is the same girl he made a broken promise to seven years ago that he'd find the monster that raped and murdered her 12 year old sister.",2016-09-06,,85
94018,Battleship,"Thriller,Action,Adventure,Science Fiction","Taylor Kitsch,Alexander Skarsgård,Rihanna,Brooklyn Decker,Tadanobu Asano,Liam Neeson,Gregory D. Gadson,Hamish Linklater,Jesse Plemons,John Tui,Jerry Ferrara,David Jensen,Peter Berg,Adam Godley,Rico McClinton,Joji Yoshida,Stephen Bishop,Austin Naulty,James Rawlings,Dustin J. Reno,Rick Hoffman,Gary Grubbs,Rami Malek,Peter MacNicol,Louis Lombardi,Jordan Kirkwood,Doug Penty,Carson Aune,Josh Pence,Lloyd Pitts,Michelle Arthur,Natalia Castellanos,Leni Ito,Jackie Johnson,Kerry Cahill,Norman Vincent McLafferty,Dante Jimenez,Daven Arce,Ralph Richardson,Biunca Love,Kyle Russell Clements,Yutaka Takeuchi,John A Weaver,Dane Justman,Drew Rausch,Bill Stinchcomb,John Bell",Peter Berg,/7hN6WtMepoMZyeHZU2DM21cEj3z.jpg,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",2012-04-11,"English,日本語",131
183915,Batman: Gotham by Gaslight,"Thriller,Action,Animation,Science Fiction","Bruce Greenwood,Jennifer Carpenter,Anthony Stewart Head,Scott Patterson,John DiMaggio,Yuri Lowenthal,Grey DeLisle,William Salyers,Bob Joles,Tara Strong,Kari Wuhrer,Lincoln Melcher,Bruce Timm,David Forseth,Chris Cox",Sam Liu,/7souLi5zqQCnpZVghaXv0Wowi0y.jpg,"In an alternative Victorian Age Gotham City, Batman begins his war on crime while he investigates a new series of murders by Jack the Ripper.",2018-01-12,English,78
157721,Armitage: Dual Matrix,"Thriller,Action,Animation,Science Fiction,Adventure","Ryoka Yuzuki,Hikaru Hanada,Yuka Imai,Mitsuki Saiga,Jouji Nakata,Takumi Yamazaki,Kazuhiro Yamaji",Katsuhito Akiyama,/oKP0UiMxSGT9J7wpPZnFwW4z2YY.jpg,Naomi Armitage and Ross Sylibus have changed their names and live with their daughter Yoko as a happy and normal family on Mars — until an android riot breaks out at an anti-matter plant on Earth.,2002-03-22,日本語,90
82928,Nude Nuns with Big Guns,"Thriller,Action,Comedy","Asun Ortega,Bill Oberst Jr.,Ivet Corvea,Devanny Pinn,Tawny Amber Young,Maxie J. Santillan Jr.,Tomas Boykin,Kimberly Ables Jindra,Jessica Elder,Monica Ramon,Maz Siam,Larry Eudene,Sasha Stuber,Xango Henry,David Castro",Joseph Guzman,/nPCXyzq9ga6FSKQcTYhWTh2QZid.jpg,"Upon taking her vows to become a nun, Sister Sarah is abused, brainwashed and drugged into submission by the corrupt clergy. On the verge of death from a lethal dose of drugs, Sister Sarah receives a message from God telling her to take vengeance on all those who did her wrong. Armed with God's will and an arsenal of big guns, she dispenses Judgment Day on her former tormentors. When the church hires the merciless motorcycle gang the ""Los Muertos"" to track down and kill her they soon realize that this sister is one bad mother.",2010-09-24,English,90
2457,Running Scared,"Thriller,Action,Comedy,Crime","Gregory Hines,Billy Crystal,Steven Bauer,Darlanne Fluegel,Joe Pantoliano,Dan Hedaya,Jon Gries,Tracy Reed,Jimmy Smits,John DiSanti,Larry Hankin,Don Calfa,Robert Lesser,Betty Carvalho,Louis Perez,Al Leong",Peter Hyams,/2LoovCuL3mP7deokeMlqtZRMq1v.jpg,Two street-wise Chicago cops have to shake off some rust after returning from a Key West vacation to pursue a drug dealer that nearly killed them in the past.,1986-06-27,English,107
5027,Another 48 Hrs.,"Thriller,Action,Comedy,Crime,Drama","Eddie Murphy,Nick Nolte,Brion James,Kevin Tighe,Ed O'Ross,Andrew Divoff,Tisha Campbell-Martin,Bernie Casey,Brent Jennings,Ted Markland,Felice Orlandi,Edward Walsh,David Anthony Marshall,Ken Medlock,Dean Rader Duval",Walter Hill,/cIk8Hag7uHVhLMyaCHJpA0jwI2z.jpg,"For the past four years, San Francisco cop Jack Cates has been after an unidentified drug kingpin who calls himself the ""Ice Man"". Jack finds a picture that proves that the Ice Man has put a price on the head of Reggie Hammond, who is scheduled to be released from prison on the next day.",1990-06-08,"广州话 / 廣州話,English",95
156420,Flying Wild,"Thriller,Action,Comedy,Drama","Leo Gorcey,Bobby Jordan,Joan Barclay,Dave O'Brien,George Pembroke,Sunshine Sammy Morrison,David Gorcey,Donald Haines,Eugene Francis,Bobby Stone,Herbert Rawlinson,Dennis Moore,Forrest Taylor,Robert F. Hill,Mary Bovard,Stephen Chase,Al Ferguson,Jack Kenny,Carey Loftin,Bud Osborne,Eddie Parker,Dick Scott",William West,/j8B6uu8e5sqDZPG4t1P1ZY4sp7N.jpg,A group of young men who work at an aviation factory begin to suspect that a doctor who runs an air ambulance service is secretly a spy transporting secret information from the plant to enemy agents.,1941-03-10,English,64
