movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
151,Rob Roy,Adventure,"Liam Neeson,Jessica Lange,John Hurt,Tim Roth,Eric Stoltz,Brian Cox,Jason Flemyng,Andrew Keir,Shirley Henderson,Brian McCardie,Gilbert Martin,Vicki Masson,Gilly Gilchrist,Ewan Stewart,David Hayman,David Brooks Palmer,Myra McFadyen,John Murtagh,Karen Matheson,Bill Gardiner,Brian McArthur,Valentine Nwanze,Richard Bonehill,Allan Sutherland",Michael Caton-Jones,/8O52wIIbskNl9kZnGvP9Gi4A2oN.jpg,"In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen, Rob is forced into a Robin Hood lifestyle to defend his family and honour.",1995-04-13,English,139
761,The Phantom,"Adventure,Action","Billy Zane,Kristy Swanson,Treat Williams,Catherine Zeta-Jones,James Remar,Cary-Hiroyuki Tagawa,Bill Smitrovich,Casey Siemaszko,David Proval,Joseph Ragno,Samantha Eggar,Jon Tenney,Patrick McGoohan,Robert Coleby,Al Ruscio",Simon Wincer,/8k8RSMkmGR9Lp6FbKtithM3KIQb.jpg,The 21st successor to the role of Bengalla's resident superhero must travel to New York to prevent a rich madman from obtaining three magic skulls that would give him the secret to ultimate power.,1996-06-06,English,100
55995,Beowulf,"Adventure,Action,Animation","Ray Winstone,Angelina Jolie,Anthony Hopkins,Robin Wright,John Malkovich,Brendan Gleeson,Crispin Glover,Alison Lohman,Greg Ellis,Sebastian Roché,Dominic Keating,Charlotte Salt,Rik Young,Sonje Fortag,Keith Kraft,John Bilezikjian,Rod D. Harbour,Brice Martinet,Sharisse Baker-Bernard,Julene Renee,Leslie Zemeckis,Woody Schultz,Tyler Steelman,Nick Jameson,Shay Duffin,Costas Mandylor,Jacquie Barnbrook,Fredrik Hiller,Kevin Dorman,Richard Burns",Robert Zemeckis,/j90lLkvlcPNL6VVoLGQ0yzPUfJV.jpg,"6th-century Scandinavian warrior, Beowulf embarks on a mission to slay the manlike ogre Grendel, a descendant of Cain.",2007-11-05,English,115
4446,Final Fantasy: The Spirits Within,"Adventure,Action,Animation,Fantasy,Science Fiction,Thriller","Donald Sutherland,Ming-Na Wen,Alec Baldwin,Ving Rhames,Steve Buscemi,Peri Gilpin,James Woods,Jean Simmons,Keith David","Hironobu Sakaguchi,Motonori Sakakibara",/aQUf5XYZfGalPzwPHVDwCpSzUK.jpg,"Led by a strange dream, scientist Aki Ross struggles to collect the eight spirits in the hope of creating a force powerful enough to protect the planet. With the aid of the Deep Eyes Squadron and her mentor, Dr. Sid, Aki must save the Earth from its darkest hate and unleash the spirits within.",2001-07-02,English,106
176681,Batman and Harley Quinn,"Adventure,Action,Animation,Science Fiction","Kevin Conroy,Melissa Rauch,Loren Lester,Paget Brewster,Kevin Michael Richardson,John DiMaggio,Trevor Devall,Eric Bauza,Robin Atkin Downes,Rob Paulsen,Mindy Sterling,Bruce Timm",Sam Liu,/dPsjte846EcEWQpfMmGHrTWIJd8.jpg,"Batman and Nightwing are forced to team with the Joker's sometimes-girlfriend Harley Quinn to stop a global threat brought about by Poison Ivy and Jason Woodrue, the Floronic Man.",2017-08-14,Polski,74
2748,Allan Quatermain and the Lost City of Gold,"Adventure,Action,Comedy","Richard Chamberlain,Sharon Stone,James Earl Jones,Henry Silva,Robert Donner,Doghmi Larbi,Aileen Marson,Cassandra Peterson,Martin Rabbett,Rory Kilalea,Emily eby,Alex Heyns,Themsie Times,Philip Boucher,Stuart Goakes,Fidelis Cheza,Nic Lesley,George Chiota",Gary Nelson,/ncZ5s2GO3ABZQaS6JvZSSx0PtLj.jpg,"After his brother Robeson disappears without a trace while exploring Africa in search of a legendary 'white tribe', Allan Quatermain decides to follow in his footsteps to learn what became of him. Soon after arriving, he discovers the Lost City of Gold, controlled by the evil lord Agon, and mined by his legions of white slaves.",1986-12-17,English,99
212,Bushwhacked,"Adventure,Action,Comedy,Crime,Family","Daniel Stern,Jon Polito,Brad Sullivan,Ann Dowd,Anthony Heald,Tom Wood,Blake Bashoff,Corey Carrier,Michael Galeota,Max Goldblatt",Greg Beeman,/A4UQ0y2kj4ZXrBP0MXYazd69xp2.jpg,"A inept courier realises he has been used by criminals to deliver money. On the run from both the criminals and police, he poses as a Scout leader and leads a scout group on a hike through the mountains.",1995-08-04,"English,Deutsch",90
4749,3 Ninjas Kick Back,"Adventure,Action,Comedy,Family","Victor Wong,Max Elliott Slade,Sean Fox,J. Evan Bonifant,Caroline Junko King,Dustin Nguyen,Alan McRae,Margarita Franco,Jason Schombing,Angelo Tiffe,Sab Shimono,Don Stark,Kellye Nakahara,Scott Caudill,Tommy Clark,Jeremy Linson,Brian Wagner,Maital Sabban,Gino Dentie,Marcus Giamatti,Jill Ito,Michael Paciorek,Donna Marie Recco,Joey Travolta,Robert Miano,Glen Chin,Killer Khan,Shiao-Hu Tso,Kazuaki Naruse,Syunichiro Yunoki,Hachiro Yamauchi,Toshiyo Matsunaga,Yoshiko Kamiya,Katsumi Honda,Shogo Nakajima,Kyogi Kamui,Seigen Nakayama,Ôfuji,Hayabusa Tenkomori,Shinoburyû,Kasugia,Naoki Fuji,Takao Ito,Kensuke Goto,Yousyu Kondo,Takeshi Yamamoto,Masaki Kiryu,Hideki Chiba,Norihito Yagami,Kazuya Matsui",Charles T. Kanganis,/paFMTv9IuZJaVkPZZvwtS5Ta5D9.jpg,"During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge.",1994-05-06,"English,Français",93
95298,Woochi : The Demon Slayer,"Adventure,Action,Comedy,Fantasy","Kang Dong-won,Kim Yoon-seok,Yum Jung-ah,Song Young-chang,Ju Jin-mo,Yoo Hae-jin,Kwon Tae-won,Yeon-su Seo,Kim Sang-ho,Min-gyoo Park,Ji-hyeok Min,Yeong-jin Sin,Gong Jeong-hwan,Jong-gu Yun,Hyeon-woo Son,Kim Hyo-jin,Im Soo-jung,Baek Yun-Shik,Sunwoo Sun",Choi Dong-hoon,/3oGuv651I03RtLrlBRwn9sClaaN.jpg,"Spanning four centuries in Korea, this epic action-adventure concerns a powerful pipe and a trio of wizards who will do anything to protect it.",2009-12-23,한국어/조선말,136
31664,Gorgeous,"Adventure,Action,Comedy,Romance","Jackie Chan,Shu Qi,Tony Leung Chiu-Wai,Emil Chow,Bradley James Allan,Richie Ren,Ken Lo,Chan Chung-Yung,Elaine Jin,Jo Kuk,Sandra Ng Kwun-Yu,Annie Wu,William Chan Yuk-Choh,Jacqueline Li,Eileen Tung,Stephen Chow,Carmen Soo",Vincent Kok,/vzY0zAdfnLZaVQrQcivasBDTmm4.jpg,"When Ah Bu, a girl from a small fishing town in Taiwan, finds a glass bottle with a romantic message, she travels to Hong Kong to find her prince charming. As it turns out, her prince charming, Albert, happens to be gay. But all is not lost when Ah Bu meets the dashing Chi Wu. Meanwhile, Ah Bu's boyfriend from Taiwan comes looking for her, as the action and romance follow Ah Bu back to Taiwan.",1999-02-12,"广州话 / 廣州話,普通话",121
