movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
78574,Winter's Bone,Drama,"Jennifer Lawrence,John Hawkes,Kevin Breznahan,Dale Dickey,Garret Dillahunt,Sheryl Lee,Shelley Waggener,Isaiah Stone,Ashlee Thompson,Valerie Richards,Lauren Sweetser,Cinnamon Schultz,Casey MacLaren,Tate Taylor,Ronnie Hall,Cody Brown,William White,Beth Domann,Charlotte Jeane Lucas,Ramona Blair,Russell Schalk,Marideth Sisco",Debra Granik,/lUFZr1hEgFbowMHzJhAKx08VMGA.jpg,"17 year-old Ree Dolly sets out to track down her father, who put their house up for his bail bond and then disappeared. If she fails, Ree and her family will be turned out into the Ozark woods. Challenging her outlaw kin's code of silence and risking her life, Ree hacks through the lies, evasions and threats offered up by her relatives and begins to piece together the truth.",2010-06-11,English,100
88192,The Poker House,Drama,"Jennifer Lawrence,Selma Blair,Bokeem Woodbine,Chloë Grace Moretz,Sophia Bairley,Casey Tutton,Jayce Ryan,Natalie West,David Alan Grier,Andrew Rothenberg,Danielle Campbell,Clarke Peters",Lori Petty,/npLCrp8bFljfuCUnY7bbmL6NePs.jpg,"Agnes and her two sisters struggle through a day in a home overrun by gamblers, thieves, and johns.",2008-06-20,"English,Español",93
91500,The Hunger Games,"Science Fiction,Adventure,Fantasy","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,Lenny Kravitz,Stanley Tucci,Donald Sutherland,Wes Bentley,Toby Jones,Alexander Ludwig,Isabelle Fuhrman,Amandla Stenberg,Willow Shields,Sandra Ellis Lafferty,Paula Malcomson,Rhoda Griffis,Raiko Bowman,Dwayne Boyd,Anthony Reynolds,Judd Lormand,Nelson Ascencio,Bruce Bundy,Latarsha Rose,Dayo Okeniyi,Leven Rambin,Jack Quaid,Jacqueline Emerson,Ian Nelson,Kalia Prescott,Ethan Jamieson,Mackenzie Lintz,Annie Thurman,Imanol Yepez-Frias,Dakota Hood,Amber Chaney,Karan Kendrick,Phillip Troy Linger,Kimiko Gelman,Kate Kneeland,Steve Coulter,Sharon Conley,Tim Taylor,John William Ross,Julie Ivey,Bill Bennett,Jeremy Bonham,Mary Fox",Gary Ross,/iLJdwmzrHFjFwI5lvYAT1gcpRuA.jpg,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",2012-03-12,English,142
96917,House at the End of the Street,"Horror,Thriller","Jennifer Lawrence,Max Thieriot,Elisabeth Shue,Gil Bellows,Nolan Gerard Funk,Eva Link,Allie MacDonald,Jordan Hayes,Krista Bridges,James Thomas,Hailee Sisera,Craig Eldridge,Jonathan Higgins,Olivier Surprenant,Lori Alter,Joy Tanner,Bobby Osborne,Grace Tucker-Duguay,Will Seatle Bowes,Jon McLaren,John Healy,Jasmine Chan,Jonathan Malen,Claudia Jurt",Mark Tonderai,/g33AdUWEVjG9ib15bganWBJs4yC.jpg,"A mother and daughter move to a new town and find themselves living next door to a house where a young girl murdered her parents. When the daughter befriends the surviving son, she learns the story is far from over.",2012-09-21,English,101
106487,The Hunger Games: Catching Fire,"Adventure,Action,Science Fiction","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,Lenny Kravitz,Philip Seymour Hoffman,Jeffrey Wright,Stanley Tucci,Donald Sutherland,Toby Jones,Willow Shields,Sam Claflin,Lynn Cohen,Jena Malone,Amanda Plummer,Jack Quaid,Taylor St. Clair,Sandra Ellis Lafferty,Paula Malcomson,Bruce Bundy,Nelson Ascencio,Afemo Omilami,Kimberley Drummond,Deena Beasley,Leon Lamar,Mandy Neuhaus,Erika Bierman,Wilbur Fitzgerald,Patrick St. Esprit,Jill Jane Clements,James Sutton,Alan Ritchson,Stephanie Leigh Schlund,Meta Golding,Megan Hayes,Stef Dawson,James Logan,E. Roger Mitchell,Bruno Gunn,Maria Howell,Judd Lormand,Elena Sanchez,John Casino,Marian Green,Daniel Bernhardt,Ravi Naidu,Franco Castan,Sarah Turner Holland,Jared Allman,Laura Avnaim,Noëlle Renée Bercy,Nickolas Wolf",Francis Lawrence,/Hn0KgefVEp0GkdTexS6gfKTMfi.jpg,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",2013-11-15,English,146
116781,Serena,Drama,"Jennifer Lawrence,Bradley Cooper,Rhys Ifans,Toby Jones,Blake Ritson,Sean Harris,Sam Reid,Charity Wakefield,Douglas Hodge,Kim Bodnia,Ana Ularu,David Dencik,Ned Dennehy,Christian McKay,Mark O'Neal,Jim High,Bodil Jørgensen,Michael Ryan",Susanne Bier,/9WqaVDoMJbsxLzJX5IwMdS6CUuW.jpg,"North Carolina mountains at the end of the 1920s – George and Serena Pemberton, love-struck newly-weds, begin to build a timber empire. Serena soon proves herself to be equal to any man: overseeing loggers, hunting rattle-snakes, even saving a man’s life in the wilderness. With power and influence now in their hands, the Pembertons refuse to let anyone stand in the way of their inflated love and ambitions. However, once Serena discovers George’s hidden past and faces an unchangeable fate of her own, the Pemberton’s passionate marriage begins to unravel leading toward a dramatic reckoning.",2014-10-12,English,102
116823,The Hunger Games: Mockingjay - Part 1,"Science Fiction,Adventure,Thriller","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Donald Sutherland,Philip Seymour Hoffman,Julianne Moore,Willow Shields,Sam Claflin,Elizabeth Banks,Mahershala Ali,Jena Malone,Jeffrey Wright,Paula Malcomson,Stanley Tucci,Natalie Dormer,Evan Ross,Elden Henson,Wes Chatham,Sarita Choudhury,Stef Dawson,Patina Miller,Robert Knepper,Caitlin Fowler,Jada Taylor,Nicholas Pryor,Donna Biscoe,Michael Garza,Erika Bierman,Bill Bennett,Rus Blackwell,Stevie Ray Dallimore,Breann Couch,Jennifer Cocker,Marshall Choka,Jordan Woods-Robinson,Katie Sawhill,Jenique Bennett,Charles Kronmuller,Tyler Lee Allen,Jordanne Calvin,Jasmine Ahnie,Brayden Patterson,Emma Elle Roberts,A.J. Sexton,Sarah Turner Holland,Lauren Henneberg,Molly Evensen,William Frasca,Joe Crosson,Gregory Fears,Kirk Crenshaw,Stephen Mackenzie Brown,Stephen Vining",Francis Lawrence,/gj282Pniaa78ZJfbaixyLXnXEDI.jpg,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,2014-11-18,English,123
135133,The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Science Fiction","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,Julianne Moore,Philip Seymour Hoffman,Jeffrey Wright,Stanley Tucci,Donald Sutherland,Willow Shields,Sam Claflin,Jena Malone,Mahershala Ali,Wes Chatham,Natalie Dormer,Elden Henson,Evan Ross,Patina Miller,Paula Malcomson,Stef Dawson,Meta Golding,Gwendoline Christie,Robert Knepper,Omid Abtahi,Eugenie Bondurant,Sarita Choudhury,Brandon Cyrus,Michelle Forbes,Thomas Blake Jr.,Linds Edwards,Toby Jones,Joe Chrest,Mark Jeffrey Miller,Desmond Phillips,April Grace,Phillip Troy Linger,Misty Ormiston,Kim Ormiston,Elle Graham,Lacy Dmitriew,Kate Rachesky,David Hallyday,Bear Lawrence,Theodore Lawrence,Gary Sievers,Emma Elle Roberts,Alexander Yassin,Lauren Henneberg,Jasmine Ahnie,Sue-Lynn Ansari",Francis Lawrence,/w93GAiq860UjmgR6tU9h2T24vaV.jpg,"With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.",2015-11-18,English,137
140928,Joy,"Drama,Comedy","Jennifer Lawrence,Bradley Cooper,Robert De Niro,Dascha Polanco,Edgar Ramírez,Elisabeth Röhm,Virginia Madsen,Isabella Rossellini,Diane Ladd,Jimmy Jean-Louis,Drena De Niro,Madison Wolfe,John Enos III,Donna Mills,Allie Marshall,Kristen Annese,Chaunty Spillane,Isabella Crovetti,Susan Lucci,Laura Wright,Melissa Rivers,Lexie Roth,Maurice Benard,Ken Howard,Ray De La Paz,Marianne Leone Cooper,Emily Nuñez,Aundrea Gadsby,Gia Gadsby,Tomas Elizondo,Zeke Elizondo,Alexander Cook,Luisa Maria Badaracco,Lori McCoy-Bell,Johnnie McQuarley,Gary Zahakos,Mateo Gómez,Jim Frangione,Erica McDermott,Melissa McMeekin,Carla Antonino,Marianne Bayard,Fiore Leo,Steven DeMarco,Damien Di Paola,Patsy Meck,Jeremiah Kissel,Dale Place,Bates Wilder,Paul Herman,Christy Scott Cashman,Colleen Camp,Patrick Pitu,Michael DeMello,Ken Cheeseman,Johnny Lee Davenport,Barry Primus,Jasmine Brooke White,Eliana Adise,Bill Thorpe,Jamell Washington,Pedro Sabino,Calidore Robinson,Naheem Garcia,Susan Garibotto,Stephanie Eaton,Ariana DeFusco",David O. Russell,/8HmSDWzknzMdy8i2Pyh60chSXfP.jpg,A story based on the life of a struggling Long Island single mom who became one of the country's most successful entrepreneurs.,2015-12-24,"Español,English",124
161181,A Beautiful Planet,Documentary,Jennifer Lawrence,Toni Myers,/yQGututLC0LDNRI0xZaOxyPNhKK.jpg,"A Beautiful Planet is a breathtaking portrait of Earth from space, providing a unique perspective and increased understanding of our planet and galaxy as never seen before. Made in cooperation with the National Aeronautics and Space Administration (NASA), the film features stunning footage of our magnificent blue planet — and the effects humanity has had on it over time — captured by the astronauts aboard the International Space Station (ISS)  Exclusive IMAX and IMAX® 3D engagements of A Beautiful Planet begin April 29th.",2016-04-29,English,45
