movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
662,Fear,"Drama,Thriller,Romance","Mark Wahlberg,Reese Witherspoon,William Petersen,Alyssa Milano,Amy Brenneman,Christopher Gray,Tracy Fraim,Gary Riley,Jason Kristofer,Jed Rees",James Foley,/reA4wlTY9qGwryVftscFT2q0ZLK.jpg,A 16 year old girl takes up with a charming young man who quickly shows his colors when he beats a friend simply for walking with her and then goes totally ballistic after she tries to break up with him.,1996-04-12,English,97
1673,Boogie Nights,Drama,"Mark Wahlberg,Burt Reynolds,John C. Reilly,Julianne Moore,Thomas Jane,Heather Graham,Philip Seymour Hoffman,William H. Macy,Don Cheadle,Luis Guzmán,Alfred Molina,Robert Ridgely,Philip Baker Hall,Robert Downey Sr.,Nicole Ari Parker,Ricky Jay,Rico Bueno,Veronica Hart,Samson Barkhordarian,Nina Hartley,Brad Braeden,Joanna Gleason,Lawrence Hudd,Michael Stein,Stanley DeSantis,Patricia Forte,Kai Lennox,Laurel Holloman,Jason Andrews,Lil' Cinderella,Greg Lauren,Tom Dorfmeister,Jason ""Jake"" Cross,Jack Wallace,Selwyn Emerson Miller,Jamielyn Lippman,Missy Spell Tanner,Raymond Laboriel,Melora Walters,Jon Brion,Brian Kehew,Robin Sharp,Audrey Wiechman,Tim Soronen,Michael Jace,Alexander D. Slanger,Tom Lenk,Lexi Leigh,Laura Gronewold,Vernon Guichard II,Tony Tedeschi,Leslie Redden,Gregory T. Daniel,Jonathan Quint,Michael Penn,Don Amendolia,Summer Cummings,Skye Blue,Jack Riley,John Doe,Channon Roe,Mike Gunther,Michael Raye Smith,Michael S. Stencil,Dustin Courtney,Allan Graf,Jose Chaidez,B. Philly Johnson,Joe G.M. Chan,Goliath,Israel Juarbe,George Anthony Rae,Eric Winzenried,Sharon Ferrol-Young,Anne Fletcher,Scott Fowler,Melanie A. Gage,Eddie Garcia,Sebastian La Cause,Lance MacDonald,Diane Mizota,Nathan Prevost,Lisa Ratzin,Dee Dee Weathers,Darrel W. Wright,Greg Bronson,Grace Bustos,Jorga Caye,Tyrone D. Dixon,Theo Mayes,Coleman McClary,Jami Philbrick,Misty Tamburelli,Sean Welch",Paul Thomas Anderson,/gTq6MPt7SeMiJ2miHeMoNEZTz4p.jpg,"Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality.",1997-10-07,English,155
1866,The Big Hit,"Action,Adventure,Comedy,Thriller","Mark Wahlberg,Lou Diamond Phillips,Christina Applegate,China Chow,Avery Brooks,Antonio Sabàto, Jr.,Elliott Gould,Lainie Kazan,Bokeem Woodbine,Robin Dunne",Kirk Wong,/4J1eAqwaf16mpgUNzaDmrQukUTm.jpg,"Affable hit man Melvin Smiley is constantly being scammed by his cutthroat colleagues in the life-ending business. So, when he and his fellow assassins kidnap the daughter of an electronics mogul, it's naturally Melvin who takes the fall when their prime score turns sour. That's because the girl is the goddaughter of the gang's ruthless crime boss. But, even while dodging bullets, Melvin has to keep his real job secret from his unsuspecting fiancée, Pam.",1998-04-24,English,91
2540,The Corruptor,"Action,Crime,Mystery,Thriller","Mark Wahlberg,Chow Yun-Fat,Byron Mann,Kim Chan,Ric Young,Paul Ben-Victor,Jon Kit Lee,Andrew Pang,Elizabeth Lindsey,Brian Cox,Bill MacDonald,Tovah Feldshuh",James Foley,/lVUA7xehGn4j0lYHDqOJtJVbWhT.jpg,"Danny is a young cop partnered with Nick, a seasoned but ethically tainted veteran. As the two try to stop a gang war in Chinatown, Danny relies on Nick but grows increasingly uncomfortable with the way Nick gets things done.",1999-03-12,"广州话 / 廣州話,English,普通话",110
2769,The Yards,"Action,Crime,Drama,Thriller","Mark Wahlberg,Joaquin Phoenix,Charlize Theron,James Caan,Ellen Burstyn,Faye Dunaway,Andy Davoli,Tony Musante,Victor Argo,Tomás Milián,Robert Montano,Victor Arnold,Chad Aaron,Louis Guss,Annika Pergament,Steve Lawrence",James Gray,/AtwXtU8CDWvVADgOwRkOSRZFPWI.jpg,"In the rail yards of Queens, contractors repair and rebuild the city's subway cars. These contracts are lucrative, so graft and corruption are rife. When Leo Handler gets out of prison, he finds his aunt married to Frank Olchin, one of the big contractors; he's battling with a minority-owned firm for contracts.",2000-04-27,"English,Español",115
4643,Planet of the Apes,"Thriller,Science Fiction,Action,Adventure","Mark Wahlberg,Tim Roth,Helena Bonham Carter,Michael Clarke Duncan,Kris Kristofferson,Estella Warren,Paul Giamatti,Cary-Hiroyuki Tagawa,Glenn Shadix,Charlton Heston,Chad Bannon,Linda Harrison,Melody Perkins,Lisa Marie,Lucas Elliot Eberl,Evan Parke,Chris Ellis,Deep Roy,Kevin Grevioux,Rick Baker,Martin Klebba,David Warner,Erick Avari",Tim Burton,/uHp6PTo7SCrqdH5wCSrCCf8EQFX.jpg,"After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade.",2001-07-25,English,119
4757,Rock Star,"Music,Drama,Comedy","Mark Wahlberg,Jennifer Aniston,Dominic West,Jason Bonham,Jeff Pilson,Zakk Wylde,Timothy Spall,Blas Elias,Nick Catanese,Brian Vander Ark,Timothy Olyphant,Dagmara Domińczyk,Matthew Glave,Michael Shamus Wiles,Beth Grant,Jason Flemyng,Gia Franzia,Carey Lessard,Kristin Richardson,Jamie Williams,Keith Loneker,Sami Reed,Kara Zediker,Stephan Jenkins,Vitamin C,Kevin Ryder,Gene Baxter,Gregory Hinton,Sonya Stephens,Neil Zlozower,Kirk Enochs,Myles Kennedy,Rachel Hunter,Heidi Mark,Carrie Stevens,Amy Miller,William Martin Brennan,Lorna Scott,Ralph Saenz,Jennifer Rovero,Natalie Raynes,Jamal Weathers,Hailie Brennand,Eric Weinstein,Jamie White,Jeffrey Wetzel,Frederick E. Kowalo,Jennifer Uilani Warren,Chad Azadan,Linda Cevallos,Jennifer Edmond,Brian Friedman,Cynthia Fuhrer,Cati Jean,Edward Jenkins,Kelly Knox,Tabbatha Mays,Udee McGeoy,Ted Napolitano,Tomasina Parrott,Gabriel Ramírez,Ursula Whittaker,Zachary Woodlee",Stephen Herek,/eMbsUnRfRciBGLclsqmICPOXbir.jpg,"Rock Star tells the story of Chris Cole and a rock band called Steel Dragon. Cole is a photocopier technician by day, and the lead singer of a Steel Dragon tribute band called ""Blood Pollution"" by night.Internal struggles between the Steel Dragon band members culminate with the firing of the lead singer, Bobby Beers and the starting of recruitment sessions to find a new vocalist. Loosely inspired by the true story of the heavy metal band Judas Priest.",2001-09-04,English,105
5787,The Truth About Charlie,"Mystery,Thriller,Romance,Drama","Mark Wahlberg,Thandie Newton,Tim Robbins,Christine Boisson,LisaGay Hamilton,Park Joong-hoon,Ted Levine,Stephen Dillane",Jonathan Demme,/6n9t6L61RqIPncwD8wkkhIkay0n.jpg,"The Truth About Charlie is a 2002 remake of the 1963 film Charade (which starred Cary Grant and Audrey Hepburn). It is also an homage to François Truffaut's Shoot the Piano Player and that film's star Charles Aznavour appeared as himself and sang his song ""Quand tu m'aimes"" (English version).",2002-10-25,"English,العربية,Deutsch,Français",104
6378,The Italian Job,"Action,Crime","Mark Wahlberg,Charlize Theron,Edward Norton,Seth Green,Jason Statham,Yasiin Bey,Franky G,Donald Sutherland,Olek Krupa,Boris Lee Krutonog,Fausto Callegarini,Stefano Petronelli,Fabio Scarpa,Cristiano Bonora,Tiberio Greco,Jimmy Shubert,Tammi Cubilette,Mary Portser,Gawtti,Melanie Jayne,Gregory Scott Cummins,Erik Walker",F. Gary Gray,/jNRCNX1uDiUf6mteFxOBn30wL8Q.jpg,"Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles.",2003-05-30,"Український,English,Italiano",110
34534,Four Brothers,"Action,Crime","Mark Wahlberg,Tyrese Gibson,André Benjamin,Garrett Hedlund,Terrence Howard,Josh Charles,Sofía Vergara,Fionnula Flanagan,Chiwetel Ejiofor,Taraji P. Henson,Barry Shabaka Henley,Jernard Burks,Kenneth Welsh,Tony Nappo,Shawn Singleton,Lyriq Bent,Shomari Downer,Mpho Koaho,Costin Manu,Kevin Duhaney,Victor A. Young",John Singleton,/spb6ir8Z1PzheaxagpCELAhZG4O.jpg,Four adopted brothers return to their Detroit hometown when their mother is murdered and vow to exact revenge on the killers.,2005-08-11,"Español,English",109
