movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
1065,The Woman in Question,Mystery,"Jean Kent,Dirk Bogarde,John McCallum,Susan Shaw,Hermione Baddeley,Charles Victor,Duncan Macrae,Lana Morris,Joe Linnane,Vida Hope,John Boxer,Albert Chevalier,Julian D'Albie,Anthony Dawson,Richard Dunn,Ian Fleming,Nora Gordon,Helen Goss,Everley Gregg,Duncan Lamont,Tom Macaulay,John Martin,Josephine Middleton,Richard Pearson,Robert Scroggins,Merle Tottenham",Anthony Asquith,/vN4bkACDLO3foJynEcTyJfOTvmJ.jpg,"Director Anthony Asquith, working in the style of a Hitchcock whodunit, deftly moves between multiple points of view in this gritty look at life in a seaport town. Jean Kent stars as Agnes ""Astra"" Huston, a fortune teller at a run-down fair, who is found strangled in her bedroom. As the police question five suspects their interactions with her are shown in flashbacks from their point of view.",1952-02-18,English,88
172711,Antikiller D.K,"Mystery,Action","Yuriy Kutsenko,Ekaterina Klimova,Yusup Bakhshiev,Mikhail Efremov,Vyacheslav Razbegaev,Sergey Veksler,Ivan Bortnik,Aleksandr Tyutin",Eldar Salavatov,/qYVWUwxoft7JhrZqrkz48BmemgO.jpg,Major Korenev (Fox) continue to fight criminals after terrorists gang liquidation.,2009-12-03,Pусский,91
173581,The Da Vinci Treasure,"Mystery,Action,Adventure","C. Thomas Howell,Lance Henriksen,Nicole Sherwin,Alexis Zibolis",Peter Mervis,/58NnaMVkhWcuQiy9Ua9eEjgFLYV.jpg,"An anthropologist must unlock the code hidden in the works of Leonardo Da Vinci in order to find the greatest treasure ever, one that could change Christianity forever.",2006-05-23,English,91
167838,Kung Fu Yoga,"Mystery,Action,Adventure,Comedy","Jackie Chan,Disha Patani,Sonu Sood,Miya Muqi,Amyra Dastur,Paul Philip Clark,Aarif Lee,Yixing Zhang,Zhang Guoli,Eric Tsang,Temur Mamisashvili,Damian Mavis,Joel Adrian,Tomer Oz,David Torok,Fatih Ugurlu,Kevin Lee,Paul Allica,Sajjad Delafrooz,Eskindir Tesfay,Darren Grosvenor,Adam Stone,Erika Herbert",Stanley Tong,/rL6XM4fsr1cM5mN2flEhQ8jQter.jpg,"Chinese archeology professor Jack teams up with beautiful Indian professor Ashmita and assistant Kyra to locate lost Magadha treasure. In a Tibetan ice cave, they find the remains of the royal army that had vanished together with the treasure, only to be ambushed by Randall, the descendent of a rebel army leader. When they free themselves, their next stop is Dubai where a diamond from the ice cave is to be auctioned. After a series of double-crosses and revelations about their past, Jack and his team travel to a mountain temple in India, using the diamond as a key to unlock the real treasure.",2017-01-27,"English,हिन्दी,普通话",130
175109,Prisoners of the Sun,"Mystery,Action,Adventure,Horror","John Rhys-Davies,David Charvet,Emily Holmes,Nick Moran,Joss Ackland,Michael Higgs,Gulshan Grover,Carmen Chaplin",Roger Christian,/u181DAmOzcIhbcTFBc93rrEAXXZ.jpg,"A multinational expedition discovers a lost city beneath a pyramid, where they must stop the reawakened gods of ancient Egypt from initiating the apocalypse",2013-12-16,English,85
5658,Hanky Panky,"Mystery,Action,Comedy,Crime","Gene Wilder,Gilda Radner,Kathleen Quinlan,Richard Widmark,Robert Prosky,Josef Sommer,Johnny Sekka,Jay O. Sanders,Sam Gray,Larry Bryggman,Pat Corley,Johnny Brown,Bill Beutel,Nat Habib,James Tolkan,James Greene,Frankie Faison,William Sadler,Mildred Brion",Sidney Poitier,/aFgQpLcaw2s6QzBcfZp0ryL4cB2.jpg,"The complete innocent, Michael Jordon, is drawn into a web of secrecy and government secrets when a girl carrying a mysterious package gets into a taxi with him. When she is later murdered, Michael is the chief suspect and on the run.",1982-06-04,English,110
189341,Hidden Agenda,"Mystery,Action,Crime","Kevin Dillon,Andrea Roth,J.T. Walsh,Christopher Plummer,Wendy Lyon",Iain Paterson,/4GYfRLiOteGfAoHvxoM2hOBCQgB.jpg,"A young medical student travels to Berlin to investigate the apparent death of his brother and discovers a secret life of espionage, betrayal and murder at the highest levels.",1999-11-02,English,95
156821,Yakeen,"Mystery,Action,Crime,Romance,Thriller","Dharmendra,Sharmila Tagore,David Abraham Cheulkar,Kamini Kaushal,Anwar Hussain,Asit Sen,Brahm Bhardwaj,Helen,Mukri",Brij,/3QHtRC9x24JstHlx7qk8HmUoEk.jpg,"Rajesh Sharma, working with the Indian Government on a top secret research project, has to deal with enemy agents, explosions, murder and last but not least a dangerous look-alike.",1969-12-31,,150
180433,Base,"Mystery,Action,Drama","Julie Dray,Alexander Polli,Carlos Pedro Briceño",Richard Parry,/eOqhm7sXbgmeIpmvsAguOB3j0tY.jpg,"JC (Alexander Polli) is a B.A.S.E. Jumper, a global playboy who lives his life quite literally on the edge, pursuing man’s greatest dream – to fly. When a jump goes wrong, that dream is violently shattered. Haunted by the event, JC is drawn to his best friend’s lover, ASH (Julie Dray), as he pushes himself harder than ever before – flying lower, closer, faster and recording every moment on film. Soon JC’s dark descent threatens not only his own life but the lives of all those around him. BASE follows a man over the edge and watches him fall.",2017-11-06,English,80
7348,Spartan,"Mystery,Action,Drama,Thriller,Crime","Val Kilmer,Derek Luke,William H. Macy,Tia Texada,Ed O'Neill,Kristen Bell,Johnny Messner,Clark Gregg,Aaron Stanford,Saïd Taghmaoui,Bob Jennings,Clara Mamet,Jeremie Campbell",David Mamet,/qvqHhBcuzWI3kw4qxsGhDod64op.jpg,"U.S. government agent Scott is assigned to rescue the daughter of a high-ranking government official. As willing as he is to bend the rules to get things done, though, Scott is shocked to find that others are willing to go even further to protect a political career.",2004-03-12,"English,Pусский,svenska",102
