movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
133780,Güeros,"Drama,Comedy","Tenoch Huerta,Leonardo Ortizgris,Sebastián Aguirre,Ilse Salas,Sophie Alexander-Katz,Raúl Briones,Laura Almela,Camila Lora,Marcelo Tobar,Alfonso Charpener,Adrián Ladrón de Guevara",Alonso Ruizpalacios,/5inNExRNMT3l6XNoul80begBu5n.jpg,"Set amidst the 1999 student strikes in Mexico City, this coming-of-age tale finds two brothers venturing through the city in a sentimental search for an aging legendary musician. Shot in black-and-white, Güeros brims with youthful exuberance.",2015-03-20,Español,106
140627,Battle for Sevastopol,"Drama,War,Romance","Yulia Peresild,Yevgeni Tsyganov,Nikita Tarasov,Anatoly Kot,Sergey Puskepalis,Joan Blackham,Sebastian Anton,Vitali Linetsky,Oleg Vasilkov,Stanislav Boklan,Natella Abeleva-Taganova,Sergey Anashkin,Vilen Babichev,Nikolay Boklan,Sergey Bondarenko,Zaza Chanturiya,Gennadiy Chentsov,Aleksandr Denisenko,Oleg Drach,Andrew Franchuk,Aleksandr Gereles,Viktor Grigorev,Sergey Kalyuka,Valentin Kasyan,Aleksandr Kovbasyuk,Vladislav Kremok,Dmitriy Lalenkov,Vladimir Lilitskiy,Artyom Melnichuk,Inga Nagornaya,Vyacheslav Nikolenko,Svetlana Osadchenko,Polina Pakhomova,Darya Plakhtiy,Aleksandr Polovets,Ilya Prokopiv,Gala Reut,Alla Sergiyko,Vladimir Skorik,Nikita Tezin,Aleksandr Yarema",Sergei Mokritsky,/hL9woAifIb8gbyatQa5mmKLQXa9.jpg,"The breakout of the war shatters the world of a young student, Lyudmila Pavlichenko, forcing her to enlist in the army in 1941. The maiden turns out to be a natural-born sniper, her impressive skill and prowess make her stand out among men and women alike. Seeing Pavlichenko as a tangible threat, the German High Command gives orders to eliminate the girl whatever the cost. In the meanwhile, Lyudmila meets a man and falls in love. War fades into the background... Soon, however, another misfortune befalls Lyudmila leaving the man she loves on the brink of death and herself seriously wounded. The girl is pulled out of combat and later goes to the United States with a publicity visit. Eleanor Roosevelt welcomes Lyudmila in the White House and the two women soon become close. It won't be long before Pavlichenko stands before an audience in Chicago pressing for a second front. Will her words have the capacity to change the course of war?",2015-04-02,"English,Pусский",110
142507,Pawn Sacrifice,"Thriller,Drama","Tobey Maguire,Lily Rabe,Peter Sarsgaard,Liev Schreiber,Sophie Nélisse,Michael Stuhlbarg,Seamus Davey-Fitzpatrick,Conrad Pla,Aiden Lovekamp,Evelyne Brochu,Robin Weigert,Andreas Apergis,Katie Nolan,Ilia Volok,Peter Janov,Spiro Malandrakis,Arthur Holden,Raphael Grosz-Harvey,John Maclaren,Carlo Mestroni,Vitali Makarov,Eric Lee Huffman,Brett Watson,Shawn Campbell,Eugene Nomura,Norman Lehnert,Edward Zinoviev,Serge Martineau,Sam Stone,Jonathan Dubsky,Mark Slacke,Alexandre Gorchkov,Igor Ovadis,Bobo Vian,Joe Cobden,Brent Skagford,Richard Jutras,Yanick Bousquet,Shanmugasunder Chetty,Mohsen El Gharbi,Andrew Peplowski,David Pryde,Roc LaFortune,Vito DeFilippo,Ellen David,Rosaruby Kagan,Arthur Holden,Alain Goulem,Carlo Mestroni,Glen Bowser,Zach Fraser,Alexandra Van Loon,Marco Verdoni,Matt Keyes,Edward Yankie,Al Vandecruys,Al Dubois,Francois Cote,François Ducharme,Maurice Demers,Grace Anne,Nathaly Thibault,Benoit Priest,Sigurbjörn Guðmundsson,Natalija Ugrina,Lydia Zadel,Dennis Staroselsky,André Sogliuzzo",Edward Zwick,/mxdpBuSMqql2Uvv27NIV1pahcsW.jpg,American chess champion Bobby Fischer prepares for a legendary match-up against Russian Boris Spassky.,2015-09-16,English,115
159401,Kóblic,"Drama,Thriller","Ricardo Darín,Inma Cuesta,Oscar Martínez",Sebastián Borensztein,/o2J0BVxC2Zv6EDQRjBGRzxWtNAs.jpg,"Tomás Kóblic, a former pilot and captain of the Argentinian Navy, disobeys an order and becomes a fugitive in order to survive. He chooses to hide in a small town in the south of the country, where his presence will catch the attention of the unscrupulous and violent local marshal.",2016-04-14,Español,92
173897,Extraordinary Mission,"Action,Crime,Thriller","Huang Xuan,Duan Yihong,Lang Yueting,Zu Feng,Xing Jiadong,David Wang,Wang Yanhui,Ding Yongdai,Xiao Cong,Li Xiaochuan,Zhao Bingrui,Dai Lele,Tao Hai","Alan Mak,Anthony Pun",/sMRVJ41dihj4pIpJ4UbArK1IXrg.jpg,"‘Extraordinary Mission’ is a new Chinese action thriller directed by Alan Mak (‘Infernal Affairs’) and Anthony Pun.  The film revolves an undercover police officer who attempts to take down a drug trafficking syndicate from the inside. The cast includes Huang Xuan, Duan Yihong, Lang Yueting, Zu Feng, Xing Jia-Dong, and David Wang.",2017-03-31,"广州话 / 廣州話,普通话",117
150270,Woodlawn,Drama,"C. Thomas Howell,Sean Astin,Jon Voight,Virginia Williams,Brando Eaton,Sherri Shepherd,Nic Bishop,Caleb Castille,Kelly Greyson,Rhoda Griffis,Marcus Henderson,Joy Brunson,Lance E. Nichols,Kevin Sizemore,DeVon Franklin,Brett Rice,Richard Kohnke,Jet Jurgensmeyer,Kirk B.R. Woller,Blake Burgess,Danny Vinson,Vernard 'Bone' Hampton,Kevin Downes,Harry Alexander,Kristi Averette,Devin Bright,Jason Burkey,Carlton Byrd,Peter Charnock,Matthew T. Cook,Xavier DuPriest,Michael Entrekin,Ron Flagge,Jeremy Grimsley,Corey Hodge,Tyrell Humphries,Justin Johnston,Walker Morgan Kendrick,David Kloehr,Jeff Kruse,Kelly Layne,Keith Loy,David Manne,Doug Markstrom,Tom Mullins,Justin O'Neal","Andrew Erwin,Jon Erwin",/yeAaG29HcZaXV9mpWQ9v13WSyDf.jpg,Love and unity in a school torn by racism and hate in the 1970s.,2015-10-15,English,123
167472,Beyond Valkyrie: Dawn of the Fourth Reich,"Action,War,History","Sean Patrick Flanery,Tom Sizemore,Kip Pardue,Stephen Lang,Rutger Hauer,Eric Ladin,Johannes Herrschmann,Pavel Lychnikoff,Tom Padley,Julie Engelbrecht,Michael Epp,Andrew Byron,Martin Bermoser,Nathan Cooper",Claudio Fäh,/3kA2xRwzk3IEhghIOpswRKzuhx9.jpg,"An intense thriller from the frontlines of World War II. As Operation Valkyrie prepares to assassinate Adolph Hitler, an Allied special ops team prepares to extract the man destined to lead post-war Germany. But after Valkyrie fails, everything changes. Now, unlikely allies must work together to stop a group of Nazi Officers from fleeing to Argentina and establishing the Fourth Reich.",2016-10-03,"Deutsch,English",100
159793,Art of the Prank,"Comedy,Documentary","Joey Skaggs,Robert Forster,Peter Maloney,Sarah Farrell",Andrea Marini,/vAzZHXPMh8UApv5zjnFDaz2ue5G.jpg,"The great media prankster, Joey Skaggs, wants to fool the world media AGAIN, and, with the most complex hoax of his career in the pipeline, he now must use every trick in his prankster's arsenal to make it work. Art of the Prank is an emotional journey following the evolution of artist Joey Skaggs-a fierce proponent of independent thinking and the man who has turned the media hoax into an art form. With unprecedented access to the man and his archives, the 95-minute documentary interweaves a current unfolding hoax with a look behind-the-scenes at some classic performance pieces (all reported as fact by a wide range of prestigious journalists) plus commentary from co-conspirators and others. -IMDB",2015-07-29,English,82
141684,Hurricane of Fun: The Making of Wet Hot,Documentary,"Amy Poehler,David Wain,Molly Shannon,Ken Marino,David Hyde Pierce,Michael Showalter,A.D. Miles,Elizabeth Banks,Michael Ian Black,Bradley Cooper,Janeane Garofalo,Joe Lo Truglio,Christopher Meloni,Marguerite Moreau,Zak Orth,Paul Rudd",Amy Rice,/2FkLFNbnxKjmkbOXIvJBJkc6vpE.jpg,"Exclusive behind-the-scenes footage offers a glimpse into the comic minds behind a ""Wet Hot"" summer-camp cult hit featuring many future stars.",2015-07-31,English,64
139421,Looney Tunes: Rabbits Run,"Comedy,Animation","Jeff Bergman,Billy West,Bob Bergen,Fred Armisen",Jeff Siergey,/7JekIelxRQtTaFbYqJSPr5Xw4KZ.jpg,"Lola Bunny invents a perfume with the adverse effect of turning people invisible, sending her and cab driver Bugs Bunny on the run from the FBI, while another shady group seeks the formula.",2015-08-04,"English,Italiano",73
