movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
3169,The Falcon and the Snowman,"Thriller,Drama,Crime","Timothy Hutton,Sean Penn,Pat Hingle,Joyce Van Patten,Rob Reed,Art Camacho,Richard Dysart,Priscilla Pointer,Chris Makepeace,Dorian Harewood,Mady Kaplan,Macon McCalman,Jerry Hardin,Nicholas Pryor,Betty Lou Henson,Stanley Grover,Bob Arbogast,David Suchet,Boris Leskin,Anatoli Davydov,Lori Singer,Jennifer Runyon,Daniel McDonald,Marvin J. McIntyre,Sam Ingraffia,Tom Nolan,James Hardie,Burke Byrnes,Michael Ironside,Bob Nelson,Valerie Wildman,Guillermo Ríos,Annie Kozuch,George C. Grant,Vic Polizos,Drew Snyder,Arthur Taxier,Philip Corey,Martha Campos,Herbie Wallace,Steven Miller,Jeff Seyfried,Steve Duffy,Carlos Romano,George Belanger,Leopoldo Francés,Abel Franco,Raúl Martínez,Jaime Garza,Roger Cudney,Richard Masur,John Ratzenberger,John Sabol",John Schlesinger,/9bEjyzGYqtUfnKt7DSRac3U48km.jpg,The true story of a disillusioned military contractor employee and his drug pusher childhood friend who became walk-in spies for the Soviet Union.,1985-01-25,English,132
148739,The Palermo Connection,Thriller,"James Belushi,Mimi Rogers,Joss Ackland,Philippe Noiret,Vittorio Gassman,Carolina Rosi,Marco Leonardi,Ronald Yamamoto,Marino Masé,Vyto Ruginis,Stefano Madia,Tiziana Stella,Salvatore Borghese,Claudia Lawrence,Peter Hintz,Beatrice Ring",Francesco Rosi,/tMHYGoQW93fUzJz4hr6nffciXbV.jpg,"Carmine Bonavia wins election as the mayor of New York on a promise to legalize drugs. After the election, he marries Carrie and goes to his ancestral home of Sicily for their honeymoon. In his hotel, he meets Il Principe, a Sicilian prince who has spent years confined to the hotel because he crossed the Mafia. Amid the beauties of Sicily Carmine discovers that men of power will stop at nothing to prevent the legalization of drugs, which threatens their business.",1990-02-01,,100
102252,Legendary Weapons of China,Action,"Kara Hui,Gordon Liu Chia-Hui,Liu Chia-Liang,Alexander Fu Sheng",Liu Chia-Liang,/9YErsYbKS2jwZ0XlyhvgSt6y4FQ.jpg,"Legendary Weapons of China is a martial arts fantasy film taking place during the late Qing Dynasty when Empress Dowager Cixi dispatches her agents to various factions of the Boxer Rebellion in order find supernatural martial artists that are invulnerable to western bullets. When one of the leaders of these groups disbands his forces, assassins from the remaining factions are sent out to kill him.",1982-01-21,普通话,109
171035,Role Play: Women on Fassbinder,Documentary,"Margit Carstensen,Irm Hermann,Hanna Schygulla,Rosel Zech",Thomas Honickel,,Interviews with four women who were important to the life and art of German film director Rainer Werner Fassbinder,1992-01-01,Deutsch,59
162818,Blood on the Land,"Drama,Adventure","Nikos Kourkoulos,Mairi Hronopoulou,Giannis Voglis,Faidon Georgitsis,Notis Peryalis,Angelos Antonopoulos,Manos Katrakis,Vasos Andronidis,Kostas Baladimas,Kostas Gennatas,Nikos Kouros",Vasilis Georgiadis,/d8hbiOkfBCU22b1rqlNQgx6RO2c.jpg,"Vassilis Georgiades directed this tense drama, one of the final Greek films made before the 1967 coup which led to restrictions on film content. The plot concerns struggles between peasants and the wealthy estate-owners over division of land in the early part of the 20th century. This battle is contrasted with the rivalry of two brothers over a woman's affections. The performances are somewhat lacking, but Georgiades' assured direction and presentation of a little-known chapter of Greek history resulted in an Oscar nomination as ""Best Foreign Film.""",1966-01-11,ελληνικά,130
844,The Story of Xinghua,,"Jiang Wenli,Zhang Guoli,Xingli Niu,Tian Shaojun,Zhang Haiyan",Yin Li,/z5XSFR7szHfCKrJ6zzJ5814IyfL.jpg,"This Chinese melodrama presents an allegory tinged with feminism with it’s portrayal of life and free enterprise in a modern, liberalized Chinese mountain village. Wanglai is the shady town grocer who steals stones from the Great Wall to sell as souvenirs.",1994-03-30,普通话,90
73818,My Sex Life... or How I Got Into an Argument,"Comedy,Drama,Romance","Mathieu Amalric,Emmanuelle Devos,Emmanuel Salinger,Marianne Denicourt,Thibault de Montalembert,Chiara Mastroianni,Denis Podalydès,Jeanne Balibar,Marion Cotillard",Arnaud Desplechin,/sWGTIBFAVoYki1wCnlLqTPc6xZX.jpg,"Paul Dedalus is at a crossroads in his life. He has to make several decisions; should he complete his doctorate, does he want to become a full professor, does he really love his long-standing girlfriend, or should he re-start with one of his other lovers?",1996-05-01,,178
1429,First Strike,"Action,Adventure,Comedy,Crime,Drama,Thriller","Jackie Chan,Bill Tung,Jackson Liu,Annie Wu,Ailen Sit,Yuri Petrov,Nonna Grishaeva,John Eaves,Terry Woo,Kristopher Kazmarek,Ken Lo,Elaine George,Rocky Lai,Chan Man-Ching,Chan Wai-To,Nathan Jones,Esmond Ren Yi-Wan",Stanley Tong,/iCYOG4Frby328azRDJwKgKScgp1.jpg,Jackie Chan reprises his role as Chan Ka-Kui (also known in some versions as Jackie) yet again as a Hong Kong cop who works with Interpol to track down and arrest an illegal weapons dealer. Later Jackie realizes that things are not as simple as they appear and soon find himself a pawn of an organisation posing as Russian intelligence.,1996-02-10,"English,Pусский,Український,普通话,广州话 / 廣州話",107
130792,Terminal Bliss,Drama,"Tim Owens,Luke Perry,Estee Chandler,Alexis Arquette,Sonia Curtis,Micah Grant",Jordan Alan,/rnpHdQCXDsnaxMSizUeU1gecfS4.jpg,"Alex and John are childhood friends growing up in an affluent neighborhood, they are as close as two can be. When a new girl joins their exclusive circle of friends, a jealous rift begins between the two as they both vie for her attention. Will the young men realize the value of their friendship before it's too late?",1992-03-06,English,93
127987,The Father of a Soldier,"Drama,War","Sergo Zakariadze,Radner Muratov,Viktor Kosykh,Татьяна Решетникова",Rezo Chkheidze,/mcIBE2TxdqBVy5qX717oztla7R5.jpg,"During World War II, оld Georgian peasant  wine-grower Georgy (Sergo Zakariadze) leaves his Georgian village and goes off to the front line, hoping to find his son. George should see and transfer a lot of things, he becomes a soldier and only in the last days of war finds the son...",1964-01-01,"ქართული,Pусский",83
