movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime
192101,Socialist Zombie Massacre,"Comedy,Horror","Denisa Rötlingová,Viktor Gschweng,Boris Bitukov,Hanka Harenčárová,Veronika Valentovičová,Peter Lévay","Rastislav Blažek,Peter Čermák,Zuzana Paulini",/96564BgxtpzOHsIG5X9cmLqoMhX.jpg,A Soviet nerve gas turns Czechoslovakian schoolkids into zombies,2014-04-25,"Pусский,Slovenčina",94
188613,Lost in Vagueness,Documentary,,Sofia Olins,/oN7CtIAxKrmFEJ4L1dUt82pm6Fr.jpg,"It's a music documentary that tells the story of Roy Gurvitz, who created Lost Vagueness, at Glastonbury and who, as legendary founder, Michael Eavis says, reinvigorated the festival. With the decadence of 1920's Berlin, but all in a muddy field. A film of the dark, self-destructive side of creativity and the personal trauma behind it.",2018-06-01,English,85
154933,Oosaravelli,"Action,Romance","Jr NTR,Tamanna Bhatia,Prakash Raj,Jayaprakash Reddy,Suman,Shaam,Vidyut Jamwal,Tanikella Bharani,Adhvik Mahajan,Ajay,M. S. Narayana,Raghu Babu,Murali Sharma",Surendra Reddy,/hV7tTPevsnTG89Q5tWYLR0Su8G7.jpg,Tony (NTR) is a wily youngster who does illegal things for money. He falls in love with Niharika (Tamanna) during a freak incident. He keeps following her and proposing to her. But she is engaged to some other rich guy. Tony has a secret mission and he is in hot pursuit of somebody. The rest of the story is all about the love story between the lead pair and how Tony achieved his mission.,2011-10-06,తెలుగు,165
137196,Rhymes for Young Ghouls,Drama,"Roseanne Supernault,Mark Antony Krupa,Devery Jacobs,Arthur Holden,Glen Gould,Brandon Oakes,Katie Nolan",Jeff Barnaby,/o8BtjLS5XmbzcII8IhIyd3U39jt.jpg,"In 1976, a Mi'gMaq teenager plots revenge against the sadistic Indian agent who imprisoned her in a residential school where rape and abuse are common.",2013-09-09,English,86
147917,Envelope,,"Kevin Spacey,Alanna Ubach,Anthony Skordi,Cody Caira,Mike Dirksen,David Meunier",Alexey Nuzhnyy,/fA8fInh9Y3lLfl16BoZt4QEE0J2.jpg,"Evgeniy's hobby is to send fake letters to real countries. He has collected a letter from every country except New Zealand, and he sends a letter there. Things turn worst when he actually receives a letter from someone there.",2012-05-28,English,17
61941,Humboldt County,"Comedy,Drama","Jeremy Strong,Fairuza Balk,Peter Bogdanovich,Brad Dourif,Frances Conroy,Madison Davenport,Chris Messina,Darren Grodsky,Darren Grodsky","Darren Grodsky,Danny Jacobs",/QWyy3OQwgWw4p4LR1WxvjonBmX.jpg,"Peter is a medical student about to graduate and begin his residency. When his professor fails him, he winds up in bed with an actress and singer named Bogart rolling through Los Angeles. He accompanies her to the redwoods of northern California, where he encounters her eccentric family of pot farmers. But when Bogart runs away without a word, Peter is thrust into the picturesque and bizarre world",2008-01-01,English,97
175411,Surviving Sid,Animation,"John Leguizamo,Chris Wedge,Shane Baumel,Paul Butcher,Sean S. Cunningham,Karen Disher,Khamani Griffin,John Hawkinson,Maria Lark,Emily Osment","Galen T. Chu,Karen Disher",/RjNsfoALcGwFFbTg4iwv83x5wr.jpg,"Sid, the sloth, takes a school of children out on a camping trip from home, only to find that in typical Sid style, he is not a very good guide and the children he takes with him don't have a very good time.",2008-10-20,English,7
135995,American High School,"Comedy,Romance","Talan Torriero,Aubrey O'Day,Martin Klebba,Alex Murrel,Davida Williams,Madison Dylan,Cameron Goodman,Jillian Murray,Nikki Ziering",Sean Patrick Cannon	,/xREkHYY5I8EORy8qUdowmquJrg.jpg,"Small lives begin at the end of high school for this surreal society. A senior who married young must contend with her life, love, and pursuit of individuality and femininity in a narcissistic, misogynistic world of irony. Gwen Adams, her husband Holden, and school rival Hilary complete the love triangle as Principal Mann makes their lives living hell.",2009-04-07,"Polski,English",86
46808,Subject Two,"Horror,Science Fiction,Thriller","Christian Oliver,Dean Stapleton,Courtney Mace,Jürgen Jones,Thomas Buesch,Philip Chidel",Philip Chidel,/iiLO2SEIoWJsl3EIadyA5mquLzk.jpg,A doctor invents a resurrection formula and tests it by killing his assistant over and over and over again,2006-01-20,English,93
109762,Black Widow,,"Alicia Coppola,Elizabeth Berkley,Randall Batinkoff,Adriana DeMeo,Barbara Niven,Tembi Locke",Armand Mastroianni,/khKyzgKESxwxsiEIvbNRACa5mRc.jpg,"Mel, a photo journalist, gets suspicious when her best friend Danny start dating Olivia a wealthy but mysterious woman. She enlists the help of her assistant in investigating Olivia's past and present occupation putting herself in danger.",2008-12-08,English,85
