"id","title","brand","distription","Price","posterPath","Material"
"0","Women's Summer Jean Shorts","Sheln","SheIn Women's Summer Basic Sexy Strappy Sleeveless Racerback Crop Top","9.99","static/images/tutorialPic/WomenJeanShorts1.jpg","72% Polyster,5% Spandex, 23% Rayon"
"1","Women's Black Shorts","Jollymoda","Officially licensed Superman hoodie. Screen printed Superman logo on the chest of a high quality, light weight cotton/poly blended hoodie. Look great while you stay warm!","19.99","static/images/tutorialPic/WomenJeanShorts2.jpg","Cotton/Poly Blend"
"2","Men's Jean Shorts","Next Level","ollymoda Women's Button Front Denim A-Line Short Skirt","15.7","static/images/tutorialPic/MenJeanShorts1.jpg","60% Combed Ring-Spun Cotton, 40% Poly"
"3","Men's Fitted Shorts","Lee","LEE Men's Performance Series Extreme Comfort Short","16.32","static/images/tutorialPic/MenJeanShorts2.jpg","98% Cotton, 2% Spandex"
"4","Women's Sports Shorts","Missy Chilli","Missy Chilli Women's Turtleneck Long Sleeve Knit Pullover Winter Loose Causal Sweater","35.99","static/images/tutorialPic/WomenSportsShorts.jpg","wool"
"5","Women's Culottes Shorts","Wantdo","Wantdo Women's Hooded Packable Ultra Light Weight Short Down Jacket","50.76","static/images/tutorialPic/CulottesShorts.jpg",""
"6","Men's Shorts","hetinghome","hetinghome Men Thermal Sweater Soft Keep Warm Lightweight Sleeve Turtleneck Clothing","29.99","static/images/tutorialPic/nike_shorts.jpg",""
"7","Men's Beach Shorts","BGSD","BGSD Men's Connor Hooded Waterproof Toggle Down Parka Coat","129.99","static/images/tutorialPic/MenBeachShorts.jpg","100% polyester; Filling: 80% down 20% feathers (600 fill power)"
"8","Women's Denim Shirt","","","","static/images/tutorialPic/DenimShirt.jpg",""
"9","Women's Denim Short Skirt","","","","static/images/tutorialPic/Skirt.jpg",""
"10","Men's Denim Jacket","","","","static/images/tutorialPic/ManDenimJacket.jpg",""
"11","Men's Jeans","","","","static/images/tutorialPic/MenJeans.jpg",""
